@relation brainmusic

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 numeric
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute class {0,1}

@data
0,1,17,32,8,6,0,0,0,0,5,26,24,7,2,0,0,0,0,2,30,26,6,0,0,0,0,3,35,25,1,0,0,0,0,3,29,26,4,2,7,26,18,7,4,1,1,0,6,29,16,9,3,1,0,0,12,30,22,0,0,0,0,0,0,19,35,10,0,0,0,0,4,28,31,1,0,0,0,0,2,19,25,12,2,0,3,1,7,23,20,9,4,1,0,0,13,24,25,2,0,0,0,0,2,24,35,3,0,0,0,0,20,31,11,1,1,0,0,0,0,1,22,24,11,3,3,0,0,0,5,28,24,5,0,2,0,0,0,3,28,24,5,4,0,0,0,1,15,45,3,0,0,0,0,0,5,33,24,2,1
0,1,8,19,17,12,4,1,0,0,2,18,20,14,6,2,0,0,0,3,11,39,5,4,0,0,0,5,25,28,4,0,0,0,0,2,31,26,3,0,7,14,15,11,9,6,0,0,1,21,16,17,5,1,1,0,4,30,25,3,0,0,0,0,0,15,42,5,0,0,0,0,0,33,29,0,0,0,0,0,4,19,14,13,6,4,0,2,0,21,18,13,9,1,0,0,7,29,20,6,0,0,0,0,5,36,19,2,0,0,0,0,14,42,6,0,0,0,0,0,0,0,5,24,14,12,5,2,0,0,1,13,23,15,7,3,0,0,0,1,16,31,10,4,0,0,0,0,11,28,20,3,0,0,0,0,3,27,28,4,0
0,1,8,21,14,9,6,2,0,0,1,17,25,8,6,4,0,0,1,3,22,30,4,1,0,0,0,5,23,30,3,0,0,0,1,11,19,28,2,0,3,20,16,13,2,5,2,0,5,20,16,15,5,0,0,0,7,32,19,3,0,0,0,0,0,9,50,2,0,0,0,0,0,23,38,0,0,0,0,0,6,20,17,10,4,3,1,0,6,21,20,10,3,1,0,0,4,35,16,6,0,0,0,0,3,29,26,3,0,0,0,0,9,33,19,0,0,0,0,0,0,0,8,27,10,6,10,0,0,0,2,21,20,8,8,2,0,0,0,4,22,27,7,1,0,0,0,1,20,33,7,0,0,0,0,3,11,31,16,0,1
0,1,13,28,10,5,3,1,0,0,3,23,28,4,3,0,0,0,0,3,27,28,3,0,0,0,0,8,39,11,2,1,0,0,0,12,29,18,2,0,5,24,18,10,2,2,0,0,3,27,23,6,0,2,0,0,12,29,19,1,0,0,0,0,3,23,29,6,0,0,0,0,0,17,43,1,0,0,0,0,6,24,19,6,4,2,0,0,4,30,20,5,2,0,0,0,8,35,12,5,1,0,0,0,3,31,26,1,0,0,0,0,15,28,18,0,0,0,0,0,0,0,12,36,9,2,2,0,0,0,2,25,26,7,1,0,0,0,0,1,36,20,4,0,0,0,0,1,36,16,7,1,0,0,0,2,29,26,4,0,1


1,9,19,6,10,12,3,0,0,1,5,22,16,14,2,0,0,0,1,18,24,9,4,4,0,0,0,16,40,4,0,0,0,0,1,50,9,0,0,0,15,43,2,0,0,0,0,0,7,25,22,4,2,0,0,0,10,23,13,7,6,1,0,0,23,35,2,0,0,0,0,0,34,26,0,0,0,0,0,0,7,32,18,3,0,0,0,0,3,16,31,9,1,0,0,0,6,14,26,8,5,1,0,0,0,14,45,1,0,0,0,0,0,26,34,0,0,0,0,0,1,13,17,9,15,3,2,0,0,0,12,26,16,4,2,0,0,0,0,19,25,5,10,1,0,0,1,46,12,1,0,0,0,0,35,25,0,0,0,0,1
0,0,7,12,26,11,4,0,0,0,2,16,27,10,5,0,0,0,0,10,30,16,3,1,0,0,0,1,6,21,22,10,0,0,0,0,15,29,10,6,5,24,26,3,1,0,1,0,2,19,23,11,4,1,0,0,5,21,16,10,7,1,0,0,7,27,15,9,2,0,0,0,14,23,15,8,0,0,0,0,1,14,10,18,6,8,1,2,0,3,22,16,8,3,6,2,0,7,27,10,8,5,3,0,1,11,22,11,5,6,2,2,1,25,18,14,2,0,0,0,0,1,4,15,24,11,5,0,0,0,1,15,31,6,5,2,0,0,2,6,29,18,5,0,0,0,0,9,20,18,11,2,0,0,0,13,23,13,9,2,1
0,9,13,10,18,9,1,0,0,1,6,22,21,9,1,0,0,0,3,18,19,15,5,0,0,0,2,23,25,7,3,0,0,0,12,28,19,1,0,0,13,40,6,1,0,0,0,0,4,29,23,4,0,0,0,0,10,25,22,2,1,0,0,0,9,46,3,0,1,1,0,0,21,36,3,0,0,0,0,0,1,2,18,18,11,10,0,0,0,0,16,17,13,7,6,1,0,7,20,16,8,6,3,0,0,1,27,23,5,2,1,1,0,5,47,8,0,0,0,0,1,8,5,18,15,10,3,0,0,0,8,25,11,14,2,0,0,0,4,17,26,9,1,3,0,0,3,26,27,4,0,0,0,0,15,34,11,0,0,0,1
0,5,17,21,10,4,4,0,0,1,9,23,19,6,3,0,0,0,2,17,20,15,6,1,0,0,4,34,22,1,0,0,0,3,50,8,0,0,0,0,5,42,11,2,1,0,0,0,3,13,34,7,3,1,0,0,0,23,25,7,5,1,0,0,0,26,31,4,0,0,0,0,5,52,3,1,0,0,0,0,0,6,27,13,8,5,2,0,0,4,17,17,11,6,2,4,1,5,18,19,8,8,2,0,0,0,2,21,29,7,1,1,0,0,12,47,2,0,0,0,1,10,23,13,8,5,1,0,0,1,15,26,14,5,0,0,0,0,5,17,22,8,6,3,0,0,5,42,13,1,0,0,0,4,52,5,0,0,0,0,1
