@relation brainmusic

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 numeric
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute class {0,1}

@data


0,3,32,21,6,0,0,1,0,0,2,22,26,6,6,1,0,0,0,5,30,21,7,0,0,3,43,17,0,0,0,0,0,15,47,1,0,0,0,0,5,32,16,6,1,3,0,0,5,17,30,8,2,1,0,0,2,27,28,4,1,1,0,0,11,48,4,0,0,0,0,0,9,37,17,0,0,0,0,0,6,36,19,0,0,2,0,0,6,31,18,7,1,0,0,0,0,31,30,2,0,0,0,0,36,27,0,0,0,0,0,0,38,24,1,0,0,0,0,0,0,6,32,20,3,1,0,1,0,1,7,21,21,11,1,1,0,0,1,8,36,18,0,0,0,1,32,30,0,0,0,0,0,10,42,11,0,0,0,0,0
0,2,29,23,7,2,0,0,0,0,2,28,22,9,0,2,0,0,0,10,35,13,5,0,0,1,30,23,4,2,2,1,0,11,35,11,1,3,1,1,15,36,6,3,0,1,2,0,11,27,18,2,3,2,0,0,1,25,35,2,0,0,0,0,5,48,9,1,0,0,0,0,0,49,11,1,2,0,0,0,3,20,16,14,3,7,0,0,1,18,20,17,4,2,1,0,1,16,29,11,6,0,0,0,10,43,6,4,0,0,0,0,22,35,3,2,1,0,0,0,0,2,30,24,5,2,0,0,0,0,3,20,27,10,2,1,0,0,0,9,38,14,2,0,0,0,30,25,4,1,1,2,0,3,38,16,2,2,1,1,0
0,3,25,26,4,4,1,0,0,0,0,18,32,7,5,1,0,0,0,9,31,20,3,0,0,3,45,13,2,0,0,0,0,16,42,3,2,0,0,0,6,35,18,0,0,4,0,0,3,31,22,5,0,2,0,0,4,22,36,1,0,0,0,0,4,58,1,0,0,0,0,0,0,44,19,0,0,0,0,0,8,26,20,5,3,1,0,0,7,23,27,3,3,0,0,0,1,23,38,1,0,0,0,0,38,25,0,0,0,0,0,0,29,34,0,0,0,0,0,0,0,2,37,15,4,5,0,0,0,0,5,21,21,11,3,2,0,0,0,9,35,14,4,1,0,2,40,19,1,1,0,0,0,14,42,6,1,0,0,0,1
0,3,19,26,12,1,4,1,0,0,1,11,25,23,6,0,0,0,0,4,7,20,28,7,0,0,25,29,12,0,0,0,0,0,34,28,3,1,0,0,0,0,1,3,5,6,3,48,0,0,3,4,8,1,50,0,0,1,2,8,52,3,0,0,0,0,11,4,3,1,47,0,0,0,7,7,3,49,0,0,3,9,28,8,6,2,8,2,1,18,23,11,8,2,1,2,1,19,33,10,3,0,0,0,19,45,2,0,0,0,0,0,23,43,0,0,0,0,0,0,0,0,30,20,7,4,4,1,0,0,1,8,25,26,6,0,0,0,0,1,8,18,24,15,0,0,18,36,8,0,4,0,0,4,23,31,4,2,1,1,0

0,3,11,15,10,14,4,2,0,1,19,25,8,4,2,0,0,1,1,14,23,18,0,2,0,0,0,37,22,0,0,0,0,0,9,45,5,0,0,0,1,22,27,7,2,0,0,0,11,27,15,5,1,0,0,0,1,33,21,3,1,0,0,0,11,41,7,0,0,0,0,0,30,29,0,0,0,0,0,0,0,11,25,17,2,3,1,0,7,17,27,5,3,0,0,0,7,17,22,13,0,0,0,0,1,35,23,0,0,0,0,0,0,39,20,0,0,0,0,0,0,3,12,14,15,11,2,2,0,0,20,25,8,6,0,0,0,0,4,17,26,8,4,0,0,0,39,20,0,0,0,0,0,6,50,3,0,0,0,0,1
0,4,9,19,12,9,4,2,0,0,6,31,20,1,1,0,0,0,1,13,26,16,3,0,0,0,24,35,0,0,0,0,0,5,46,8,0,0,0,0,6,25,17,9,2,0,0,0,11,25,16,6,1,0,0,0,9,27,14,4,5,0,0,0,27,30,2,0,0,0,0,0,32,27,0,0,0,0,0,0,1,10,29,14,2,1,2,0,8,21,16,11,1,2,0,0,6,15,31,3,4,0,0,0,0,35,22,2,0,0,0,0,0,17,42,0,0,0,0,0,0,1,12,14,14,15,2,1,0,2,8,20,26,2,1,0,0,0,1,10,27,13,8,0,0,3,50,6,0,0,0,0,0,30,28,1,0,0,0,0,1
2,7,16,15,9,6,2,2,0,4,12,22,13,4,4,0,0,1,4,18,15,14,4,3,0,3,35,15,3,1,0,2,0,10,41,3,2,1,0,2,5,18,19,4,6,4,3,0,8,23,22,4,2,0,0,0,3,24,14,12,6,0,0,0,10,44,3,2,0,0,0,0,20,35,3,0,1,0,0,0,1,8,13,8,9,12,5,3,2,10,19,7,7,5,5,4,1,12,17,11,7,5,6,0,0,6,39,7,7,0,0,0,0,13,43,1,2,0,0,0,0,7,11,13,11,10,5,2,0,1,17,18,15,5,1,2,0,0,6,20,15,10,6,2,0,2,39,12,1,4,0,1,0,8,43,3,2,2,0,1,1
