@relation brainmusic

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 numeric
@attribute att71 numeric
@attribute att72 numeric
@attribute att73 numeric
@attribute att74 numeric
@attribute att75 numeric
@attribute att76 numeric
@attribute att77 numeric
@attribute att78 numeric
@attribute att79 numeric
@attribute att80 numeric
@attribute att81 numeric
@attribute att82 numeric
@attribute att83 numeric
@attribute att84 numeric
@attribute att85 numeric
@attribute att86 numeric
@attribute att87 numeric
@attribute att88 numeric
@attribute att89 numeric
@attribute att90 numeric
@attribute att91 numeric
@attribute att92 numeric
@attribute att93 numeric
@attribute att94 numeric
@attribute att95 numeric
@attribute att96 numeric
@attribute att97 numeric
@attribute att98 numeric
@attribute att99 numeric
@attribute att100 numeric
@attribute att101 numeric
@attribute att102 numeric
@attribute att103 numeric
@attribute att104 numeric
@attribute att105 numeric
@attribute att106 numeric
@attribute att107 numeric
@attribute att108 numeric
@attribute att109 numeric
@attribute att110 numeric
@attribute att111 numeric
@attribute att112 numeric
@attribute att113 numeric
@attribute att114 numeric
@attribute att115 numeric
@attribute att116 numeric
@attribute att117 numeric
@attribute att118 numeric
@attribute att119 numeric
@attribute att120 numeric
@attribute att121 numeric
@attribute att122 numeric
@attribute att123 numeric
@attribute att124 numeric
@attribute att125 numeric
@attribute att126 numeric
@attribute att127 numeric
@attribute att128 numeric
@attribute att129 numeric
@attribute att130 numeric
@attribute att131 numeric
@attribute att132 numeric
@attribute att133 numeric
@attribute att134 numeric
@attribute att135 numeric
@attribute att136 numeric
@attribute att137 numeric
@attribute att138 numeric
@attribute att139 numeric
@attribute att140 numeric
@attribute att141 numeric
@attribute att142 numeric
@attribute att143 numeric
@attribute att144 numeric
@attribute att145 numeric
@attribute att146 numeric
@attribute att147 numeric
@attribute att148 numeric
@attribute att149 numeric
@attribute att150 numeric
@attribute att151 numeric
@attribute att152 numeric
@attribute att153 numeric
@attribute att154 numeric
@attribute att155 numeric
@attribute att156 numeric
@attribute att157 numeric
@attribute att158 numeric
@attribute att159 numeric
@attribute att160 numeric
@attribute class {0,1}

@data

0,2,16,43,2,0,1,0,0,0,1,16,34,12,0,1,0,0,0,4,21,28,11,0,0,0,1,24,32,7,0,0,0,0,2,41,18,2,1,0,12,30,16,2,3,1,0,0,3,23,28,8,1,1,0,0,2,33,29,0,0,0,0,0,0,33,29,2,0,0,0,0,4,38,22,0,0,0,0,0,8,32,15,5,3,1,0,0,2,20,32,10,0,0,0,0,4,26,30,4,0,0,0,0,5,36,21,2,0,0,0,0,25,26,13,0,0,0,0,0,0,2,26,33,3,0,0,0,0,0,0,14,42,8,0,0,0,0,0,6,17,23,18,0,0,0,0,5,38,17,4,0,0,0,0,8,34,22,0,0,0
0,0,18,25,14,3,2,0,0,0,1,20,27,9,3,2,0,0,1,8,32,17,1,3,0,0,0,9,40,12,1,0,0,0,2,20,34,6,0,0,12,32,13,1,2,2,0,0,4,25,26,5,2,0,0,0,8,35,18,1,0,0,0,0,1,24,33,4,0,0,0,0,5,41,15,1,0,0,0,0,3,25,26,4,0,4,0,0,1,22,27,10,2,0,0,0,6,25,24,6,1,0,0,0,3,37,20,2,0,0,0,0,21,36,5,0,0,0,0,0,0,0,19,21,17,4,1,0,0,0,0,16,27,15,2,2,0,0,0,7,26,23,5,1,0,0,0,0,20,36,6,0,0,0,0,0,15,37,10,0,1
0,2,9,22,10,10,5,5,0,0,0,13,26,10,8,6,0,0,0,3,18,28,13,1,0,0,0,7,37,16,3,0,0,0,1,17,33,10,2,0,8,26,6,7,14,2,0,0,1,18,22,16,6,0,0,0,4,23,31,5,0,0,0,0,1,26,34,2,0,0,0,0,1,34,25,3,0,0,0,0,4,13,16,10,10,9,1,0,1,11,23,16,7,5,0,0,0,19,31,12,1,0,0,0,0,23,34,6,0,0,0,0,17,32,14,0,0,0,0,0,0,0,14,20,14,7,7,1,0,0,0,9,35,6,6,7,0,0,0,4,25,26,7,1,0,0,0,1,27,23,11,1,0,0,0,3,29,23,7,1,0
0,0,24,18,7,6,3,4,0,0,1,18,26,8,5,4,0,0,0,5,16,26,10,5,0,0,0,5,38,14,5,0,0,0,0,6,31,21,4,0,13,28,9,5,3,3,1,0,5,29,16,7,4,1,0,0,7,37,16,2,0,0,0,0,2,26,32,2,0,0,0,0,0,23,34,5,0,0,0,0,6,22,19,5,6,3,1,0,1,17,29,8,6,1,0,0,1,24,30,7,0,0,0,0,7,34,21,0,0,0,0,0,18,35,9,0,0,0,0,0,0,2,25,16,7,6,4,2,0,0,1,20,25,7,8,1,0,0,1,4,28,20,6,3,0,0,0,0,21,29,8,4,0,0,0,0,11,37,8,6,0

0,1,16,7,8,6,15,7,0,1,12,21,17,8,1,0,0,0,4,11,16,22,4,3,0,0,0,0,10,42,8,0,0,0,0,0,0,19,32,9,11,36,13,0,0,0,0,0,17,39,2,1,1,0,0,0,8,37,11,2,0,2,0,0,19,38,3,0,0,0,0,0,0,38,21,1,0,0,0,0,0,9,11,23,11,5,1,0,2,14,27,13,4,0,0,0,0,13,27,16,2,2,0,0,0,3,38,19,0,0,0,0,0,0,3,46,10,1,0,0,0,2,9,7,14,11,13,4,0,1,11,22,17,8,1,0,0,0,0,11,22,21,2,4,0,0,0,13,39,8,0,0,0,0,0,0,12,41,5,2,1
0,6,13,11,10,5,5,10,0,3,17,21,13,6,0,0,0,0,0,11,23,15,11,0,0,0,1,24,30,3,2,0,0,0,2,16,25,11,6,0,11,39,8,2,0,0,0,0,12,37,11,0,0,0,0,0,8,30,17,5,0,0,0,0,20,39,1,0,0,0,0,0,6,33,19,2,0,0,0,0,0,0,0,5,23,16,6,10,0,0,10,19,11,7,4,9,0,0,11,14,20,5,3,7,0,0,1,30,15,3,2,9,0,0,0,3,41,9,7,0,0,5,19,12,4,8,7,5,0,8,20,22,7,3,0,0,0,0,1,13,19,23,4,0,0,0,5,27,25,3,0,0,0,0,0,23,32,3,2,0,1
0,2,15,13,12,7,8,3,0,4,13,29,8,3,2,1,0,0,0,16,24,15,4,1,0,0,0,6,43,9,2,0,0,0,0,0,6,45,9,0,0,16,20,17,7,0,0,0,7,23,29,1,0,0,0,0,1,30,24,3,1,1,0,0,29,31,0,0,0,0,0,0,10,45,5,0,0,0,0,0,0,2,16,22,14,6,0,0,0,16,24,18,2,0,0,0,0,13,32,11,4,0,0,0,0,1,43,15,1,0,0,0,0,0,6,43,11,0,0,0,0,4,11,17,15,6,6,1,0,1,16,32,10,1,0,0,0,0,1,19,24,12,4,0,0,0,0,39,20,1,0,0,0,0,0,4,39,17,0,0,1
0,2,19,12,14,12,1,0,0,2,17,34,7,0,0,0,0,0,1,15,33,6,3,2,0,0,1,24,28,6,1,0,0,0,0,7,33,16,4,0,12,32,11,4,1,0,0,0,19,34,6,1,0,0,0,0,3,33,18,4,1,1,0,0,25,35,0,0,0,0,0,0,4,51,5,0,0,0,0,0,1,23,25,9,2,0,0,0,4,31,18,5,2,0,0,0,1,20,30,4,4,0,1,0,0,10,43,7,0,0,0,0,0,1,9,44,6,0,0,0,0,4,15,10,18,8,5,0,0,1,27,26,5,1,0,0,0,0,5,19,20,11,3,2,0,0,0,38,21,1,0,0,0,0,0,20,37,3,0,0,0
