,delta ,theta ,alpha ,beta ,gamma

Left Ear_Chaikou_Chaikou_Chine1
min,0.199746809647257,0.301139336796951,0.30561772682556,0.307872553900374,0.188260203499768
Q1,0.302068973352766,0.417639691015132,0.561152840860766,0.42863303463839,0.282797832667981
Q2,0.369198561992956,0.482225075610095,0.63453996019136,0.480265266898449,0.350606909078723
Q3,0.422857650440906,0.523251154750223,0.721011745533959,0.562290135244049,0.436099030976991
max,0.672635094869585,0.717804593991712,0.941348438874812,0.698833190233759,0.664750496253774
mean,0.372497055180672,0.479216292077907,0.643205498885251,0.491866832628681,0.365885921774662
Std Dev,0.109360693704148,0.0930419997281805,0.134650454865063,0.0950320101455496,0.108008947644512

Left Forehead_Chaikou_Chaikou_Chine1
min,0.349064108481993,0.108278756224739,0.0595717149484215,0,0.0116876109443149
Q1,0.349064108481993,0.108278756224739,0.0595717149484215,0,0.0116876109443149
Q2,0.349064108481993,0.108278756224739,0.0595717149484215,0,0.0116876109443149
Q3,0.349064108481993,0.108278756224739,0.0595717149484215,0,0.0116876109443149
max,0.349064108481993,0.108278756224739,0.0595717149484215,0,0.0116876109443149
mean,0.349064108481993,0.108278756224739,0.0595717149484215,0,0.0116876109443149
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Chine1
min,0.470794871000893,0.246862450605428,0.263026744142756,0.208469445390069,0.0910339094406029
Q1,0.554073851263356,0.467014070072939,0.474124827986477,0.35065456691785,0.237035075614242
Q2,0.630466033545507,0.564380326069238,0.579970202187122,0.43921972176084,0.314302557242915
Q3,0.726650231811732,0.63276508487962,0.715990206463161,0.51647566920482,0.363514424936632
max,0.907139496264514,0.934276857391169,1,0.638219954531895,0.427122268461017
mean,0.639290701124211,0.554251085271549,0.601043638026572,0.42543440728587,0.301465074411438
Std Dev,0.113633283226858,0.135906904149407,0.165929229022814,0.103751539004854,0.0829868342695247

Right Ear_Chaikou_Chaikou_Chine1
min,0.0674739847756103,0.136857007862026,0.194913841496971,0.286597506789953,0.226945874631528
Q1,0.268802744695053,0.326121108790617,0.425130857759301,0.341856769008579,0.298860293229412
Q2,0.338401636957384,0.390271093549993,0.47648441874762,0.376081201213472,0.329022702847059
