,delta ,theta ,alpha ,beta ,gamma

Left Ear_Chaikou_Chaikou_France1
min,0.0694998897244556,0.110351577469234,0.248481101819709,0.332891832929567,0
Q1,0.256332912041134,0.327891327108119,0.41881702082834,0.422563212668535,0.153572451760291
Q2,0.338716325853474,0.372179284505351,0.484114972001269,0.471674081378978,0.209825798795212
Q3,0.407397480838896,0.441028753177753,0.541121556257586,0.519539643079109,0.24904375585547
max,0.660418754968517,0.629921115513218,0.684066297617304,0.603715785568423,0.430345848788194
mean,0.345480766777605,0.378486868390669,0.48591800694416,0.471310791838565,0.207002006614988
Std Dev,0.118233099264734,0.101155184459972,0.092753623477,0.0664000814081206,0.0836121086373492

Left Forehead_Chaikou_Chaikou_France1
min,0.168932500879213,0.144990694950828,0,0,0.154599707699401
Q1,0.168932500879213,0.144990694950828,0,0,0.154599707699401
Q2,0.168932500879213,0.144990694950828,0,0,0.154599707699401
Q3,0.168932500879213,0.144990694950828,0,0,0.154599707699401
max,0.168932500879213,0.144990694950828,0,0,0.154599707699401
mean,0.168932500879213,0.144990694950828,0,0,0.154599707699401
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_France1
min,0.470139332509394,0.331135203876626,0.555965364530866,0.588980590682513,0.325468294238253
Q1,0.625028035003221,0.518266952383367,0.661493082344194,0.678122344338606,0.418947454867076
Q2,0.684150564844623,0.601280769620083,0.709275520122931,0.758732131758857,0.451808794841529
Q3,0.766171098702555,0.739531305004486,0.753815023938566,0.80259200479446,0.483794739900123
max,0.968184048834781,0.840551715918952,1,0.989431181111351,0.606130682835444
mean,0.703287776662438,0.607859653175418,0.713034568345399,0.746975844306688,0.453476295700007
Std Dev,0.127670695615293,0.150802120825318,0.0896312126459617,0.0845878906793831,0.0581852327060366

Right Ear_Chaikou_Chaikou_France1
min,0.0395162449976892,0.0688317240676762,0.0908840055986815,0.229968385738385,0.149351994574273
Q1,0.228795966626324,0.218541564249399,0.29070976232659,0.366120657399069,0.241147544085588
Q2,0.302767496658134,0.276203817288759,0.383300377502038,0.400432595350135,0.313365691386335
Q3,0.368960374683594,0.346606785348742,0.463128872320615,0.464914828579039,0.373735896174323
max,0.689320231091551,0.611466224984157,0.702587739929735,0.618673580370619,0.528313404515436
mean,0.308294357567704,0.285991012595665,0.385417699652281,0.411311988218246,0.314637943357568
Std Dev,0.124036346658807,0.111943151313729,0.12514596003733,0.078146649470716,0.0931570292185252

Left Ear_Chaikou_Chaikou_France2
min,0.126822333474023,0.169941270792512,0.186231061409073,0.224630506335536,0.0553893520489968
Q1,0.301007193663355,0.313198089000124,0.412621683611369,0.417414717596175,0.166219097457116
Q2,0.357215753422795,0.392200376758296,0.464151021858318,0.477390253801956,0.216414357795473
Q3,0.425930220245782,0.451442975998865,0.535295222476443,0.517773667888535,0.251241697569105
max,0.933969730819688,1,0.825253011915391,0.594989282226253,0.49469495585691
mean,0.385997252906855,0.397951396245867,0.475228622824408,0.464267837467441,0.215574667939227
