,delta ,theta ,alpha ,beta ,gamma

Left Ear_Chaikou_Chaikou_France1
min,-0.2559853,-0.066293076,0.396758,0.4199284,-0.23350802
Q1,0.22500888,0.3500391,0.668739,0.5330449,-0.0015515715
Q2,0.4371017,0.43479833,0.7730024,0.5949961,0.08341371
Q3,0.6139186,0.5665639,0.8640267,0.6553764,0.14264867
max,1.2653118,0.9280701,1.0922713,0.7615609,0.41648808
mean,0.454516483934426,0.446869917508197,0.775881365573771,0.594537826229508,0.0791486429393443
Std Dev,0.304386408379707,0.193592932463197,0.148102780750663,0.0837607810927622,0.126288065006529

Left Forehead_Chaikou_Chaikou_France1
min,0,0,0,0,0
Q1,0,0,0,0,0
Q2,0,0,0,0,0
Q3,0,0,0,0,0
max,0,0,0,0,0
mean,0,0,0,0,0
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_France1
min,0.775445,0.3562473,0.8877283,0.7429731,0.2580806
Q1,1.1741998,0.714384,1.0562279,0.8554215,0.3992719
Q2,1.3264084,0.8732576,1.1325237,0.9571072,0.4489058
Q3,1.537567,1.1378444,1.2036414,1.0124345,0.4972175
max,2.0576413,1.3311794,1.5967331,1.2481239,0.6819942
mean,1.37567639016393,0.885848406557377,1.13852589672131,0.942277160655738,0.4514244
Std Dev,0.328683124567887,0.288608289808371,0.143117124024946,0.106703902224852,0.0878832093838332

Right Ear_Chaikou_Chaikou_France1
min,-0.333177,-0.14575465,0.1451175,0.290095,-0.007926167
Q1,0.15411611,0.14076321,0.4641859,0.4618451,0.1307222
Q2,0.34455287,0.25111845,0.6120284,0.5051281,0.23980078
Q3,0.5149638,0.38585714,0.7394932,0.5864696,0.33098418
max,1.3397175,0.89275074,1.1218451,0.7804295,0.56445867
mean,0.358781553442623,0.26984939147541,0.615409198360656,0.518851975409836,0.241722394491803
Std Dev,0.319326637826501,0.214239171701297,0.199824696722881,0.0985785598547315,0.140704751422918

Left Ear_Chaikou_Chaikou_France2
min,-0.10841095,0.04775094,0.2973613,0.2833615,-0.14984772
Q1,0.34002104,0.32191887,0.6588467,0.5265503,0.017549973
Q2,0.48472774,0.47311512,0.7411253,0.6022068,0.093365096
Q3,0.6616304,0.58649486,0.8547236,0.6531487,0.14596845
max,1.9695579,1.6363349,1.3177088,0.7505528,0.51368123
mean,0.558824564918033,0.484121542786885,0.758813272131148,0.585653449180328,0.0920968250655738
Std Dev,0.376124444430067,0.236838145006832,0.178145788661184,0.0864866997847774,0.131617804669676

Left Forehead_Chaikou_Chaikou_France2
min,0,0,0,0,0
Q1,0,0,0,0,0
Q2,0.3066602,0.795024,0.7614477,1.0682156,1.0911921
Q3,0.3066602,0.795024,0.7614477,1.1789474,1.1322902
max,1.6902996,0.8369263,1.0090276,1.1789474,1.1322902
mean,0.313964352459016,0.470325662295082,0.479009895081967,0.695522360655738,0.674469501639344
Std Dev,0.42902512857635,0.384623899076902,0.393723228450609,0.567371571122407,0.548988191720995

