,delta ,theta ,alpha ,beta ,gamma

Left Ear_Chaikou_Chaikou_Maghreb1
min,0.230285222913901,0.496241646131568,0.600299739324546,0.526907094872507,0.554224874004332
Q1,0.355842487548265,0.590597251717115,0.728912506784933,0.616581292462028,0.595290086467486
Q2,0.435627242769783,0.668757210640902,0.780540033371819,0.650582262991433,0.641592773745777
Q3,0.5313243879532,0.733348309773221,0.835112575688713,0.726730302697357,0.711391073841503
max,0.729975535072039,0.949897084750336,0.911711661728168,0.909616771174848,0.88291395268209
mean,0.44748310632795,0.676463138123748,0.77867623776834,0.679276071609112,0.666083884125872
Std Dev,0.126508615670909,0.118497450211109,0.0783808918717602,0.0983743623761845,0.0913312772681499

Left Forehead_Chaikou_Chaikou_Maghreb1
min,0.281425992667618,0.407783933854246,0.480932317804098,0.507618533412807,0.567197097368891
Q1,0.437453346636372,0.677869234800533,0.646654628871551,0.564981420775826,0.642720803960443
Q2,0.437453346636372,0.750556918664024,0.707338439755116,0.564981420775826,0.642720803960443
Q3,0.529271886134265,0.750556918664024,0.707338439755116,0.622992435353311,0.666903100597646
max,0.978524962026203,0.944131261559453,0.997984968490712,1,0.916878085132196
mean,0.496888647603915,0.701934299465355,0.687234139460208,0.608073789913816,0.660316964552547
Std Dev,0.155417595922154,0.127274584339472,0.108424307391374,0.0978101695001623,0.0586153851761223

Right Forehead_Chaikou_Chaikou_Maghreb1
min,0.0385228981830948,0,0,0,0
Q1,0.0385228981830948,0,0,0,0
Q2,0.0385228981830948,0,0,0,0
Q3,0.427363333806792,0.589656482156715,0.727226620904256,0.645620487150847,0.610951836045598
max,0.646837326819947,0.871166414470072,1,0.888873814694291,0.750941822834658
mean,0.216082412396316,0.268939693100646,0.329291592273949,0.293067755199247,0.273696302125437
Std Dev,0.203248887373642,0.30734614550496,0.374791279726995,0.333921294063189,0.310265085187555

Right Ear_Chaikou_Chaikou_Maghreb1
min,0.231309776365044,0.476051352626966,0.583401806792698,0.500061144489303,0.535851758817136
Q1,0.352186252638505,0.597521147939871,0.702770706512077,0.563450250836687,0.621938222205766
Q2,0.409013024928121,0.634698783344741,0.737829446195727,0.610608238796928,0.643610305499524
Q3,0.456280295293232,0.702421996794716,0.792152074346705,0.654685436414475,0.710172482753847
max,0.834423279960114,0.918775320738048,0.938857651808074,0.83000323582671,0.876467212734486
mean,0.429956601196628,0.650544875703958,0.747848806175202,0.622282098924001,0.668914169619559
Std Dev,0.125017784888541,0.0976703951043183,0.080418394539012,0.073130543149842,0.0760131790141905

Left Ear_Chaikou_Chaikou_Maghreb2
min,0.177647883034493,0.503936676837694,0.436365654777086,0.482830115862358,0.447061075757214
Q1,0.297269355260914,0.576446621643213,0.633347512545967,0.552974791987409,0.514650506448657
Q2,0.355663417409756,0.598563907339011,0.676372808274445,0.584742152355103,0.558814710668402
Q3,0.386550515446344,0.626483793789852,0.719963404229068,0.627100658607253,0.600960761882127
max,0.491680331958875,0.752702208745314,0.866523021864336,0.67626600900234,0.668715251765227
mean,0.344572833403925,0.601229318413026,0.671956267905692,0.591599217573119,0.554100142939245
Std Dev,0.0720091254888157,0.0496222118737362,0.0973669078826478,0.0502987725998006,0.0512696977611252

Left Forehead_Chaikou_Chaikou_Maghreb2
min,0.150904849871713,0.370335076963224,0.413020212695088,0.687869733425329,0.819472021914912
Q1,0.286320723596026,0.376426379385143,0.516329121583242,0.842581905524616,0.882995052080551
Q2,0.360229053987358,0.485594154687019,0.565350682001568,0.869230715756036,0.889981535123876
Q3,0.577535729901817,0.653018409095116,0.668687134663134,0.911539652780623,0.926619876882288
max,0.903316047147576,0.868361269241956,0.824686345896185,0.991192745137483,1
mean,0.43399171208541,0.524509656713662,0.593979961839891,0.876971071122554,0.90354709901798
Std Dev,0.200859755324254,0.154404154160607,0.103463766337497,0.0588405120622447,0.0453173954566382

Right Forehead_Chaikou_Chaikou_Maghreb2
min,0.846132991971827,0.855968159069609,0.614640042792874,0.641894017996548,0.807823153991681
Q1,0.846132991971827,0.855968159069609,0.614640042792874,0.641894017996548,0.807823153991681
Q2,0.846132991971827,0.855968159069609,0.614640042792874,0.641894017996548,0.807823153991681
Q3,0.846132991971827,0.855968159069609,0.614640042792874,0.641894017996548,0.807823153991681
max,0.846553366728112,0.867483243603862,0.733569129057016,0.768031536128392,0.823919836943597
mean,0.846142545943561,0.856229865536297,0.617342976571604,0.644760779772272,0.808188987695134
Std Dev,6.33738789970672e-05,0.00173596431042463,0.0179292343544532,0.0190159463468172,0.00242666626003703

Right Ear_Chaikou_Chaikou_Maghreb2
min,0.0741817980922388,0.296030036679892,0.265439718850505,0.403110206154209,0.558346403534742
Q1,0.204866647653594,0.447976506736195,0.506392308674741,0.484396088099306,0.599661068469025
Q2,0.2689786231287,0.495503100091207,0.613244236206729,0.5115381422035,0.615454593483686
Q3,0.332966916574592,0.538970573949764,0.645556777916575,0.542440997753896,0.630144129063586
max,0.460208374809121,0.594504350793803,0.793470726339652,0.609692230076592,0.67427018956463
mean,0.269128147030828,0.482745407789442,0.571538188342146,0.51140993095174,0.613587375842511
Std Dev,0.0920549101501492,0.0748954903487405,0.115927944790318,0.050678572193987,0.024320812624541

Left Ear_Chaikou_Chaikou_Maghreb3
min,0.179752055634256,0.474464164957134,0.434064443954777,0.470248167053478,0.536023007847389
Q1,0.316458620777589,0.575535999599685,0.617437977729258,0.588814764463863,0.605290893290519
Q2,0.371108991052028,0.600001826049854,0.664262244710117,0.619135545025189,0.636980096365082
Q3,0.488889593663655,0.663910350577862,0.702579526117016,0.637584194999898,0.66273215919337
max,0.743119241133242,0.791345953390361,0.912943247804086,0.737355584127057,0.733473543653692
mean,0.397987168010169,0.618953042326427,0.661464637480269,0.611688254421375,0.631301828466453
Std Dev,0.120107061889465,0.0698574032805649,0.092796649496806,0.0411543056626386,0.0470032460077182

Left Forehead_Chaikou_Chaikou_Maghreb3
min,0,0.213578457169771,0.190210952783961,0.50768227933015,0.671727694518916
Q1,0.291419427962317,0.442541855380603,0.416603990210775,0.644546971800039,0.74215588148819
Q2,0.519432047218611,0.552336800598576,0.487337821867963,0.701876128041501,0.787469290453804
Q3,0.680846799105994,0.705051551050639,0.558216115443,0.741059514858592,0.818553183219076
max,0.875294640089429,0.801490580431533,0.681464587675132,0.818133247592597,0.847546916986208
mean,0.496564047946504,0.565583595416678,0.486966832807467,0.687220936508834,0.778697600497628
Std Dev,0.241374664659145,0.154184088682158,0.108763965963035,0.0803626865745326,0.0476807011461713

Right Forehead_Chaikou_Chaikou_Maghreb3
min,0.657370464897468,0.597968017019917,0.441650610141391,0.830080754010145,0.952963753844776
Q1,0.657370464897468,0.597968017019917,0.441650610141391,0.830080754010145,0.952963753844776
Q2,0.657370464897468,0.597968017019917,0.441650610141391,0.830080754010145,0.952963753844776
Q3,0.657370464897468,0.597968017019917,0.441650610141391,0.830080754010145,0.952963753844776
max,0.657370464897468,0.597968017019917,0.441650610141391,0.830080754010145,0.952963753844776
mean,0.657370464897468,0.597968017019917,0.441650610141391,0.830080754010145,0.952963753844776
Std Dev,0,0,0,0,0

Right Ear_Chaikou_Chaikou_Maghreb3
min,0.066484529173312,0.334391628311657,0.186220446368775,0.501261561434822,0.545035816766728
Q1,0.240135312114504,0.468492758986864,0.509695309694502,0.549184478542438,0.635194826615003
Q2,0.288602743919821,0.522508463794156,0.613183721206163,0.573270138889587,0.657917395546565
Q3,0.43411421962435,0.592483754083884,0.663602450617316,0.616370248879714,0.704086976488858
max,0.70910939533166,0.721332335517409,0.932613640977409,0.673725397540833,0.741067848504597
mean,0.324843641775407,0.529010363985015,0.589985142489586,0.581069188923018,0.662502263888252
Std Dev,0.133536604030264,0.0879124348034857,0.169182292133222,0.0453946222384579,0.0486314324105494

Left Ear_Chaikou_Chaikou_Maghreb4
min,0.168351937066843,0.475598379019791,0.323983905764227,0.452570348625897,0.512679804237482
Q1,0.300444164300248,0.564657758799127,0.56680611666892,0.549643007560362,0.568240179055296
Q2,0.348053574895111,0.602826187267712,0.628814985074133,0.594440603998251,0.603752410553942
Q3,0.399755000974027,0.671629859553056,0.685604677967465,0.619567775573098,0.623620542624711
max,0.713688627874724,0.861987859811888,0.863224125310274,0.661191061423301,0.696184515876179
mean,0.374515471409329,0.615580978946416,0.633079355919224,0.586456891784533,0.596203919227341
Std Dev,0.119078503189698,0.0822870710892163,0.0944099687859316,0.0431984321032598,0.0398782063323207

Left Forehead_Chaikou_Chaikou_Maghreb4
min,1,0.841671887364432,0.796764941930433,0.761294187277373,0.799764260739798
Q1,1,0.841671887364432,0.796764941930433,0.761294187277373,0.799764260739798
Q2,1,0.841671887364432,0.796764941930433,0.761294187277373,0.799764260739798
Q3,1,0.841671887364432,0.796764941930433,0.761294187277373,0.799764260739798
max,1,0.841671887364432,0.796764941930433,0.761294187277373,0.799764260739798
mean,1,0.841671887364432,0.796764941930433,0.761294187277373,0.799764260739798
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Maghreb4
min,-Inf,-Inf,-Inf,-Inf,-Inf
Q1,-1.3587646931249,-1.15965433442482,-1.74128705204167,-1.4419166919559,-0.585328377559812
Q2,-1.3587646931249,-1.15965433442482,-1.74128705204167,-1.4419166919559,-0.585328377559812
Q3,0.631695618251911,0.64213595174727,0.772392693597743,0.790059379453169,0.822333880142655
max,0.631695618251911,0.750980979815178,0.861323112211855,0.824557812978135,0.829616186102301
mean,-Inf,-Inf,-Inf,-Inf,-Inf
Std Dev,NaN,NaN,NaN,NaN,NaN

Right Ear_Chaikou_Chaikou_Maghreb4
min,0.153033467365421,0.342554768313378,0.218419166760943,0.461535962687739,0.581581672575027
Q1,0.265879488336689,0.503125160465016,0.512988022449703,0.535885475606409,0.634895423997724
Q2,0.328806278646731,0.541789540181183,0.558947666239237,0.562286035276326,0.652891969571664
Q3,0.387241368081461,0.597239184255402,0.624156194776952,0.591126340954177,0.682526033689874
max,0.813497479602062,1,0.911903384129504,0.658293857573695,0.737167162814781
mean,0.355001296818448,0.555845088263854,0.572727323266176,0.560920537127483,0.656861174749194
Std Dev,0.133480927152506,0.110092039580149,0.113307076518844,0.045044469834317,0.0354993009509579

