,delta ,theta ,alpha ,beta ,gamma

Left Ear_Chaikou_Chaikou_Maghreb1
min,-0.004519322,0.101363,0.6219505,0.4083366,-0.091312
Q1,0.36524573,0.3679904,0.8829697,0.6134399,0.048986744
Q2,0.60021114,0.5888526,0.9877476,0.6912071,0.20717925
Q3,0.8820384,0.7713723,1.0985024,0.8653733,0.4456442
max,1.4670643,1.3832897,1.25396,1.2836722,1.0316498
mean,0.635126555032787,0.610627791803279,0.983965032786885,0.756835731147541,0.290852797983607
Std Dev,0.372566772525869,0.334846741328711,0.159073769234883,0.22500236301093,0.312032075814391

Left Forehead_Chaikou_Chaikou_Maghreb1
min,0.1460898,-0.1485983,0.3796947,0.3642197,-0.046992574
Q1,0.605589,0.6146011,0.7160276,0.4954204,0.21103315
Q2,0.605589,0.8199999,0.8391852,0.4954204,0.21103315
Q3,0.8759938,0.8199999,0.8391852,0.6281035,0.29365164
max,2.1990402,1.3669968,1.4290514,1.4903972,1.1476878
mean,0.780625444262295,0.682603478688525,0.798383586885246,0.593981495081967,0.271150195114754
Std Dev,0.45770346785766,0.359648918555742,0.22004678489301,0.22371193807467,0.200258672146522

Right Forehead_Chaikou_Chaikou_Maghreb1
min,-0.5692577,-1.3009026,-0.5963559,-0.7968081,-1.9848138
Q1,-0.5692577,-1.3009026,-0.5963559,-0.7968081,-1.9848138
Q2,-0.5692577,-1.3009026,-0.5963559,-0.7968081,-1.9848138
Q3,0.575874,0.365332,0.8795482,0.6798585,0.1024949
max,1.222223,1.1608148,1.4331409,1.2362288,0.5807688
mean,-0.0463464754098361,-0.540940426229508,0.0719403327868852,-0.12650197704918,-1.04973407868852
Std Dev,0.598566205050056,0.868490040071997,0.760637702873841,0.763746553564185,1.06001647496463

Right Ear_Chaikou_Chaikou_Maghreb1
min,-0.001502021,0.04430984,0.5876562,0.3469344,-0.1540835
Q1,0.35447815,0.38755575,0.829915,0.4919183,0.14002974
Q2,0.5218325,0.49261126,0.9010666,0.5997783,0.21407212
Q3,0.6610342,0.6839816,1.0113142,0.7005919,0.4414809
max,1.774662,1.2953467,1.3090527,1.1015797,1.0096246
mean,0.583511149901639,0.537388699344262,0.921400859016393,0.626478814754098,0.300522430163934
Std Dev,0.368176288842025,0.275994238413601,0.163208874378062,0.167264565884197,0.259697999924065

Left Ear_Chaikou_Chaikou_Maghreb2
min,-0.15953583,0.1231074,0.2892468,0.3075235,-0.45743567
Q1,0.192748365,0.32800395,0.68902085,0.467958775,-0.2265172925
Q2,0.36471837,0.39050235,0.77634055,0.54061725,-0.075630885
Q3,0.455680605,0.469397575,0.864807525,0.63749985,0.06836053
max,0.765287,0.826062,1.1622498,0.7499511,0.29984283
mean,0.332056696590909,0.398034193181818,0.767377195454545,0.556300765909091,-0.091738142
Std Dev,0.21206624808517,0.140221042004208,0.197605827973728,0.115043619273759,0.175162230259964

Left Forehead_Chaikou_Chaikou_Maghreb2
min,-0.23829383,-0.25442022,0.2418673,0.7764912,0.8149013
Q1,0.16050474,-0.23720759,0.4515324,1.1303497,1.031926875
Q2,0.37816413,0.07127562,0.5510215,1.191301,1.0557961
Q3,1.0181304,0.54437834,0.7607425,1.288070225,1.1809705
max,1.9775506,1.1528881,1.0773424,1.4702532,1.4316727
mean,0.595394516363636,0.181241944318182,0.609124531818182,1.20900478181818,1.10214266590909
Std Dev,0.591530231950056,0.436310889189481,0.209979382697898,0.13458033104348,0.154826269792766

Right Forehead_Chaikou_Chaikou_Maghreb2
min,1.809147,1.117868,0.6510541,0.6713353,0.7751031
Q1,1.809147,1.117868,0.6510541,0.6713353,0.7751031
Q2,1.809147,1.117868,0.6510541,0.6713353,0.7751031
Q3,1.809147,1.117868,0.6510541,0.6713353,0.7751031
max,1.810385,1.150407,0.8924203,0.9598377,0.8300972
mean,1.80917513636364,1.11860752272727,0.656539695454545,0.677892172727273,0.776352965909091
Std Dev,0.000186635522293613,0.00490543882060791,0.0363873237488127,0.0434933732689559,0.00829067251742199

Right Ear_Chaikou_Chaikou_Maghreb2
min,-0.46424255,-0.4643893,-0.05764684,0.1251877,-0.07723085
Q1,-0.079376805,-0.035023265,0.43136567,0.3111052,0.063920145
Q2,0.109432405,0.0992760375,0.648221315,0.37318465,0.11787851
Q3,0.2978773725,0.222105195,0.713799515,0.443865825,0.16806511
max,0.67260236,0.37903097,1.0139904,0.5976832,0.3188212
mean,0.109872751590909,0.0632257116363636,0.563579024318182,0.372891404545455,0.111499186136364
Std Dev,0.271100909514471,0.211637557085094,0.235275392982527,0.11591229891852,0.0830917280007739

Left Ear_Chaikou_Chaikou_Maghreb3
min,-0.15333906,0.03982481,0.2845765,0.278746,-0.15349843
Q1,0.249260585,0.32543074,0.6567325,0.54993215,0.0831543655
Q2,0.41020545,0.39456558,0.7517622,0.619282,0.1914201
Q3,0.7570683,0.57515648,0.829527,0.66147785,0.279401675
max,1.5057724,0.9352604,1.2564595,0.8896755,0.52108866
mean,0.489361447301587,0.448117390634921,0.746084465079365,0.602248517460317,0.172020374380952
Std Dev,0.353714252333035,0.197401073225707,0.188330503204489,0.094128346029407,0.160585955441548

Left Forehead_Chaikou_Chaikou_Maghreb3
min,-0.6827073,-0.69737864,-0.21032338,0.3643655,0.3101348
Q1,0.17552038,-0.050380349,0.249140565,0.67740315,0.55075175
Q2,0.84701556,0.2598751,0.39269465,0.8085267,0.7055644
Q3,1.3223806,0.69141212,0.53654192,0.89814715,0.8117621
max,1.8950278,0.9639268,0.7866743,1.0744306,0.9108188
mean,0.779669501095238,0.297307517912698,0.391941728888889,0.775007268253968,0.67559603968254
Std Dev,0.710846287461599,0.435689034388333,0.220736120877289,0.18380596265551,0.162900471776429

Right Forehead_Chaikou_Chaikou_Maghreb3
min,1.253243,0.3888185,0.2999726,1.101757,1.270974
Q1,1.253243,0.3888185,0.2999726,1.101757,1.270974
Q2,1.253243,0.3888185,0.2999726,1.101757,1.270974
Q3,1.253243,0.3888185,0.2999726,1.101757,1.270974
max,1.253243,0.3888185,0.2999726,1.101757,1.270974
mean,1.253243,0.3888185,0.2999726,1.101757,1.270974
Std Dev,0,0,0,0,0

Right Ear_Chaikou_Chaikou_Maghreb3
min,-0.48691094,-0.3559882,-0.2184221,0.34968,-0.12270629
Q1,0.024489105,0.02295098,0.4380691,0.45928955,0.18532075
Q2,0.16722527,0.17558703,0.6480985,0.5143784,0.2629521
Q3,0.5957553,0.373321225,0.75042315,0.6129572,0.42068985
max,1.4056137,0.7374179,1.2963805,0.7441402,0.5470345
mean,0.273954398888889,0.193959915555556,0.601017058730159,0.532216428571429,0.278616240793651
Std Dev,0.393264137100673,0.248420470345785,0.343354920501038,0.103826820575299,0.166148632306304

Left Ear_Chaikou_Chaikou_Maghreb4
min,-0.18691231,0.04302984,0.0611684,0.2383132,-0.23325017
Q1,0.20209815,0.294691315,0.5539753,0.4603383,-0.0434288995
Q2,0.34230745,0.40254658,0.6798221,0.5627996,0.07789816
Q3,0.4945677,0.59697005,0.7950766,0.6202706,0.145777365
max,1.4190995,1.1348783,1.1555547,0.7154716,0.3936912
mean,0.420237505015873,0.438588709365079,0.688476626984127,0.544539211111111,0.0521088412873016
Std Dev,0.350685155910683,0.232524476759796,0.191604729539148,0.098803682858266,0.136243353578588

Left Forehead_Chaikou_Chaikou_Maghreb4
min,2.262284,1.07747,1.020676,0.944428,0.74757
Q1,2.262284,1.07747,1.020676,0.944428,0.74757
Q2,2.262284,1.07747,1.020676,0.944428,0.74757
Q3,2.262284,1.07747,1.020676,0.944428,0.74757
max,2.262284,1.07747,1.020676,0.944428,0.74757
mean,2.262284,1.07747,1.020676,0.944428,0.74757
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Maghreb4
min,-Inf,-Inf,-Inf,-Inf,-Inf
Q1,-4.6842575,-4.577821,-4.1302924,-4.0947676,-3.9845803
Q2,-4.6842575,-4.577821,-4.1302924,-4.0947676,-3.9845803
Q3,1.1776308,0.513627,0.9712126,1.0102199,0.8246788
max,1.1776308,0.8211982,1.1516966,1.0891249,0.8495587
mean,-Inf,-Inf,-Inf,-Inf,-Inf
Std Dev,NaN,NaN,NaN,NaN,NaN

Right Ear_Chaikou_Chaikou_Maghreb4
min,-0.23202507,-0.33292103,-0.1530749,0.2588194,0.002152133
Q1,0.10030548,0.12081424,0.44475165,0.428872,0.184297845
Q2,0.28562433,0.23007095,0.5380266,0.4892555,0.2457828
Q3,0.45771516,0.386758985,0.6703671,0.5552192,0.34702718
max,1.7130357,1.5248691,1.2543491,0.7088451,0.53370786
mean,0.362768430619048,0.26978872,0.56599236984127,0.486132325396825,0.259343535904762
Std Dev,0.393100169180065,0.311094969840864,0.229956349212348,0.10302595014074,0.121282882458385

