,delta ,theta ,alpha ,beta ,gamma

Left Ear_Chaikou_Chaikou_Vietnam1
min,0.140835132604636,0.192089014318186,0.306863720605665,0.305300389767288,0.162132132875375
Q1,0.206826701685915,0.34435501228552,0.515342094219919,0.442431529378626,0.264176875509309
Q2,0.257716849767288,0.418859779492721,0.546880241041696,0.482255355986604,0.299834121691275
Q3,0.316808820338158,0.494449994032442,0.593375720602662,0.526571012164315,0.340850954761584
max,0.596123932840211,0.666939220822934,0.780669563186382,0.630001695942095,0.397744811528189
mean,0.265249165503611,0.424642699707427,0.545925957070851,0.480056106637978,0.29547050814643
Std Dev,0.0791011551327088,0.10223891353426,0.0882383953835342,0.0609818322626822,0.055180951500376

Left Forehead_Chaikou_Chaikou_Vietnam1
min,0.273917060150308,0,0,0,0
Q1,0.273917060150308,0,0,0,0
Q2,0.273917060150308,0,0,0,0
Q3,0.273917060150308,0,0,0,0
max,0.273917060150308,0,0,0,0
mean,0.273917060150308,0,0,0,0
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Vietnam1
min,0.327275834586402,0.375264512593104,0.47446543369054,0.600467665856619,0.460381716834873
Q1,0.515201243505228,0.669933340330601,0.688705187363105,0.664874435104392,0.540717209136957
Q2,0.591383654180443,0.754737045260543,0.764782252031252,0.703389457851785,0.624140480985771
Q3,0.642458452799798,0.79465291208746,0.850456658288195,0.765015387290738,0.690686007910609
max,0.762904584058254,1,1,0.972083944829925,0.964493723151397
mean,0.574753905780963,0.743335006583547,0.761013523911909,0.73968240973724,0.659629804762321
Std Dev,0.0989103311834777,0.0999041267766267,0.118661920835889,0.107419468707215,0.149462896136625

Right Ear_Chaikou_Chaikou_Vietnam1
min,0,0.0266420915199796,0.108960897484388,0.24248921885431,0.201500133864448
Q1,0.123340668342965,0.205834755423136,0.397513031179038,0.374825065038662,0.304143476633887
Q2,0.199835086509462,0.292176709225742,0.502166789956771,0.407879032610677,0.336959775515784
Q3,0.268800916837085,0.407899621064904,0.572342596139847,0.444082718312626,0.388891564986393
max,0.441235773610149,0.560764791392505,0.669429572569069,0.561952814637022,0.516998327259537
mean,0.201885059376738,0.295530421279369,0.479965123593455,0.401926735343069,0.341913357378507
Std Dev,0.106986689730246,0.137120206022618,0.11818888658599,0.0624707003923619,0.0660739885015703

Left Ear_Chaikou_Chaikou_Vietnam2
min,0.110692292045455,0.194974097036454,0.268189920444252,0.261618871849838,0.197352213968423
Q1,0.215447860141466,0.387595802650867,0.477452520483332,0.429838114561481,0.27312982816952
Q2,0.26948559638865,0.430232749688186,0.544201238732376,0.47967919561822,0.29553876368372
Q3,0.321002392929829,0.499117770559082,0.617083819564353,0.50654794884879,0.332135358344896
max,1,0.662843517912302,0.81420115551703,0.563199416281556,0.426730142198879
mean,0.293184770101264,0.440734728223802,0.540872631962065,0.464776729954548,0.301593124684229
Std Dev,0.151204155263603,0.0959723006831121,0.104763775005616,0.0581311608961341,0.0464150105562122

Left Forehead_Chaikou_Chaikou_Vietnam2
min,0.273917060150308,0,0,0,0
Q1,0.273917060150308,0,0,0,0
Q2,0.273917060150308,0,0,0,0
Q3,0.273917060150308,0,0,0,0
max,0.273917060150308,0,0,0,0
mean,0.273917060150308,0,0,0,0
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Vietnam2
min,0.256342607966954,0.283354518543807,0.0690357449953947,0.433041567671739,0.37806658699911
Q1,0.548400572051152,0.528368446844549,0.54981033783616,0.541787164943062,0.478013959925986
Q2,0.650847036494818,0.751241047933076,0.605149378115453,0.619626353829907,0.534343171872735
Q3,0.713181378039707,0.786052577787496,0.719730363196193,0.691315273265297,0.615922699323989
max,0.939174977090573,0.963098187761753,0.861016544900091,0.849133132826696,0.666821503887517
mean,0.628180988598897,0.687500916893478,0.609120482336409,0.619028186608326,0.541630655968777
Std Dev,0.135086462186907,0.180932315939186,0.147248718678242,0.109400856903156,0.0809994720109784

Right Ear_Chaikou_Chaikou_Vietnam2
min,0.0627894293342149,0.0484282890403926,0.163027684619345,0.32682949831488,0.186568790763231
Q1,0.189887138495147,0.217663608182239,0.359422611261264,0.384979572910759,0.313190673459024
Q2,0.216250643856631,0.281670697874998,0.424579491897109,0.419664520323767,0.349496305671627
Q3,0.267728396482674,0.363240316785617,0.485864278023347,0.450584354656609,0.378090545808159
max,0.992989679265512,0.627072332707231,0.635338341395524,0.544930146708659,0.4579533769169
mean,0.251494195555818,0.288630144027023,0.421731028388141,0.422236389982192,0.344488217721343
Std Dev,0.155828965374596,0.120008699773262,0.0968898580512088,0.0501738440889688,0.0579873639280209

Left Ear_Chaikou_Chaikou_Vietnam3
min,0.156650059320846,0.288929858271623,0.363855032860989,0.375756149099944,0.159086364565608
Q1,0.244560966746728,0.452780195018901,0.57574091846842,0.483753417379458,0.242434181960706
Q2,0.304062652132913,0.493728164198163,0.615167442102297,0.511199611137131,0.292058303690816
Q3,0.359082184373975,0.555324922695646,0.657040919238005,0.53981323866496,0.342233429050712
max,0.632620681434874,0.639654253734619,0.819622228608322,0.601973867023045,0.562094312328855
mean,0.316126136517116,0.498777157279923,0.612947403709365,0.507566639951992,0.296130311490021
Std Dev,0.105241414166881,0.0766477551580576,0.0859917225594132,0.045307441835656,0.076552466766857

Left Forehead_Chaikou_Chaikou_Vietnam3
min,0.273917060150308,0,0,0,0
Q1,0.273917060150308,0,0,0,0
Q2,0.273917060150308,0,0,0,0
Q3,0.273917060150308,0,0,0,0
max,0.273917060150308,0,0,0,0
mean,0.273917060150308,0,0,0,0
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Vietnam3
min,0.134294414301159,0.150633828607185,0.151131844454376,0.235325719120927,0.186099305916171
Q1,0.327426189475279,0.350140031788513,0.386254415653395,0.36314207298015,0.311746648766294
Q2,0.4067035609652,0.423723871186573,0.456598523309275,0.396310948581768,0.361515208757535
Q3,0.533078577952591,0.551397928916882,0.50309434855805,0.450508102754755,0.420681706511748
max,0.717339677657833,0.806620463091608,0.690764110209903,0.514193176599342,0.462906738241882
mean,0.42570776913584,0.441833370080873,0.454020090708064,0.402768865089563,0.358371742584917
Std Dev,0.136209330593641,0.138790956640412,0.111545484061912,0.0609955028711516,0.0652354695309288

Right Ear_Chaikou_Chaikou_Vietnam3
min,0.100096801042052,0.0584452879919046,0.239595876247894,0.33204668774525,0.264482055295436
Q1,0.162084880070281,0.338378614384156,0.429721777937785,0.402572368044758,0.324771784156605
Q2,0.250135722497258,0.3792707734403,0.507139032007813,0.439595332872142,0.370809937002272
Q3,0.313549818167414,0.461419217962656,0.579505286645895,0.472867639734495,0.390138049052177
max,0.618618958455061,0.658232517468804,0.727365754407488,0.652459175293111,0.524305877046302
mean,0.263513364227462,0.408613420681187,0.508410621932099,0.441561700492052,0.365933683028965
Std Dev,0.124657911494255,0.122394479399431,0.105538502881177,0.0562477578392807,0.0552255816725865

Left Ear_Chaikou_Chaikou_Vietnam4
min,0.0637147475541926,0.0172651415692209,0.38513225827866,0.323275629511688,0.0842351674047518
Q1,0.222779275129531,0.38487247609719,0.518047234281669,0.422195849563761,0.226505803468674
Q2,0.307700090811888,0.461728728733726,0.57268679013947,0.455954032297249,0.265658873045091
Q3,0.39621642815973,0.515031391431701,0.615202808624288,0.49761083611567,0.302513868403162
max,0.621251729197009,0.804901164461566,0.782870828072153,0.697236974132423,0.357653977298514
mean,0.307901381333524,0.457219982237587,0.567174072187595,0.464275255114296,0.259467187478138
Std Dev,0.119234696143343,0.125261333721365,0.0894210086872661,0.0678401736621799,0.0527556996571798

Left Forehead_Chaikou_Chaikou_Vietnam4
min,0.273917060150308,0,0,0,0
Q1,0.273917060150308,0,0,0,0
Q2,0.273917060150308,0,0,0,0
Q3,0.273917060150308,0,0,0,0
max,0.273917060150308,0,0,0,0
mean,0.273917060150308,0,0,0,0
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Vietnam4
min,0.349365721933314,0.504824516506215,0.410270926015989,0.296248774433901,0.201668341107364
Q1,0.61948116271119,0.582522369916141,0.448203921895453,0.447515457305266,0.301516844459945
Q2,0.61948116271119,0.833971504438651,0.7012933228945,0.842220250796092,1
Q3,0.749230078328511,0.833971504438651,0.7012933228945,0.842220250796092,1
max,0.823240591497789,0.84204615227329,0.787930821643924,1,1
mean,0.647496466595476,0.744668310042317,0.629877911058433,0.724717016712443,0.758377875366765
Std Dev,0.0769168456895747,0.118823785902899,0.123371992146135,0.202036204689511,0.327113834358197

Right Ear_Chaikou_Chaikou_Vietnam4
min,0.000166443454661191,0.0223665774201723,0.246102315207342,0.244950050170321,0.212627228463401
Q1,0.146985286745578,0.265943140999888,0.39305870767569,0.318577529971052,0.27832815970814
Q2,0.234512663408646,0.333286765200208,0.486157659043453,0.360374409624718,0.304766649546469
Q3,0.331638400900024,0.438064562304389,0.543110273034555,0.409476221475941,0.344625398934313
max,0.602013784466504,0.792482030388324,0.840207703000551,0.644671751000023,0.493428064190249
mean,0.241603133811443,0.359207617211077,0.478292087232393,0.368511755650931,0.314200408523137
Std Dev,0.126296647970127,0.163675708181178,0.109036305905332,0.0711841982149347,0.0578533349700458

