,delta ,theta ,alpha ,beta ,gamma

Left Ear_Chaikou_Chaikou_Vietnam1
min,0.04376767,0.02931083,0.3390275,0.2821805,-0.1996748
Q1,0.2118991525,0.2641821825,0.67223075,0.50203445,-0.02362183225
Q2,0.341555655,0.3791063,0.722637,0.56588155,0.037895928
Q3,0.4921085325,0.4957047275,0.796949,0.636930125,0.10866033
max,1.2037398,0.76177055,1.0962938,0.8027542,0.20681661
mean,0.360746279333333,0.388026494333333,0.721111803333333,0.562355628333333,0.03036759195
Std Dev,0.201531720870957,0.157704229575099,0.141028153697034,0.0977684334804407,0.0952010855645927

Left Forehead_Chaikou_Chaikou_Vietnam1
min,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q1,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q2,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q3,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
max,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
mean,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Vietnam1
min,0.5187761,0.3118603,0.6068991,0.7554041,0.3148811
Q1,0.997567225,0.766389,0.94931055,0.858663525,0.453480125
Q2,1.19166265,0.8971993,1.0709017,0.9204123,0.59740635
Q3,1.3217896,0.9587698,1.207831925,1.019213375,0.7122142
max,1.6286589,1.2755191,1.4468415,1.3511937,1.1846017
mean,1.14929384,0.879611576666667,1.06487828166667,0.978598565,0.658634401666667
Std Dev,0.252000988125644,0.154102804891421,0.189652945714738,0.172219049364847,0.257861265109531

Right Ear_Chaikou_Chaikou_Vietnam1
min,-0.31504816,-0.22589219,0.02272676,0.1814792,-0.13175505
Q1,-0.000804239,0.0505137305,0.48390893,0.39364515,0.04533065425
Q2,0.19408611,0.18369679,0.65117315,0.44663855,0.1019470625
Q3,0.3697953325,0.36220018,0.7633325375,0.5046817,0.1915425225
max,0.80912006,0.59799576,0.91850305,0.6936556,0.41255906
mean,0.1993089738,0.188869913983333,0.615689050333333,0.437095596666667,0.110493242983333
Std Dev,0.27257770958528,0.21150886391931,0.188896912622696,0.10015544448514,0.113994327062103

Left Ear_Chaikou_Chaikou_Vietnam2
min,-0.03302942,0.03376109,0.2772166,0.2121486,-0.13891126
Q1,0.2338639,0.3308814,0.61167325,0.4818442,-0.0081757265
Q2,0.37153974,0.396649185,0.71835525,0.56175135,0.03048535
Q3,0.5027928,0.502904805,0.834840775,0.604828375,0.09362372375
max,2.232724,0.7554529,1.1498861,0.6956542,0.25682363
mean,0.431919835,0.412848559354839,0.713035261290323,0.537859140322581,0.0409306526629032
Std Dev,0.385233737256925,0.148037936012575,0.167440054855423,0.0931981268246089,0.0800776222826336

Left Forehead_Chaikou_Chaikou_Vietnam2
min,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q1,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q2,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q3,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
max,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
mean,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Vietnam2
min,0.3380544,0.1700885,-0.04108413,0.4869801,0.1728667
Q1,1.08215155,0.548024175,0.727320065,0.66132525,0.345301175
Q2,1.3431618,0.8918067,0.8157664,0.78612005,0.4424833
Q3,1.5019755,0.945503725,0.9988969375,0.9010545,0.5832286
max,2.0777557,1.2185978,1.2247094,1.1540742,0.6710419
mean,1.28541387419355,0.793487108064516,0.822113268548387,0.78516104516129,0.455056051612903
Std Dev,0.344169527552694,0.279089345769174,0.235342164135971,0.175395687600302,0.139744557785515

Right Ear_Chaikou_Chaikou_Vietnam2
min,-0.155075,-0.19228683,0.1091397,0.3166968,-0.15751539
Q1,0.168741005,0.0687598175,0.423030425,0.40992525,0.060939355
Q2,0.23590921,0.167491195,0.52716825,0.4655335,0.123575745
Q3,0.367062795,0.293312895,0.62511745,0.515105375,0.172908035
max,2.2148633,0.7002756,0.8640163,0.6663642,0.3106916
mean,0.32570174983871,0.178226188709677,0.522615656451613,0.469656820967742,0.114935527741935
Std Dev,0.397016699702999,0.185114247460285,0.154855465509513,0.080440648571201,0.100042856182701

Left Ear_Chaikou_Chaikou_Vietnam3
min,0.0840605,0.1786885,0.4301146,0.3951379,-0.20492952
Q1,0.3080374625,0.431428775,0.76876395,0.5682833,-0.061133473
Q2,0.4596342,0.4945913,0.8317779,0.6122861,0.024480677
Q3,0.5998114325,0.589604725,0.898702725,0.658160575,0.1110454475
max,1.2967252,0.7196833,1.1585504,0.7578189,0.49036103
mean,0.490369209666667,0.502379406666667,0.828229695,0.60646158,0.03150591945
Std Dev,0.268131145093409,0.118229691200815,0.137437379873803,0.0726386441489228,0.13207234998118

Left Forehead_Chaikou_Chaikou_Vietnam3
min,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q1,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q2,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q3,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
max,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
mean,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Vietnam3
min,0.02710341,-0.03463408,0.09012702,0.1699944,-0.15832537
Q1,0.51915917,0.273105615,0.4659147025,0.374914525,0.0584480475
Q2,0.72113985,0.386609195,0.57834308,0.42809215,0.14431139
Q3,1.0431146,0.58354731,0.6526556325,0.514983125,0.24638855
max,1.5125699,0.97722983,0.95260125,0.6170855,0.3192374
mean,0.7695582425,0.414543222,0.574222066833333,0.438445731666667,0.138888116498333
Std Dev,0.347030340418716,0.214086008275437,0.178279008838695,0.0977903507289914,0.112547669944003

Right Ear_Chaikou_Chaikou_Vietnam3
min,-0.060024317,-0.17683554,0.2315158,0.3250612,-0.02309532
Q1,0.097907185,0.2549635475,0.535386975,0.4381307,0.0809196975
Q2,0.32224067,0.318039985,0.6591201,0.49748735,0.160347145
Q3,0.4838053375,0.4447545275,0.7747804,0.5508308,0.1936930225
max,1.261052,0.7483404,1.0111003,0.8387589,0.42516643
mean,0.356323853166667,0.363301220833333,0.661152435,0.500639906666667,0.151934374666667
Std Dev,0.317599956428808,0.188794328995531,0.168678273676528,0.0901785821561633,0.0952780838897004

Left Ear_Chaikou_Chaikou_Vietnam4
min,-0.1527175,-0.2403562,0.4641212,0.3109991,-0.33406675
Q1,0.252542675,0.32668065,0.676554275,0.469591825,-0.088613951
Q2,0.468901565,0.44523195,0.76388265,0.52371425,-0.021065012
Q3,0.694421025,0.527451675,0.831834425,0.59050005,0.04251916825
max,1.2677597,0.9745778,1.099812,0.9105484,0.13764979
mean,0.469414407387097,0.438277177419355,0.755071877419355,0.537055156451613,-0.0317472342419355
Std Dev,0.303782839340068,0.193216471568408,0.142918280665435,0.108763991829927,0.0910169132739385

Left Forehead_Chaikou_Chaikou_Vietnam4
min,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q1,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q2,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Q3,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
max,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
mean,0.3828301,-0.2669878,-0.1514214,-0.2072889,-0.4793937
Std Dev,0,0,0,0,0

Right Forehead_Chaikou_Chaikou_Vietnam4
min,0.5750561,0.5117075,0.5042994,0.2676686,-0.13146485
Q1,1.2632487,0.631556975,0.5649263,0.5101852,0.04079905
Q2,1.2632487,1.019419,0.9694297,1.1429912,1.245859
Q3,1.593819375,1.019419,0.9694297,1.1429912,1.245859
max,1.7823813,1.0318742,1.1078992,1.3959498,1.245859
mean,1.33462531129032,0.881668206451613,0.855289096774194,0.954605467741935,0.828999777096774
Std Dev,0.195966598082914,0.183286509639345,0.19718087794626,0.323912262159346,0.564354025933833

Right Ear_Chaikou_Chaikou_Vietnam4
min,-0.3146241,-0.2324872,0.2419148,0.1854245,-0.112558
Q1,0.0594368615,0.14323133,0.47678975,0.303466925,0.0007927090225
Q2,0.282436675,0.247109335,0.62558635,0.3704773,0.046405785
Q3,0.529890925,0.40872981,0.7166116,0.449199225,0.1151722
max,1.2187458,0.9554212,1.1914514,0.8262738,0.3718944
mean,0.300501578093548,0.287092428080645,0.613015098387097,0.383523408064516,0.0626814031456452
Std Dev,0.321775083599611,0.252470909231853,0.174268682481542,0.114125261406654,0.099811622361076

