,delta ,theta ,alpha ,beta ,gamma

Left Ear_Geoffrey_Geoffrey_Chine1
min,0.210186796456816,0.326063605277057,0.469579261649007,0.443806094304916,0.475675916602294
Q1,0.363063900894418,0.449018795016595,0.574576129518234,0.548696290701498,0.57312505072952
Q2,0.430852981627937,0.510761088899389,0.627978199771619,0.611130681598079,0.625341406988272
Q3,0.485641013094373,0.551886539229463,0.684769778106621,0.656807060888979,0.698079508427189
max,0.717355166591967,0.806216594519904,0.830243419183876,0.801583212987122,0.906617988413393
mean,0.441379130621377,0.512654874357904,0.631786898920177,0.612658242536861,0.640032949494533
Std Dev,0.117113256140058,0.100943522882044,0.0840385085887353,0.0744173507241302,0.09489990203195

Left Forehead_Geoffrey_Geoffrey_Chine1
min,0.0392147282171351,0.0494433929910355,0.0298347373398498,0.142222483210791,0.0647248249827712
Q1,0.187339026152029,0.176928042510424,0.139706522337532,0.24881577478667,0.199057285231533
Q2,0.24257355646679,0.2353140970754,0.203076512318639,0.302074101953019,0.248980608884309
Q3,0.333968282725227,0.339266915858499,0.267174011175285,0.343510574212235,0.285359234944537
max,0.849601595252422,0.665949208002032,0.363860669438507,0.478634041308622,0.427872054673953
mean,0.279421455619631,0.261810386666545,0.206039445902839,0.297452263277137,0.245097506624516
Std Dev,0.154541323347032,0.130778648202529,0.081382125299501,0.0758358367558072,0.0685148499594458

Right Forehead_Geoffrey_Geoffrey_Chine1
min,0.0412754448776669,0.0655961915892636,0.0107046247392345,0.0972258897235836,0.0355704507345879
Q1,0.224853143799339,0.167633187324181,0.174169690919167,0.231932862866489,0.111080410101277
Q2,0.280851417261585,0.261734688339815,0.236923407765759,0.266563236931843,0.159763525433412
Q3,0.405316147769076,0.342558642914927,0.288485148106042,0.317660369493441,0.227865993205634
max,0.891181107070694,0.6963675897846,0.399190955012003,0.41172936938607,0.532431585624283
mean,0.323846328807596,0.275882134008286,0.228889577898235,0.268357103798005,0.177119586918603
Std Dev,0.166863833315342,0.135751738494614,0.0936379041317829,0.0686794419680351,0.0930752482084442

Right Ear_Geoffrey_Geoffrey_Chine1
min,0.231788332621607,0.304009804280278,0.479285782584512,0.468082725161277,0.599378325256795
Q1,0.357378178454732,0.426427482765394,0.558791033974225,0.626524780255956,0.692400245440386
Q2,0.403376606737936,0.490155379303137,0.630635089753633,0.685364996970142,0.735421306711463
Q3,0.519452686963884,0.574047169706448,0.703908735167828,0.72554257263181,0.77519028404605
max,0.861057671445923,0.891311078273008,0.931028629694189,0.778877439982194,0.94657646980944
mean,0.448705842992214,0.510518182979423,0.64683561425585,0.676522551432513,0.735931535148794
Std Dev,0.1342313064777,0.115752521794262,0.105918841884501,0.0587394456345946,0.0756566861081294

Left Ear_Geoffrey_Geoffrey_Chine2
min,0.249964710764268,0.357758719540408,0.455809289408229,0.394782447782032,0.484811058572251
Q1,0.40831255604714,0.492229834561086,0.628767366337885,0.584546640647095,0.552922877754479
Q2,0.529556222769177,0.555773886291427,0.683736132890579,0.628336455007694,0.622798372557107
Q3,0.639672758563605,0.660817487932406,0.72977577972157,0.673635772679269,0.67909210155708
max,0.887770926910943,0.950362679941648,1,0.866441331961274,0.853190090039185
mean,0.530442594533183,0.584682633951619,0.686576874736873,0.628579695414893,0.624128349406783
Std Dev,0.150562623029658,0.134851133869446,0.104712447063509,0.0875256872608978,0.0855267679412459

Left Forehead_Geoffrey_Geoffrey_Chine2
min,0.0606800148372452,0.0995392930113254,0.0626429893407542,0.160388915140189,0.137585576061274
Q1,0.172523393766297,0.219581816258502,0.176166780635973,0.260757783980599,0.205922342897385
Q2,0.32640132141818,0.320542145853112,0.230855965260361,0.29831750833868,0.240105680595835
Q3,0.489966609451564,0.41228562327748,0.309348801644523,0.33525807595754,0.281734440078919
max,0.748504837906363,0.805729789876018,0.405330188366214,0.484961606659318,0.370351726515384
mean,0.352440920724588,0.330352784597773,0.241290200287614,0.295324017393276,0.24761340817137
Std Dev,0.186882639171611,0.143371082702193,0.0849537621405561,0.0653036760047651,0.0572142176004282

Right Forehead_Geoffrey_Geoffrey_Chine2
min,0.0360491722724755,0.134918662672642,0,0.0841282351219697,0.023158305981571
Q1,0.201093569490215,0.239877504924111,0.181777239092619,0.180195501860696,0.13859679217035
Q2,0.300564139517545,0.312798057280567,0.23296390282375,0.224044487753515,0.173152192364992
Q3,0.466385047285374,0.424712012724872,0.291029356996265,0.264734116209987,0.220896347603367
