,delta ,theta ,alpha ,beta ,gamma

Left Ear_Geoffrey_Geoffrey_Chine1
min,-0.51966035,-0.30065802,0.3664937,-0.09039676,-0.48524973
Q1,-0.0891345445,-0.01972021525,0.591161525,0.069004025,-0.32641075
Q2,0.1017700955,0.1213534925,0.705429,0.163885065,-0.241299755
Q3,0.25606175,0.215320195,0.8269492,0.23329909,-0.12273897
max,0.908605,0.79643375,1.1382275,0.45331424,0.2171721
mean,0.13141337525,0.125680564260937,0.7135786921875,0.16620648703125,-0.217353009375
Std Dev,0.329809222381012,0.230643796185315,0.17982202063771,0.11309144734744,0.154683813005204

Left Forehead_Geoffrey_Geoffrey_Chine1
min,-1.0011444,-0.9327019,-0.5744529,-0.54871094,-1.1550869
Q1,-0.58400324,-0.641414825,-0.339353935,-0.386721975,-0.936129275
Q2,-0.428454175,-0.50800972,-0.20375753,-0.305785725,-0.85475585
Q3,-0.17107235,-0.270490045,-0.0666044325,-0.2428150525,-0.79545985
max,1.2810316,0.47593966,0.14028156,-0.03746901,-0.5631685
mean,-0.32468473534375,-0.4474688884375,-0.1974175709375,-0.3128094959375,-0.8610851828125
Std Dev,0.43521250589995,0.298813465393535,0.174138004837334,0.115247109122598,0.111677019810183

Right Forehead_Geoffrey_Geoffrey_Chine1
min,-0.9953411,-0.8957947,-0.6153867,-0.6170919,-1.2026076
Q1,-0.478357625,-0.66265245,-0.265611115,-0.4123788,-1.079528775
Q2,-0.32065774,-0.44764185,-0.131333385,-0.3597513,-1.00017685
Q3,0.0298543825,-0.262968845,-0.02100376955,-0.2820994,-0.889172
max,1.398126,0.545442,0.2158798,-0.1391435,-0.3927398
mean,-0.19957735328125,-0.41531664,-0.148523831909375,-0.357025175,-0.9718870234375
Std Dev,0.469914618746767,0.310176377950879,0.200362398286473,0.104371593715726,0.151709685479346

Right Ear_Geoffrey_Geoffrey_Chine1
min,-0.45882705,-0.3510483,0.3872633,-0.05350376,-0.28361875
Q1,-0.105146427,-0.07133864375,0.55738525,0.1872793525,-0.1319959875
Q2,0.024392332,0.074271927,0.7111141,0.276698355,-0.06187303
Q3,0.351280705,0.2659545675,0.867901925,0.3377558925,0.002949134425
max,1.3132937,0.9908644,1.3538834,0.41880846,0.28230315
mean,0.15204654171875,0.12079848171875,0.7457792921875,0.263260561875,-0.0610413739234375
Std Dev,0.378016325971274,0.264480575696264,0.22664062572179,0.0892658615035671,0.123317984907964

Left Ear_Geoffrey_Geoffrey_Chine2
min,-0.40763953,-0.2282385,0.3370293,-0.1648976,-0.47035974
Q1,0.03829273625,0.0790118075,0.707117625,0.1234855125,-0.3593396475
Q2,0.37973384,0.224202315,0.82473745,0.19003254,-0.24544482
Q3,0.689839205,0.4642142975,0.923251125,0.2588735475,-0.1536878375
max,1.3885224,1.1257902,1.5014654,0.5518786,0.13008633
mean,0.38223000133871,0.290255322790323,0.830815948387097,0.190402190483871,-0.24327700016129
Std Dev,0.424007864333233,0.308118604815166,0.224059233476251,0.13301208059809,0.139405903440333

Left Forehead_Geoffrey_Geoffrey_Chine2
min,-0.9406948,-0.8182388,-0.5042512,-0.52110356,-1.0363262
Q1,-0.625726375,-0.5439560875,-0.2613378275,-0.3685738,-0.92493945
Q2,-0.192382095,-0.31327389,-0.14431624,-0.31149459,-0.8692217
Q3,0.268243305,-0.10365109,0.0236393875,-0.2553563075,-0.80136815
max,0.99632734,0.79532146,0.22901627,-0.02785306,-0.6569248
mean,-0.119050515967742,-0.290857761669355,-0.121989508387097,-0.316043774032258,-0.856984343548387
Std Dev,0.526290702975496,0.327585662096155,0.181780441198095,0.0992414694237761,0.0932573495551566

Right Forehead_Geoffrey_Geoffrey_Chine2
min,-1.0100591,-0.7374012,-0.638292,-0.6369963,-1.222839
Q1,-0.5452682975,-0.4975828825,-0.2493328075,-0.49100365,-1.03467795
Q2,-0.265143635,-0.3309682,-0.139805765,-0.4243667,-0.97835375
Q3,0.2018339425,-0.07525828625,-0.01555977975,-0.362531,-0.9005323
max,1.5044434,0.38336357,0.2730835,-0.1789508,-0.6567738
mean,-0.115204727903226,-0.268376457062903,-0.134303136225806,-0.424937841935484,-0.975108029032258
Std Dev,0.544240560592899,0.307808565226836,0.197617188524891,0.10941293057396,0.112385338303099

Right Ear_Geoffrey_Geoffrey_Chine2
min,-0.314367,-0.20362222,0.3676452,0.03915616,-0.28541553
