,delta ,theta ,alpha ,beta ,gamma

Left Ear_Geoffrey_Geoffrey_Guinee1
min,0.190764823214111,0.331165133007384,0.425834164017426,0.226933681575703,0.142320246218301
Q1,0.317050613224777,0.488186204569083,0.564002653926366,0.312988354323777,0.251176805592882
Q2,0.356316769551321,0.531101706320415,0.608370352490581,0.346195475724172,0.283800091069799
Q3,0.416558044229458,0.61343010354941,0.670358254671052,0.383583900782755,0.32727693308982
max,0.965596758056026,0.975141578039813,0.867147543505483,0.458048130060865,0.382414124762817
mean,0.379516774442017,0.557823977107662,0.620198284111242,0.347698749253756,0.285508738540712
Std Dev,0.11354048590485,0.120962990400883,0.0995809183604169,0.0493926686225948,0.0496110882936122

Left Forehead_Geoffrey_Geoffrey_Guinee1
min,0.0543836403801695,0.0458366745162818,0.08731485915732,0.0785023894174405,0.0663948660619338
Q1,0.174174547168811,0.220153620250029,0.219748786743608,0.138365346249392,0.185856058642743
Q2,0.231715648878629,0.27236222017955,0.267024128030884,0.160139791855466,0.211040710087105
Q3,0.312711092439104,0.334797463665501,0.317905446162691,0.18847095047085,0.253114329402792
max,0.744004391560365,0.728548741304222,0.64830866261914,0.349705453038516,0.300518561368541
mean,0.266476677333184,0.289708689895205,0.274333732147967,0.168019208841606,0.209043963374545
Std Dev,0.145208298924921,0.125389205241054,0.0986612227444804,0.0510108270019908,0.0587620612317462

Right Forehead_Geoffrey_Geoffrey_Guinee1
min,0.0400369831406054,0.0102825592842587,0.136880469597526,0.0370919297839225,0
Q1,0.174912820122355,0.198707916165702,0.205568757746378,0.0916224432945889,0.0707697877677564
Q2,0.210309877556862,0.234254571455636,0.250211616400445,0.118546411540832,0.114251893261892
Q3,0.266487608308208,0.290578378420363,0.314804488731297,0.152359450895012,0.143687306906041
max,0.706338418071048,0.56295602865459,0.386186489103848,0.248461525666292,0.256757062870717
mean,0.223441791770437,0.24539281400238,0.259573852377468,0.123352586450303,0.113094263145734
Std Dev,0.108169178810714,0.10208328781374,0.0679110490556525,0.0503843063341025,0.0526512972515424

Right Ear_Geoffrey_Geoffrey_Guinee1
min,0.146981354300554,0.22463695694667,0.370203653869101,0.236034711907371,0.187890531746956
Q1,0.293164351613081,0.429034842427386,0.528675094211847,0.337755412819582,0.261688571621398
Q2,0.326722120223488,0.505929304091415,0.581417386057427,0.372079642832867,0.305014153092004
Q3,0.413248718762705,0.599676705996092,0.6323027522168,0.404050748450026,0.36334260861442
max,0.952713428341152,0.94276379474479,0.741141284248734,0.460985169820008,0.460736865322006
mean,0.363188110470293,0.512536728281477,0.583977249346261,0.368570915075985,0.313806333649116
Std Dev,0.120839425248618,0.128760663433321,0.0853990902282817,0.0444638757424048,0.065644293883027

Left Ear_Geoffrey_Geoffrey_Guinee2
min,0.222919670904914,0.359526541786785,0.383714658157001,0.245441768589885,0.203953227755321
Q1,0.329870496983164,0.439155470211551,0.529601399047223,0.342112871455276,0.28368756189212
Q2,0.375465017521176,0.508682184102792,0.561341393155251,0.376135971826827,0.321263082511117
Q3,0.426768704678151,0.555983892855366,0.637556363259556,0.412428939191477,0.396780956703871
max,0.676336616970025,0.964721033253101,0.847108255540838,1,0.995482652583533
mean,0.393661273154975,0.517661522755523,0.582164332405597,0.415593442446173,0.361573707361139
Std Dev,0.0973009120773721,0.116383793280955,0.0967413704154758,0.142199576100963,0.146112488974623

Left Forehead_Geoffrey_Geoffrey_Guinee2
min,0,0.0319924483938073,0.122567617340377,0.0808445750233541,0.128149192121055
Q1,0.130528737014031,0.165344288248747,0.220989013530943,0.174106874244419,0.188606223867095
Q2,0.193070242340318,0.225293447467983,0.272792078353264,0.204714912753561,0.219338986408501
Q3,0.232925553365578,0.30933100176392,0.315279928863791,0.234666908781158,0.248514885436197
max,0.766636365950138,0.702021718228835,0.437512248692007,0.428394213114555,0.527917872180937
