,delta ,theta ,alpha ,beta ,gamma

Left Ear_Geoffrey_Geoffrey_Guinee1
min,-0.41976216,-0.29169238,0.1631008,-0.19180907,-0.8228098
Q1,-0.0595838765,0.009933548,0.4569799,-0.0241884395,-0.5436095
Q2,0.052406687,0.09237107,0.5513483,0.04049368,-0.4599358
Q3,0.22422015,0.250517865,0.6831942,0.113320305,-0.3484244
max,1.7901273,0.945339,1.1017575,0.25836462,-0.207006
mean,0.118575160412698,0.143702586492063,0.576505858730159,0.0434218145079365,-0.455553382539683
Std Dev,0.323827544789567,0.232361006522522,0.211804809361525,0.0962089563786328,0.127244796404409

Left Forehead_Geoffrey_Geoffrey_Guinee1
min,-0.8087334,-0.83978736,-0.55691683,-0.4809293,-1.0175467
Q1,-0.4670791,-0.50493733,-0.275234925,-0.36432591,-0.71114715
Q2,-0.30296677,-0.40464845,-0.17468208,-0.3219128,-0.6465524
Q3,-0.071960575,-0.28471494,-0.06645946,-0.26672827,-0.53864005
max,1.1581262,0.4716523,0.63629556,0.04733055,-0.4170555
mean,-0.203825231111111,-0.37132715768254,-0.159134831269841,-0.306564965873016,-0.651673747619048
Std Dev,0.41414695867457,0.240863439638128,0.209848651918801,0.0993608680545653,0.150715631825793

Right Forehead_Geoffrey_Geoffrey_Guinee1
min,-0.84965134,-0.9080842,-0.45149267,-0.5615902,-1.1878393
Q1,-0.46497348,-0.54613295,-0.305395305,-0.45537355,-1.0063257
Q2,-0.36401793,-0.47785044,-0.21044165,-0.40293,-0.8948008
Q3,-0.203794055,-0.36965655,-0.073055078,-0.33706765,-0.8193035
max,1.0506995,0.15356088,0.07877171,-0.1498763,-0.529297
mean,-0.326564544942857,-0.456454695396825,-0.190528531714286,-0.393568346031746,-0.897769942857143
Std Dev,0.30850810014616,0.196094486643543,0.144444207139299,0.0981405067886506,0.1350424638853

Right Ear_Geoffrey_Geoffrey_Guinee1
min,-0.5446365,-0.49632517,0.04477683,-0.17408173,-0.70592904
Q1,-0.127709615,-0.1036918675,0.38183953,0.024053798,-0.51664844
Q2,-0.03199988,0.044016737,0.49402037,0.090911865,-0.405525
Q3,0.21478166,0.2240986,0.6022516,0.153186425,-0.2559215
max,1.7533829,0.88314366,0.833747,0.2640855,-0.00612024
mean,0.0720043612698413,0.0567091128269841,0.499465101428571,0.0840774289365079,-0.382974411746032
Std Dev,0.344644767724837,0.247339762821007,0.181640602670309,0.0866084623694349,0.168367498024277

Left Ear_Geoffrey_Geoffrey_Guinee2
min,-0.32805368,-0.2372122,0.07351422,-0.1557583,-0.6647307
Q1,-0.02302043,-0.084250886,0.383809745,0.032541425,-0.46022442
Q2,0.10701919,0.049304817,0.4513195,0.09881294,-0.363849
Q3,0.25334186,0.14016792,0.61342583,0.16950579,-0.17015729
max,0.9651317,0.9253219,1.0591347,1.3139995,1.3654203
mean,0.158916526349206,0.066553466031746,0.495609096349206,0.175669732222222,-0.260458459126984
Std Dev,0.27751083864663,0.223564705700882,0.205765199353367,0.276981851673009,0.374756018285358

Left Forehead_Geoffrey_Geoffrey_Guinee2
min,-0.96384037,-0.8663811,-0.48193556,-0.4763671,-0.85915637
Q1,-0.591560825,-0.610222025,-0.27259701,-0.294707175,-0.7040934
Q2,-0.4131869,-0.4950641,-0.16241387,-0.23508765,-0.6252686
Q3,-0.299516015,-0.33363414,-0.072043835,-0.17674599,-0.550436915
max,1.2226746,0.42069584,0.18793964,0.20060357,0.16618869
mean,-0.342356982380952,-0.440871073015873,-0.174768019638095,-0.232642661079365,-0.596750736174603
Std Dev,0.41802096023621,0.273080746748928,0.142850631158361,0.117923641007232,0.203185415052236

Right Forehead_Geoffrey_Geoffrey_Guinee2
min,-0.7951271,-0.7859211,-0.7426322,-0.5653866,-1.0754038
