,delta ,theta ,alpha ,beta ,gamma

Left Ear_Geoffrey_Geoffrey_Maghreb1
min,0.278351558916066,0.331709603575319,0.442425813028786,0.345935547034424,0.364798704001118
Q1,0.396753513191197,0.494668952978551,0.609749022285085,0.402581029453571,0.452423093547646
Q2,0.440723415198311,0.574481295438525,0.678923473407709,0.428963340892267,0.476471550076059
Q3,0.515032712321084,0.625015109181766,0.762633749567087,0.458987598595296,0.507984514198522
max,1,0.975418679365088,0.878147209811065,0.701706999222215,0.642714880869931
mean,0.486431694515316,0.573012452839747,0.68105173739975,0.43658822723975,0.483986442847999
Std Dev,0.150781892548637,0.120990370280108,0.109243401744912,0.0543270802505563,0.0575343553245033

Left Forehead_Geoffrey_Geoffrey_Maghreb1
min,0.0870110150120748,0.0932840335855916,0.0271275935400075,0.077317569970174,0.142779038149325
Q1,0.218772465351353,0.192511737446175,0.171591493312322,0.136780344646089,0.205805336862374
Q2,0.305545737782754,0.262797761519061,0.238867794570868,0.171969701092183,0.234965740667947
Q3,0.435495348491726,0.34942931366115,0.302911597504271,0.203010260853575,0.252854008418284
max,0.840874534215919,0.833171913758967,0.513270415042124,0.296632335597886,0.352464307151298
mean,0.363996359491725,0.304275540688219,0.249569963529372,0.173374652397885,0.231972281413308
Std Dev,0.192375881131474,0.164810468206556,0.108657997414371,0.0471885181108465,0.0395890706746809

Right Forehead_Geoffrey_Geoffrey_Maghreb1
min,0.122246737091994,0.0273597300171112,0.0146781431845708,0.019068243378271,0.0795698451739625
Q1,0.213115783624129,0.167403778620369,0.163015646726583,0.106133131678374,0.127598560899032
Q2,0.288930145317352,0.26021211770492,0.228880745083926,0.134375947016786,0.151560887488753
Q3,0.481633634139934,0.373061300980455,0.296983639440898,0.177062854706163,0.201763334668578
max,0.841148996200413,0.739006694116493,0.52296655623161,0.324974499154194,0.379577270135059
mean,0.367822783969837,0.289247870674616,0.231114349111395,0.138906238383827,0.167568592699526
Std Dev,0.203144849354935,0.175857002070951,0.101653741887377,0.0558164510362427,0.0596633322683204

Right Ear_Geoffrey_Geoffrey_Maghreb1
min,0.2361072758005,0.353238851281487,0.391681631792543,0.328685494728606,0.346980209046972
Q1,0.401926812502447,0.538055915218482,0.629285635431998,0.411902313371431,0.446330595144949
Q2,0.449778021868459,0.589045262710357,0.681729783230849,0.450808572900238,0.493870164260106
Q3,0.524201514781209,0.623938307369156,0.731968617473448,0.490058235375246,0.543512002114242
max,0.889845616067266,1,0.960403044117829,0.684560401258342,0.700386121375028
mean,0.467582678381737,0.585735085284659,0.677614072480224,0.452012334826024,0.496829117636593
Std Dev,0.111976285979877,0.104201067099311,0.102755897910225,0.0634969689148624,0.0698641090560242

Left Ear_Geoffrey_Geoffrey_Maghreb2
min,0.330325758991633,0.356203615585992,0.480604967704421,0.317674323800696,0.398919270394621
Q1,0.392139398183908,0.472941125958899,0.638095481488478,0.395576644677895,0.44110515398371
Q2,0.42754378182102,0.526727821556033,0.693690973936769,0.422557693552639,0.466944568453774
Q3,0.490321138570379,0.591535589146085,0.733308952732122,0.447919823389286,0.509658989163301
max,0.655434686480706,0.824031812647421,0.884297557715369,0.545953673463452,0.599130959779173
mean,0.450776666424568,0.538714774536142,0.683178248664464,0.421351940861222,0.476821979494975
Std Dev,0.0855736516882224,0.0914222469556531,0.0896158466341923,0.043767340076227,0.047164987044413

Left Forehead_Geoffrey_Geoffrey_Maghreb2
min,0.139659482919845,0.0764100256307452,0.0647929671480615,0.0749001029228398,0.130684657846562
Q1,0.244005463971761,0.140029538143023,0.167179401570322,0.161767448798936,0.183313983198374
Q2,0.279363495896358,0.21421277497823,0.220014191960918,0.183774078268269,0.198988918401549
Q3,0.341474582175194,0.306778948277107,0.274824233002427,0.218458653071219,0.218203618015077
max,0.658905656586817,0.576555221293397,0.429316322907164,0.277283794015464,0.275267914746472
mean,0.30489669977685,0.237509010139333,0.221374581075003,0.183807560247077,0.200623237438332
Std Dev,0.101738920361436,0.121619999706064,0.084682025204261,0.045410499416782,0.0318002674798221

Right Forehead_Geoffrey_Geoffrey_Maghreb2
min,0,0.0661541306822885,0.0376347708223486,0,0.0740999028515594
