,delta ,theta ,alpha ,beta ,gamma

Left Ear_Geoffrey_Geoffrey_Maghreb1
min,-0.38765502,-0.28792804,0.2923975,0.03062323,-0.43782392
Q1,-0.0071632595,0.069987173,0.628271,0.151374065,-0.213126665
Q2,0.13413665,0.24528274,0.7671272,0.20761308,-0.15145865
Q3,0.37293402,0.35627251,0.93516165,0.27161561,-0.070649225
max,1.9314054,1.1258802,1.1670357,0.7890191,0.27484298
mean,0.281022938940299,0.242056652552239,0.771399335820895,0.223867004477612,-0.132188036119403
Std Dev,0.48454662846222,0.265736788397456,0.21928795090086,0.115808711007629,0.147536682155667

Left Forehead_Geoffrey_Geoffrey_Maghreb1
min,-1.0025393,-0.81159323,-0.54124457,-0.5419881,-1.0071541
Q1,-0.579116,-0.5936548,-0.25125733,-0.41523166,-0.8455343
Q2,-0.3002649,-0.43928233,-0.11621135,-0.34021872,-0.7707576
Q3,0.117335945,-0.249009415,0.0123459275,-0.274049745,-0.7248863
max,1.4200462,0.813457,0.43460625,-0.07447613,-0.4694533
mean,-0.112430331791045,-0.348182750746269,-0.0947285266567164,-0.337223793731343,-0.778433797014925
Std Dev,0.618211398093685,0.361980911489877,0.218112849118581,0.100591480925783,0.101519172397524

Right Forehead_Geoffrey_Geoffrey_Maghreb1
min,-0.8893072,-0.95638585,-0.56623477,-0.66615784,-1.1692429
Q1,-0.597294085,-0.64880058,-0.268471915,-0.48056214,-1.04608175
Q2,-0.3536601,-0.4449613,-0.13625869,-0.4203571,-0.9846346
Q3,0.265604085,-0.19710538,0.0004465381,-0.329361675,-0.8558993
max,1.4209282,0.60663754,0.45406964,-0.01405931,-0.3999269
mean,-0.100133887910448,-0.381188722686567,-0.131775101586567,-0.410699905074627,-0.943585670149254
Std Dev,0.652818121464075,0.386242928584727,0.204052971656259,0.118983593775252,0.152996067124963

Right Ear_Geoffrey_Geoffrey_Maghreb1
min,-0.52340955,-0.24064235,0.190537,-0.006148603,-0.4835163
Q1,0.0094614472,0.16527998,0.6674875,0.17124419,-0.2287498
Q2,0.16323417,0.27727026,0.7727604,0.25418043,-0.10684298
Q3,0.402398515,0.35390748,0.8736065,0.3378487,0.0204547365
max,1.5774177,1.1798693,1.3321506,0.7524678,0.42273068
mean,0.220450498423881,0.269999963065672,0.764498795522388,0.256746482074627,-0.0992552672089552
Std Dev,0.359842491178237,0.228861659439944,0.206265366473365,0.135356107653999,0.179154155699693

Left Ear_Geoffrey_Geoffrey_Maghreb2
min,-0.22063282,-0.2341307,0.3690358,-0.02962105,-0.35032776
Q1,-0.021990994,0.022265334,0.6851718,0.13644286,-0.24214952
Q2,0.09178311,0.14039956,0.7967705,0.1939582,-0.17588891
Q3,0.2935219,0.28273988,0.876297,0.2480225,-0.06635533
max,0.82412416,0.79338217,1.1793815,0.45700067,0.16307972
mean,0.166443374,0.166727063422222,0.775667953333333,0.191387904222222,-0.150560035711111
Std Dev,0.274996047004474,0.200794941265409,0.179888900041261,0.0932985762364527,0.120946270505688

Left Forehead_Geoffrey_Geoffrey_Maghreb2
min,-0.8333503,-0.8486544,-0.4656376,-0.5471414,-1.038168
Q1,-0.49802825,-0.7089239,-0.26011387,-0.3619668,-0.9032094
Q2,-0.3844031,-0.5459918,-0.15405682,-0.3150554,-0.8630138
Q3,-0.18480541,-0.3426844,-0.044034783,-0.2411185,-0.8137411
max,0.83527833,0.2498378,0.26608238,-0.1157213,-0.6674098
mean,-0.302350622444444,-0.494825193111111,-0.151326065222222,-0.314984026666667,-0.858822877777778
Std Dev,0.326944104568911,0.267119672846415,0.16998507450856,0.0968012891437576,0.0815461636647134

Right Forehead_Geoffrey_Geoffrey_Maghreb2
min,-1.2821544,-0.8711799,-0.52015316,-0.7068055,-1.1832696
Q1,-0.72177047,-0.6587273,-0.32008556,-0.4647038,-1.0489265
Q2,-0.48140702,-0.57510734,-0.17841446,-0.4058231,-0.9812944
Q3,-0.28315362,-0.35537565,-0.08406843,-0.3050752,-0.9590709
max,0.5765349,0.07277404,0.2208215,-0.2014406,-0.7889202
mean,-0.469018694888889,-0.510323827111111,-0.190552393111111,-0.399351297777778,-0.995356606666667
