,delta ,theta ,alpha ,beta ,gamma

Left Ear_Geoffrey_Geoffrey_Vietnam1
min,0.185578224355731,0.367234918785927,0.381476993169932,0.351333822771326,0.352157265162228
Q1,0.368205858443187,0.498641804497477,0.595342295892684,0.47210309641579,0.443831660079506
Q2,0.403316206937406,0.540940000053633,0.680097679455473,0.515299447202413,0.480686463609617
Q3,0.445782273901779,0.620500029973719,0.726755435855081,0.546027544162397,0.520641225804692
max,0.8660340723034,0.893226043277898,0.855544087761397,0.686056063644353,0.753666371491537
mean,0.408414548061779,0.55572408287556,0.66222768228721,0.51611070401483,0.486022357772908
Std Dev,0.0881206001057084,0.0902844242655558,0.0981032078112486,0.0713519739057334,0.0698050146345526

Left Forehead_Geoffrey_Geoffrey_Vietnam1
min,0.0460202745734259,0.101387164691184,0.0451436444681825,0.150146754750789,0.0650219386717886
Q1,0.148146789933679,0.227711058018653,0.207525697354791,0.221281962088361,0.175846785062771
Q2,0.206174885977324,0.260153283783128,0.246654394818148,0.246402851494444,0.231544605101654
Q3,0.264609873003063,0.334898158990814,0.280793121268664,0.292438212132433,0.286973572735464
max,0.668880256758222,0.6465064786918,0.351397710829464,0.409072268505855,0.338785414817596
mean,0.229510997833755,0.277795129462029,0.241250352770545,0.258773023594412,0.225661807114134
Std Dev,0.127692726015089,0.0998750109301639,0.0570794525488241,0.0539920453416254,0.064637315199517

Right Forehead_Geoffrey_Geoffrey_Vietnam1
min,0.0462750147212355,0.100747941609984,0.0290515796196313,0.0798470687158801,0.00985437175478271
Q1,0.165955658528158,0.213279880056681,0.18255777252145,0.16700388343478,0.0961031417331956
Q2,0.215263883002933,0.272481781558282,0.258395659272816,0.224240413021405,0.141108380734898
Q3,0.287669892761647,0.32763091616554,0.31005644107267,0.272675949800659,0.206767755696865
max,0.630467793998137,0.435006293615978,0.459269506202738,0.382057921816358,0.340507670421378
mean,0.24431447893662,0.272180570415662,0.250656735448713,0.226285975792625,0.158584826814595
Std Dev,0.122413766009073,0.0820376328533741,0.0902588920702007,0.0701439963380814,0.0826074217404287

Right Ear_Geoffrey_Geoffrey_Vietnam1
min,0.24441787988132,0.412797977911488,0.460510283175036,0.438670586585487,0.438164200387927
Q1,0.35469858038905,0.506659318275656,0.581648822763884,0.550305169064894,0.526911832751322
Q2,0.38868780213379,0.540175553434664,0.694707663362559,0.602671094664065,0.593740536778491
Q3,0.431389428040443,0.591107443067018,0.754494803742952,0.633701941705127,0.639482262051958
max,0.512319610886542,0.70454409367648,0.863053711257214,0.845720069551457,0.730919367605502
mean,0.392549347171267,0.548717929456598,0.669013350765758,0.602007931706905,0.587842925215026
Std Dev,0.0611509029827537,0.0664846512665271,0.111457662819781,0.0772210629409584,0.0712372388467484

Left Ear_Geoffrey_Geoffrey_Vietnam2
min,0.278107869651233,0.335735022634267,0.344879978092787,0.431903016101848,0.343364780115188
Q1,0.365755133025316,0.480649592668835,0.527496082311187,0.521308309543593,0.480571279384725
Q2,0.43100278532212,0.537031643337482,0.592406679308261,0.562429324436378,0.529603337477355
Q3,0.516877850275123,0.616819192384305,0.640810499528283,0.612967503880338,0.573974773062989
max,0.767218810396122,0.947017839855912,1,0.784220879650435,0.743898123786037
mean,0.455321716064448,0.559172996953932,0.597446040279237,0.570046536175094,0.527931104744744
Std Dev,0.117869381999036,0.11788747119671,0.11674080216897,0.0684089588119372,0.0786373738885368

Left Forehead_Geoffrey_Geoffrey_Vietnam2
min,0.0668787255963363,0.0774638981042336,0.0126070054794747,0.0943772208126302,0.0782743366222559
Q1,0.130154937523573,0.195919258715756,0.165746408366364,0.233370222070073,0.171513748069041
Q2,0.191923137727441,0.258468159562607,0.220184076989572,0.260882897821204,0.200950649482951
Q3,0.256254446840175,0.319555939999621,0.25863742807774,0.302516138669029,0.251547655081888
max,0.734564560708295,0.508407364382762,0.487147669664394,0.39721314668957,0.38660519451132
mean,0.219678518134398,0.258807569342559,0.212809890328746,0.262748943218375,0.208439805670221
Std Dev,0.13597364564756,0.0962075625337603,0.0756709437442964,0.0662106196442968,0.0646033352502442

Right Forehead_Geoffrey_Geoffrey_Vietnam2
min,0.0841659527657999,0.00137342781787775,0,0.084715082029918,0
Q1,0.199531423881517,0.210626431699237,0.186359953685841,0.179236368811579,0.113974811659636
Q2,0.263108560404716,0.276146228756829,0.249753555154986,0.226083960751512,0.148976405672952
Q3,0.333539737965842,0.34458135062011,0.291297579578763,0.277553681972365,0.19846277164714
max,0.678883627661898,0.594796233639994,0.530012202503789,0.385720060966977,0.314158613396609
mean,0.281517282740577,0.285976055537084,0.24257571522183,0.227814454440939,0.153325805118225
Std Dev,0.129873304770305,0.108289424116209,0.100090646300316,0.0664336036608054,0.0672216284076925

Right Ear_Geoffrey_Geoffrey_Vietnam2
min,0.264841121196775,0.378609322371631,0.440403587612979,0.546628840995258,0.516788943847007
Q1,0.362187937233367,0.500088841692656,0.564133154004081,0.617121800464678,0.626659076838091
Q2,0.436824680096773,0.552723105896674,0.616750139403436,0.652647015197779,0.659187399169783
Q3,0.534224317517051,0.64881017310623,0.679106391252657,0.695924705158371,0.712687728734431
max,0.809211587012047,0.914039914959412,0.923784514360571,0.810474120214973,0.868037615784304
mean,0.453124371152971,0.573785914422243,0.625199448491504,0.65773365583207,0.670757997417764
Std Dev,0.121585089231653,0.11971792412696,0.101228907234726,0.0591298369278688,0.068638155256596

Left Ear_Geoffrey_Geoffrey_Vietnam3
min,0.196043514768469,0.391368221992717,0.384969974355323,0.383466543001101,0.352440372970943
Q1,0.396950515941,0.517426378620235,0.604921234376957,0.539593044143051,0.486545823290693
Q2,0.488875234248461,0.58106179110316,0.666193530766127,0.594116461102096,0.558388550014717
Q3,0.686166633615649,0.723375076242674,0.730126117945565,0.639227415812158,0.599852205834956
max,0.913644977251819,0.979294993904479,0.875095102742843,0.791203802237864,0.829846341398549
mean,0.5374129282129,0.629680001922756,0.667303604470166,0.594546698983594,0.551584100628042
Std Dev,0.186471319955772,0.155168384266134,0.102683327981562,0.0827984187020099,0.0967431770622684

Left Forehead_Geoffrey_Geoffrey_Vietnam3
min,0.0157064637486469,0.124327440347325,0.0707704572613097,0.107219050972251,0.108889703519158
Q1,0.167109250191178,0.204732188495853,0.180641696464946,0.229463517217186,0.211414143929767
Q2,0.242435385705374,0.300471223196769,0.27793392645084,0.253268832003628,0.245399843224367
Q3,0.495076673303213,0.416380371513219,0.317924731146034,0.307647349072732,0.291436204307769
max,0.675539533824262,0.602200447278823,0.495491552231831,0.414844209164288,0.455526295979593
mean,0.316498440409428,0.324070669949154,0.26131092498202,0.267840982062639,0.252487814335362
Std Dev,0.188456495729801,0.126140810536768,0.0930251500732011,0.0609729863347153,0.0690984284223393

Right Forehead_Geoffrey_Geoffrey_Vietnam3
min,0.102770713426137,0.110971488462021,0.131628798377701,0.166588038962011,0.0457650294776955
Q1,0.240480158202055,0.2728277877051,0.234649532733026,0.235821284249239,0.12245304394
Q2,0.362554707825949,0.340433513403443,0.304484039161861,0.271391625753955,0.174311131565768
Q3,0.542755316442624,0.482763901512501,0.371784528644755,0.312003951190854,0.236990366502484
max,0.844837460520095,0.700730190939944,0.544576967003946,0.454465379742749,0.323681504757586
mean,0.391704515262189,0.372115824094155,0.307210371430424,0.276414112502353,0.180218597130047
Std Dev,0.192119699642497,0.14486087734507,0.0871915429860891,0.0612237880946325,0.0688854988440193

Right Ear_Geoffrey_Geoffrey_Vietnam3
min,0.288993134180473,0.375616215115976,0.424114035620851,0.415249267851165,0.451649727716156
Q1,0.382959968543123,0.5206411194704,0.582250721629253,0.583145054226627,0.557255868042518
Q2,0.467905919208819,0.56007527425953,0.627617007430032,0.630614892196407,0.621364680496399
Q3,0.613287914555044,0.666624873584866,0.719882821895659,0.713212934162373,0.696581320372673
max,0.879318980755304,1,0.977268124318701,0.932177702904761,0.912080147372701
mean,0.511824909321102,0.619082868358283,0.646227525419762,0.651452432156079,0.63629014803375
Std Dev,0.160793101065899,0.150956729472892,0.103423400835326,0.0988913256557608,0.0997951354264131

Left Ear_Geoffrey_Geoffrey_Vietnam4
min,0.265704814810208,0.350646329404513,0.398419437547997,0.443042114048373,0.444292682932326
Q1,0.352366350538436,0.482920644167664,0.606035086965556,0.53841357951905,0.549785523789733
Q2,0.408851634921628,0.567071566341788,0.662474014239421,0.580729007528037,0.6017111555464
Q3,0.561210954046437,0.663309874320585,0.744044903770763,0.629616403739375,0.66560257027745
max,0.965179388662993,0.944883910012407,0.932993706566779,0.815603144642172,0.787275868993629
mean,0.4772422129572,0.589106528602793,0.672409803558195,0.59818870414132,0.603323059139972
Std Dev,0.187256874548868,0.141277056671752,0.122089176582137,0.0873184298766431,0.0815062919152381

Left Forehead_Geoffrey_Geoffrey_Vietnam4
min,0,0.0634385764101035,0.0467450048022955,0.121198386044186,0.16001544091231
Q1,0.13423940305294,0.175442622732432,0.162146645295572,0.21844423347063,0.226962943726203
Q2,0.194885416451657,0.22869869855236,0.212798909518846,0.260621684359586,0.262806902500251
Q3,0.3090643154683,0.341503056151546,0.255719848966166,0.296433176169901,0.309888655155363
max,0.796945685835179,0.627294085955976,0.489490750998014,0.398975724378347,0.404966210749183
mean,0.244912776707013,0.270990353404338,0.216451373549089,0.256438584965892,0.270328380993142
Std Dev,0.176349831371776,0.135935439887701,0.0813664714286164,0.0590155013033827,0.0596514122252331

Right Forehead_Geoffrey_Geoffrey_Vietnam4
min,0.0519043571689357,0,0.118268883544285,0,0.00621276409684755
Q1,0.185931909979899,0.219202738862644,0.204749810101329,0.177083028660942,0.113467209416275
Q2,0.26851633321041,0.289488969282085,0.265543462920638,0.21926169057475,0.16967358957149
Q3,0.368600264843855,0.369364971076875,0.315249763310939,0.267968328297003,0.222520596522718
max,0.760884485910179,0.692950886266215,0.457746072180536,0.36077448197109,0.323063789381539
mean,0.303222722040167,0.314344937204158,0.269015762505413,0.215993506857598,0.169281981291937
Std Dev,0.165354781130263,0.135769852662244,0.0812057746089297,0.0720831332384754,0.0732172684852366

Right Ear_Geoffrey_Geoffrey_Vietnam4
min,0.215348685789395,0.344007306321116,0.364234691665538,0.516451377106946,0.554062164603596
Q1,0.333314254887735,0.481198552900846,0.543189801371552,0.605624874720246,0.641223364933375
Q2,0.389438787720467,0.530405294206543,0.618837118150633,0.649283143803345,0.677383700698278
Q3,0.536825575425328,0.651551716300349,0.70125463392228,0.704028785355564,0.739947888047864
max,1,0.901571496576119,0.933998490001231,1,1
mean,0.455220588709994,0.570634916676898,0.633363606944241,0.673865551627378,0.705003101990737
Std Dev,0.178454650269612,0.133952305100288,0.122802682609342,0.101963233045841,0.101993586401397

