,delta ,theta ,alpha ,beta ,gamma

Left Ear_Geoffrey_Geoffrey_Vietnam1
min,-0.52905023,-0.26619604,0.1180245,-0.1935424,-0.6109377
Q1,0.0186316175,0.0376200175,0.58156305,0.003414182,-0.4482371375
Q2,0.12392401,0.13541452,0.7652646,0.073860955,-0.3828285
Q3,0.25127546,0.31935933,0.866392125,0.123973875,-0.3119181625
max,1.5115682,0.9499088,1.1455328,0.3523394,0.10164685
mean,0.139213420609375,0.169595695,0.7265325921875,0.0751839932536563,-0.37335853859375
Std Dev,0.264264788348469,0.208739882126341,0.212632054476488,0.116364373779363,0.1238875386809

Left Forehead_Geoffrey_Geoffrey_Vietnam1
min,-0.94757044,-0.8808428,-0.61095524,-0.52164835,-1.1205356
Q1,-0.641303325,-0.58877875,-0.259003145,-0.40563749,-0.923847475
Q2,-0.46728292,-0.5137715,-0.174194345,-0.364669085,-0.8249969
Q3,-0.29204229,-0.34095945,-0.100200969,-0.2895923125,-0.726623475
max,0.9203238,0.3794869,0.052829694,-0.09937965,-0.6346696
mean,-0.39730027515625,-0.4729831046875,-0.18590723990625,-0.34449518859375,-0.8354374875
Std Dev,0.382937601123198,0.230913562095817,0.123715845125077,0.0880529325445943,0.11471608349246

Right Forehead_Geoffrey_Geoffrey_Vietnam1
min,-0.9468065,-0.8823207,-0.6458337,-0.6362966,-1.2184451
Q1,-0.587896325,-0.622144,-0.31311943,-0.4941569,-1.06537375
Q2,-0.440025935,-0.4852677,-0.14874595,-0.4008127,-0.9855
Q3,-0.2228876175,-0.3577615,-0.0367747065,-0.3218216,-0.86897
max,0.8051287,-0.1095069,0.2866345,-0.143436,-0.631613
mean,-0.352906129,-0.4859641078125,-0.165519542921875,-0.39747669375,-0.9544834046875
Std Dev,0.367106532712219,0.189673090912875,0.195630031717044,0.11439434344236,0.146608810409605

Right Ear_Geoffrey_Geoffrey_Vietnam1
min,-0.35259604,-0.16085309,0.2893238,-0.05110923,-0.45829555
Q1,-0.0218753465,0.056156713,0.551883375,0.13095004,-0.300789305
Q2,0.0800549,0.1336471,0.79693075,0.216351015,-0.18218402
Q3,0.2081127675,0.2514029225,0.926515325,0.266957675,-0.1010031795
max,0.45081422,0.51367134,1.1618094,0.61272746,0.06127625
mean,0.0916352839375,0.153397290339062,0.74124006875,0.215269495625,-0.192650898125
Std Dev,0.183385387919167,0.153714202438353,0.241576930676067,0.125935978219368,0.126429400944193

Left Ear_Geoffrey_Geoffrey_Vietnam2
min,-0.25156316,-0.3390246,0.03870295,-0.062146123,-0.6265423
Q1,0.01128213925,-0.00397843325,0.43451098,0.08366050875,-0.383032925
Q2,0.206953265,0.1263783,0.5752003,0.15072272,-0.296012515
Q3,0.46448392,0.31084914,0.6801123,0.233142915,-0.2172636175
max,1.2152312,1.0742768,1.4586312,0.5124315,0.0843105
mean,0.279883284516129,0.177569671951613,0.586122773387097,0.163145250525806,-0.298980336129032
Std Dev,0.353478383594466,0.272558827748561,0.253027777177079,0.111564757319344,0.139562906051713

Left Forehead_Geoffrey_Geoffrey_Vietnam2
min,-0.88501805,-0.936154,-0.6814762,-0.6126001,-1.0970157
Q1,-0.695259075,-0.6622821975,-0.3495569225,-0.38592335,-0.9315376
Q2,-0.510022475,-0.51766755,-0.231566965,-0.3410543,-0.879294
Q3,-0.31709937,-0.37643105,-0.1482219325,-0.273156725,-0.789496175
max,1.1173044,0.06019824,0.34705853,-0.1187201,-0.5498007
mean,-0.426786889677419,-0.516882825967742,-0.24755001483871,-0.338011059677419,-0.866002503225806
Std Dev,0.407771243556187,0.222434328250142,0.164011642345905,0.107979595667963,0.114655777047401

Right Forehead_Geoffrey_Geoffrey_Vietnam2
min,-0.8331754,-1.1120771,-0.70880103,-0.6283576,-1.2359343
Q1,-0.4872059925,-0.62827884,-0.30487846,-0.47420755,-1.033655725
Q2,-0.296544575,-0.476795405,-0.167477125,-0.39780615,-0.9715361
Q3,-0.08532858,-0.318571665,-0.0774332675,-0.31386675,-0.8837094
max,0.9503229,0.2599315,0.4399645,-0.1374636,-0.6783764
mean,-0.241338674154839,-0.454068595806452,-0.183034606612903,-0.394983974193548,-0.963816935483871
Std Dev,0.389476936789695,0.250367899108047,0.216939692712835,0.108343249173585,0.119302633673955

Right Ear_Geoffrey_Geoffrey_Vietnam2
min,-0.2913488,-0.23989813,0.2457439,0.1249545,-0.31875506
Q1,0.000584479,0.04096560425,0.51391935,0.23991795,-0.1237613275
Q2,0.22441254,0.16265736,0.6279631,0.29785425,-0.06603118
Q3,0.516504225,0.3848131,0.76311605,0.368433675,0.0289193645
max,1.3411633,0.998031,1.2934393,0.5552466,0.304629
mean,0.27329366883871,0.211355108306452,0.64627640483871,0.306149798387097,-0.0454960802580645
Std Dev,0.364621414670223,0.276790881416805,0.219406796148226,0.0964319004667984,0.121816636796866

Left Ear_Geoffrey_Geoffrey_Vietnam3
min,-0.49766588,-0.21039923,0.1255953,-0.14113875,-0.61043525
Q1,0.104833945,0.08105043,0.60232475,0.11348017,-0.37242951
Q2,0.3805069,0.22817712,0.7351283,0.20239969,-0.24492551
Q3,0.9721639,0.55720905,0.87369785,0.275968895,-0.17133724
max,1.6543485,1.1489024,1.1879083,0.5238196,0.23684844
mean,0.526066546746032,0.34058365831746,0.737534309523809,0.203101343492063,-0.257001812698413
Std Dev,0.559208673591176,0.358753245700262,0.222559154550898,0.135031809420015,0.171696462684823

Left Forehead_Geoffrey_Geoffrey_Vietnam3
min,-1.0384785,-0.8278043,-0.55541086,-0.591657,-1.0426806
Q1,-0.58443682,-0.64190648,-0.317272395,-0.3922946,-0.86072375
Q2,-0.35854134,-0.4205554,-0.10639808,-0.3534717,-0.8004071
Q3,0.39910439,-0.152570505,-0.019720721,-0.26478849,-0.71870335
max,0.9402943,0.27705023,0.36514333,-0.08996648,-0.4274819
mean,-0.136433711904762,-0.36599287968254,-0.142427309142857,-0.329706707619048,-0.787827612698413
Std Dev,0.565162015433253,0.291640757937595,0.201625708469243,0.099437800861269,0.12263351377803

Right Forehead_Geoffrey_Geoffrey_Vietnam3
min,-0.7773816,-0.8586836,-0.42350453,-0.49483508,-1.1547121
Q1,-0.36440487,-0.484467725,-0.20021407,-0.381926035,-1.01860885
Q2,0.001684387,-0.32816157,-0.04885251,-0.32391614,-0.9265729
Q3,0.54208783,0.0009099025,0.09701674,-0.257683525,-0.81533195
max,1.4480017,0.5048535,0.47153264,-0.02535029,-0.6614755
mean,0.0891017182857143,-0.254911262952381,-0.0429433695714286,-0.315725216984127,-0.916088533333333
Std Dev,0.576147594350156,0.334922027888087,0.18898176045148,0.0998468209365103,0.122255613687205

Right Ear_Geoffrey_Geoffrey_Vietnam3
min,-0.21891935,-0.24681827,0.2104374,-0.08930589,-0.4343619
Q1,0.062877705,0.0884829925,0.55318795,0.18450697,-0.246935755
Q2,0.31762204,0.17965576,0.6515163,0.26192316,-0.13315764
Q3,0.753607975,0.42600114,0.8514962,0.396628185,0.000334265
max,1.5514083,1.1967729,1.4093614,0.7537269,0.38279417
mean,0.449330659920635,0.316082816349206,0.691853336507936,0.295906064126984,-0.106668433650794
Std Dev,0.482202286072733,0.349015792842254,0.224163212306695,0.16127692833483,0.177112973402139

Left Ear_Geoffrey_Geoffrey_Vietnam4
min,-0.28875867,-0.30454928,0.1547461,-0.043979924,-0.44741893
Q1,-0.0288694685,0.0012722955,0.60473895,0.11155664,-0.260193865
Q2,0.1405242,0.195831365,0.7270665,0.18056676,-0.16803804
Q3,0.597434425,0.4183367775,0.903865875,0.260294775,-0.054645755
max,1.808895,1.0693431,1.3133996,0.56361127,0.16129583
mean,0.345620642919355,0.246776757435484,0.74860165,0.209040907967742,-0.165177288951613
Std Dev,0.561564472553412,0.32663614346233,0.264620016258285,0.142403270096166,0.144654563074723

Left Forehead_Geoffrey_Geoffrey_Vietnam4
min,-1.0855806,-0.9685809,-0.6074844,-0.5688588,-0.9519444
Q1,-0.683010175,-0.7096247,-0.357359165,-0.4102654,-0.833128275
Q2,-0.5011389,-0.5864953,-0.247573815,-0.3414803,-0.76951365
Q3,-0.1587279025,-0.32568876,-0.1545455875,-0.283077125,-0.685954575
max,1.3043791,0.33506736,0.352137,-0.1158456,-0.5172142
mean,-0.351111894354839,-0.488715919774194,-0.239657346741935,-0.348302308064516,-0.756164788709677
Std Dev,0.528855350585971,0.314286189780539,0.176356312615757,0.0962454362021718,0.105867274408763

Right Forehead_Geoffrey_Geoffrey_Vietnam4
min,-0.92992467,-1.1152525,-0.45246124,-0.7665152,-1.2249081
Q1,-0.5279895625,-0.6084502,-0.2650196925,-0.477719325,-1.0345566
Q2,-0.28032721,-0.44594665,-0.13325357,-0.40893225,-0.93480345
Q3,0.0198144025,-0.261271305,-0.0255185325,-0.329499025,-0.8410124
max,1.1962352,0.48686755,0.28333256,-0.1781461,-0.6625718
mean,-0.176246251774194,-0.388479020822581,-0.125727595967742,-0.414262167741935,-0.935498462903226
Std Dev,0.495882304312241,0.313903347909366,0.17600801314951,0.117556785050281,0.129943489433562

Right Ear_Geoffrey_Geoffrey_Vietnam4
min,-0.43977162,-0.31989887,0.08065298,0.07573958,-0.25260383
Q1,-0.086004781,-0.00270922325,0.4685260525,0.2211681875,-0.09791313
Q2,0.08230703,0.1110580125,0.632486485,0.29236828,-0.03373701
Q3,0.524305135,0.3911516175,0.811120865,0.381650215,0.0772997575
max,1.9133185,0.9692037,1.3155774,0.8643349,0.5388313
mean,0.279580013783871,0.204069921483871,0.663971665,0.332458502258065,0.0152809533064516
Std Dev,0.535167490084354,0.309701131780416,0.266166492217949,0.166286748809133,0.181014708565827

