,delta ,theta ,alpha ,beta ,gamma

Left Ear_Halima_Halima_Chine1
min,-0.16711617,-0.24329005,0.3502828,0.6742558,0.3723663
Q1,0.2259008825,0.337982425,0.919605225,0.806480025,0.5359078
Q2,0.31843194,0.4462263,1.12407025,0.87990585,0.63530555
Q3,0.502417965,0.668334915,1.322037525,0.936498025,0.6838045
max,1.5976735,1.1881384,1.8137069,1.1730384,0.8185703
mean,0.405380469516129,0.497678169354839,1.09638898709677,0.8793298,0.614136622580645
Std Dev,0.344357310582164,0.270566460677974,0.323522429983852,0.10664118817037,0.106335154745088

Left Forehead_Halima_Halima_Chine1
min,-0.6912474,-0.6262808,-0.18974906,0.5384951,0.2563667
Q1,-0.1787046825,-0.2291503025,0.189316185,0.729918725,0.47679205
Q2,0.440176515,0.09772331,0.34496124,0.77543375,0.5414268
Q3,1.027080625,0.4764909875,0.52868791,0.850462,0.599197825
max,1.5775414,1.0613064,0.95787746,0.9732475,0.8919979
mean,0.446024830806452,0.122148068064516,0.340175372258064,0.78509229516129,0.544311259677419
Std Dev,0.679605116356434,0.478938226249788,0.250965907869611,0.0892358434580209,0.129198082908836

Right Forehead_Halima_Halima_Chine1
min,-0.83931583,-0.69126153,-0.20347902,0.3604699,0.05292319
Q1,-0.395395025,-0.42557437,0.06760624625,0.5379736,0.198598215
Q2,0.107037425,-0.230816365,0.13010848,0.5779079,0.27117994
Q3,1.017946025,0.494008335,0.195102345,0.655098625,0.34545839
max,1.6196566,1.1136562,0.884092,0.7787884,0.4884861
mean,0.286071008870968,0.0165519917419355,0.171350361822581,0.58895645483871,0.268698724354839
Std Dev,0.759555303134332,0.534996791085707,0.198172950490319,0.0850840709992869,0.102626036569422

Right Ear_Halima_Halima_Chine1
min,-0.18018623,-0.28662017,0.5147776,0.379485,0.1689995
Q1,0.1537809375,0.177447395,0.942060775,0.72286695,0.4593523
Q2,0.3027029,0.33139121,1.07218225,0.79964705,0.55078285
Q3,0.501784245,0.4526546275,1.194859125,0.8686873,0.62022725
max,1.6479393,1.1392934,1.5468174,0.9878148,0.9189049
mean,0.386187110080645,0.374931281935484,1.07152106935484,0.792586558064516,0.542171124193548
Std Dev,0.402374846531136,0.293589127724909,0.224775459777581,0.112132549451374,0.149408350476985

Left Ear_Halima_Halima_Chine2
min,-0.27475247,-0.02290042,0.4975875,0.6655958,0.3634532
Q1,0.1483164,0.34051692,1.0830431,0.8099999,0.6311539
Q2,0.3106183,0.4540716,1.2451105,0.8870279,0.7319088
Q3,0.52588874,0.6395868,1.4441752,0.9648018,0.8229311
max,1.171825,0.9630545,1.6496106,1.2734603,1.1662242
mean,0.353767045901639,0.483709501967213,1.22909223934426,0.891392785245902,0.731010967213115
Std Dev,0.293917163528399,0.210523837873178,0.267322826981562,0.119083663693829,0.167081026824536

Left Forehead_Halima_Halima_Chine2
min,-0.9274787,-0.6384894,-0.07937033,0.6160284,0.3740793
Q1,-0.19178611,-0.36967856,0.22038594,0.7469293,0.5870532
Q2,0.2603525,-0.1909772,0.31115705,0.7897266,0.6943005
Q3,0.8451157,0.27168253,0.4830879,0.8870678,0.7899127
max,1.8680923,0.95313895,0.88852423,1.0855702,1.0487496
mean,0.32917358295082,-0.00640699606557377,0.358055329836066,0.818430904918033,0.687891509836066
