,delta ,theta ,alpha ,beta ,gamma

Left Ear_Halima_Halima_Francais1
min,-0.22534971,0.05929496,0.4351664,0.6888754,0.7947595
Q1,0.189971665,0.382577355,0.860972375,0.9477246,1.018002975
Q2,0.398928255,0.49381122,1.03097035,1.0458355,1.0759909
Q3,0.580805055,0.6168891425,1.156424675,1.12278575,1.1897935
max,1.5217903,1.072895,1.6790437,1.2476627,1.2897238
mean,0.43257338171875,0.51144547765625,1.0167551125,1.0348333515625,1.0842762625
Std Dev,0.363647112759624,0.19968603532823,0.226341212205327,0.123214972938885,0.115410993681547

Left Forehead_Halima_Halima_Francais1
min,-0.12415075,-0.37179583,-0.02834469,0.2482379,0.2798226
Q1,0.1938343525,-0.07209013,0.2718609425,0.565598175,0.524800475
Q2,0.433414505,0.136074885,0.446960005,0.69997825,0.64075855
Q3,0.8900485175,0.355831475,0.5344528125,0.800652875,0.718991725
max,1.4913179,0.9820111,0.89468014,0.9520017,0.886094
mean,0.5570388175,0.16637928171875,0.4152489334375,0.6618125640625,0.627949353125
Std Dev,0.454403900873725,0.325738156072442,0.199740386978116,0.172303805354057,0.140025477970539

Right Forehead_Halima_Halima_Francais1
min,-0.6857925,-0.8206811,-0.2550767,-0.08524703,-0.17079678
Q1,-0.3634673025,-0.4434608825,0.068641557,0.16124241,0.02430882825
Q2,-0.0225692,-0.240161035,0.18355828,0.23322667,0.1304935
Q3,0.8651009,0.435972945,0.37383363,0.3213362775,0.300311165
max,1.4804509,1.0514604,0.8983061,0.63779205,0.47065666
mean,0.244876685,-0.02701077171875,0.23816535034375,0.2462276053125,0.158490856123437
Std Dev,0.67154228546825,0.501418243404267,0.244976727348653,0.132380047556142,0.173030452727334

Right Ear_Halima_Halima_Francais1
min,-0.066575356,0.1215415,0.6144307,0.7941016,0.4363137
Q1,0.427123175,0.69805565,0.8670896,0.9312483,0.93002635
Q2,0.86538253,0.9342093,1.1856683,1.0339775,1.04469545
Q3,1.0582445,1.2345941,1.4708589,1.0735116,1.192572575
max,1.2695706,1.5809294,1.8229,1.3389217,1.3671579
mean,0.770372685640625,0.9261143078125,1.19142873125,1.0209288578125,1.0502455578125
Std Dev,0.376912714031861,0.372904103241535,0.310756493407386,0.123464689834259,0.172644539207001

Left Ear_Halima_Halima_Francais2
min,-0.21595825,-0.03106873,0.5033563,0.7101911,0.568127
Q1,0.086917913,0.31339715,0.8750241,0.88487045,0.7846179
Q2,0.17328441,0.38831002,1.0154896,0.9619234,0.8821129
Q3,0.308888645,0.481603515,1.1772075,1.02547785,1.0012099
max,1.590749,0.94342643,1.5101393,1.2143276,1.3351676
mean,0.235639303285714,0.40877398047619,1.02451348730159,0.965088428571429,0.897094882539683
Std Dev,0.298606816801102,0.18533349073246,0.227016536967325,0.107199846110958,0.153378706062139

Left Forehead_Halima_Halima_Francais2
min,-0.88210404,-0.7335177,-0.20445122,0.5720409,0.4616564
Q1,-0.23794654,-0.423626855,0.052405645,0.70127375,0.68458345
Q2,-0.08596565,-0.2816825,0.19167669,0.8034811,0.7630183
Q3,0.19945366,-0.15296308,0.299870135,0.85118895,0.84197905
max,1.7061744,1.1446651,0.8284573,1.2225138,1.06966
mean,0.0656822273650794,-0.183199817777778,0.193238354603175,0.783947666666667,0.763564014285714
Std Dev,0.57869496958941,0.398690131616287,0.213815202167638,0.115407283324624,0.119238477257787

Right Forehead_Halima_Halima_Francais2
min,-0.86869174,-1.1032789,-0.36746126,0.1650867,-0.020202186
Q1,-0.569492735,-0.6240469,-0.086591515,0.33625275,0.151971285
Q2,-0.46624583,-0.489203,0.014017852,0.3795396,0.20619285
Q3,-0.269494365,-0.3400065,0.180897195,0.44535025,0.31275742
max,1.6595721,1.1366999,0.8485774,1.1078414,1.1297607
mean,-0.158701110793651,-0.312117904761905,0.0497807428730159,0.401568625396825,0.258646331492064
Std Dev,0.727818912468015,0.540692149126297,0.223611204482046,0.141781875486682,0.19549856401151

Right Ear_Halima_Halima_Francais2
min,-0.13629948,-0.17710732,0.1428354,0.6323335,0.4847743
Q1,0.035092645,0.17819822,0.90529975,0.8364932,0.7384753
Q2,0.1356053,0.34692246,1.0275936,0.9065202,0.8470368
Q3,0.343934975,0.479063955,1.1600096,0.9690556,0.9256941
max,1.5307329,0.9097551,1.6109113,1.3069903,1.1330802
mean,0.220344019047619,0.330154298857143,1.03356994761905,0.902240642857143,0.834893768253968
Std Dev,0.310866286106612,0.226467028913534,0.269094537293349,0.11656029570479,0.149572922177063

Left Ear_Halima_Halima_Francais3
min,-0.18988024,0.1169838,0.6164672,0.842567,0.6453688
Q1,0.15090473,0.3372583,0.9697833,0.9532685,0.842056
Q2,0.2862973,0.4595372,1.1711515,1.0003173,0.9129888
Q3,0.46055436,0.6457534,1.3007071,1.0596333,1.0064526
max,1.2759696,0.9816688,1.6232487,1.2282343,1.1875374
mean,0.326198458107692,0.499514798461538,1.14106252,1.01060763076923,0.924860278461539
Std Dev,0.302299372063562,0.213797937729598,0.249947709466664,0.0827962333242542,0.120807316711367

Left Forehead_Halima_Halima_Francais3
min,-0.5980898,-0.6701498,-0.15772635,0.5810485,0.4570579
Q1,-0.27256387,-0.41409466,0.11375455,0.7732802,0.7076966
Q2,-0.06905976,-0.13553794,0.2642368,0.8424038,0.7948541
Q3,0.33873573,0.051672257,0.41195944,0.906885,0.87197
max,1.6579095,1.0655403,1.0328776,1.245238,1.0175831
mean,0.0867117998461538,-0.106865522184615,0.280299887846154,0.84262012,0.778482903076923
Std Dev,0.52615265124513,0.396477506030141,0.237063505859888,0.105833675343476,0.126598859075935

Right Forehead_Halima_Halima_Francais3
min,-0.8633756,-0.8033391,-0.25217244,0.2295888,0.02058099
Q1,-0.46234196,-0.543588,0.027325882,0.4173614,0.17271145
Q2,-0.30380127,-0.3443244,0.16425194,0.4792132,0.24028173
Q3,0.73368394,0.21459876,0.2757692,0.5643907,0.30216065
max,1.6690407,1.0446095,0.9053561,0.6768013,0.4909821
mean,0.0563398384615385,-0.135203808153846,0.168428350446154,0.484978327692308,0.241825379076923
Std Dev,0.723758286582229,0.514475340889803,0.204735297569811,0.102063231850201,0.107841532017921

Right Ear_Halima_Halima_Francais3
min,-0.33365998,-0.13043386,0.370303,0.7240821,0.5333474
Q1,0.110618405,0.20503345,0.944093,0.9167104,0.7950182
Q2,0.25991642,0.40663257,1.0890945,0.9749914,0.8788137
Q3,0.5484021,0.5277291,1.2493213,1.0442237,0.9628771
max,1.5538331,1.2605721,1.6881422,1.2743843,1.2977754
mean,0.355316384323077,0.406763628323077,1.10176049692308,0.987232370769231,0.890773436923077
Std Dev,0.417986903680395,0.277565480619252,0.281291313375979,0.106991272104885,0.137941967267761

Left Ear_Halima_Halima_Francais4
min,-0.12448468,-0.01699704,0.5377504,0.6048164,0.3145998
Q1,0.18731469,0.27623594,1.0867615,0.8381417,0.5893185
Q2,0.26859388,0.44629908,1.2401147,0.935212,0.7354134
Q3,0.56084114,0.6052431,1.3503821,1.002281,0.9179293
max,1.4111288,1.0223945,1.7052339,1.2048965,1.1723498
mean,0.382068131147541,0.452757164426229,1.20235260983607,0.918424913114754,0.752785293442623
Std Dev,0.339336502298822,0.219800365641769,0.243798567867155,0.138667529367131,0.196837840737566

Left Forehead_Halima_Halima_Francais4
min,-0.73951834,-0.72935146,0.006554955,0.672889,0.5231659
Q1,-0.40886056,-0.42109728,0.19353366,0.7814743,0.7024621
Q2,-0.1756032,-0.3270745,0.29537836,0.8455899,0.806287
Q3,0.30803528,-0.05012529,0.40730575,0.8894512,0.884751
max,1.6156539,0.94155926,0.63827276,1.0219569,1.069593
mean,0.0202115252459016,-0.207926080327869,0.302067383590164,0.835250375409836,0.803241214754098
Std Dev,0.567179176861211,0.378088124584457,0.145077612304638,0.072369989195298,0.133242967075439

Right Forehead_Halima_Halima_Francais4
min,-0.7122732,-0.6950235,-0.09246476,0.290661,-0.016244
Q1,-0.46447465,-0.5695574,0.07981399,0.4071565,0.2023453
Q2,-0.30382782,-0.37384802,0.16841753,0.4879295,0.2816056
Q3,0.3138625,-0.08305518,0.2849583,0.5394512,0.3201814
max,1.5445142,0.9689045,0.48782143,0.669322,0.4579511
mean,-0.012325638852459,-0.234675643114754,0.181931323147541,0.480961183606557,0.267351080327869
Std Dev,0.652642573796494,0.450909974179539,0.144877880397873,0.0945357784549553,0.0885617377201122

Right Ear_Halima_Halima_Francais4
min,-0.19902395,-0.23364395,0.5015513,0.7049312,0.5268955
Q1,0.0690431,0.15167807,0.918347,0.913811,0.7456725
Q2,0.27479002,0.2963518,1.0730252,0.9894932,0.8410547
Q3,0.5521827,0.41961026,1.2513179,1.090418,0.9680034
max,1.2492123,1.1434772,1.6127019,1.2411367,1.219614
mean,0.343690429032787,0.290843808688525,1.06345674262295,0.991372229508197,0.855498136065574
Std Dev,0.354956423423877,0.233597663584811,0.250944574300743,0.123643584051368,0.171598936629087


	Pearson's product-moment correlation

data:  GeoffreyC1 and GeoffreyC2
t = 23.512, df = 158, p-value < 2.2e-16
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 0.8419265 0.9122208
sample estimates:
      cor 
0.8818829 


	Pearson's product-moment correlation

data:  GeoffreyC1 and GeoffreyC2
t = 23.512, df = 158, p-value < 2.2e-16
alternative hypothesis: true correlation is not equal to 0
95 percent confidence interval:
 0.8419265 0.9122208
sample estimates:
      cor 
0.8818829 

function (save = "default", status = 0, runLast = TRUE) 
.Internal(quit(save, status, runLast))
<bytecode: 0x00000215ae1eb358>
<environment: namespace:base>
