,delta ,theta ,alpha ,beta ,gamma

Left Ear_Halima_Halima_Guinee1
min,0.338048844106867,0.427792186942947,0.430424657750152,0.524041507957403,0.563286185399701
Q1,0.445668997356274,0.581712574009481,0.587751783454464,0.671862013447061,0.669455678645712
Q2,0.481590578195471,0.631210266466565,0.707512236295703,0.72617651016429,0.753101173334022
Q3,0.554044187973462,0.687170989850147,0.79268398115342,0.801770787393934,0.807586602623075
max,0.730845165371943,0.842659256381757,0.967125868034639,0.945660324041131,0.971740236379898
mean,0.503966069540442,0.635171666130573,0.692424725214264,0.729065355626592,0.747604868916954
Std Dev,0.0840968144194177,0.0959086609207069,0.136672820097564,0.0994088078559254,0.0935820632566554

Left Forehead_Halima_Halima_Guinee1
min,0.219010516863063,0.032004688912731,0,0.257264615158406,0.313762782966935
Q1,0.294804591349817,0.249872226068997,0.246882627572503,0.512020641771742,0.56858753607999
Q2,0.392695159501296,0.326183475421799,0.281865407220243,0.588026224830969,0.638290418403395
Q3,0.547390469028428,0.430103748416285,0.35357155252776,0.6487809072947,0.705860344800863
max,0.881321728257301,0.815716056715121,0.513870876231804,0.746062096767461,0.828827383282541
mean,0.445876728315934,0.360297837922111,0.295098811095268,0.563716783040814,0.629221379805807
Std Dev,0.177338888669741,0.156974777683374,0.101172174440872,0.115705483345834,0.108523725993571

Right Forehead_Halima_Halima_Guinee1
min,0.0857645414426535,0,0.111283796994792,0.0458507257860299,0.116400699554007
Q1,0.219134468637203,0.178340052699079,0.204253344035576,0.225635537972675,0.287571370484859
Q2,0.276847466223296,0.244947885843403,0.245187769143823,0.302772526242739,0.335188770470993
Q3,0.396244551605652,0.337139777796478,0.27976845766862,0.366539516732706,0.383583887680039
max,0.916531530153291,0.900914901944154,0.367387257939445,0.522190901020985,0.446973650337995
mean,0.357107461807845,0.307079021590504,0.239979350200989,0.293442536822124,0.325686239712243
Std Dev,0.213535388300263,0.207683896006292,0.0541690834484556,0.111412894290721,0.071544619971229

