,delta ,theta ,alpha ,beta ,gamma

Left Ear_Halima_Halima_Guinee1
min,-0.19751392,-0.04851402,0.5683665,0.6894141,0.5496002
Q1,0.133468665,0.30028677,0.90815325,0.85408805,0.70865365
Q2,0.24394442,0.41245407,1.1668055,0.9145951,0.8339637
Q3,0.466773345,0.53926732,1.3507549,0.9988081,0.9155888
max,1.0105195,0.8916211,1.7275052,1.1591029,1.1615088
mean,0.312759579079365,0.421431044126984,1.1342202968254,0.917813311111111,0.825729638095238
Std Dev,0.258637255071531,0.217339738643747,0.295178680385776,0.110742694325122,0.140196110615311

Left Forehead_Halima_Halima_Guinee1
min,-0.56361276,-0.9454127,-0.36124176,0.3922212,0.175787
Q1,-0.330510335,-0.451700525,0.171962195,0.6760227,0.5575422
Q2,-0.0294508,-0.27877071,0.24751614,0.7606939,0.6619647
Q3,0.44631003,-0.0432757635,0.402383255,0.8283754,0.7631918
max,1.4733057,0.8305648,0.7485892,0.9367479,0.9474098
mean,0.134107535396825,-0.201463754,0.276096941142857,0.733612868253968,0.648378293650794
Std Dev,0.545400485138796,0.355722380313194,0.218506275950828,0.128897401047994,0.162580346749283

Right Forehead_Halima_Halima_Guinee1
min,-0.9734068,-1.0179389,-0.12089694,0.1567034,-0.11988287
Q1,-0.56323155,-0.61380042,0.079893738,0.356986,0.136549415
Q2,-0.38573694,-0.46285963,0.16830173,0.4429176,0.20788546
Q3,-0.01853475,-0.253942505,0.24298726,0.51395485,0.28038661
max,1.5815924,1.0236349,0.43222168,0.6873525,0.37535137
mean,-0.138899707301587,-0.322063536349206,0.157052864063492,0.432523871428571,0.193649635238095
Std Dev,0.656721744716428,0.470634906641442,0.116991502469972,0.1241154014662,0.107181623340661

Right Ear_Halima_Halima_Guinee1
min,-0.49892688,-0.33279008,0.4584643,0.6752649,0.5484477
Q1,0.0197450815,0.1555501,0.94197035,0.8286299,0.76690815
Q2,0.13863733,0.3025977,1.1087826,0.8822115,0.8084305
