,delta ,theta ,alpha ,beta ,gamma

Left Ear_Halima_Halima_Vietnam1
min,0.306205129305147,0.31146106271806,0.476921023663868,0.505984741442068,0.375798136213638
Q1,0.425519449671569,0.516840081346474,0.654291622918071,0.641527340499982,0.584466433232747
Q2,0.485536788006276,0.611061650472964,0.713333814411174,0.689171153298681,0.632651004694531
Q3,0.548178830018311,0.648527873450235,0.818842775362659,0.739849695559607,0.695749376671517
max,0.685182694367997,0.823233169811101,0.949266230472868,0.862957910282904,0.793577610547224
mean,0.486961573152402,0.594825497475721,0.725446228340061,0.684569422840476,0.633205231658326
Std Dev,0.0863831369652886,0.100323051897685,0.114353162960683,0.0756651504088142,0.0855563182206505

Left Forehead_Halima_Halima_Vietnam1
min,0.140020985561511,0.127573537382619,0.167596439807346,0.560109187051741,0.509676361897142
Q1,0.289841959472849,0.300041485359276,0.272886254213242,0.667462057014918,0.626130915415311
Q2,0.366377504782986,0.354646031244655,0.349828491022155,0.68982719143584,0.671706671250421
Q3,0.493499999320351,0.483657983130685,0.408199874701334,0.728531088752563,0.716469334764085
max,0.915909656855999,0.756504571063313,0.515445744935467,0.914271596628339,0.873571076592789
mean,0.403552314643405,0.385262056527761,0.347774918924001,0.700189226874953,0.67286372101462
Std Dev,0.182959592154077,0.143290253460829,0.0883839432894239,0.0654825193424433,0.0796530539407478

Right Forehead_Halima_Halima_Vietnam1
min,0.0874766080678009,0.130649329807348,0.0502373314854534,0.263948246239255,0.283481598679641
Q1,0.200336353150485,0.204355696238638,0.204954672386843,0.418957430316666,0.370003259549456
Q2,0.292305959394871,0.263036720074176,0.270001313164772,0.46987918637365,0.416033405615772
Q3,0.406162453999804,0.372948703035364,0.330498589337524,0.5149218125236,0.456728475135598
max,0.830567400873988,0.828918643755196,0.453789970456979,0.615617205223457,0.581633144455668
mean,0.346847026013929,0.331584922425825,0.263531293044136,0.464487322384869,0.418179998603483
Std Dev,0.213472112923232,0.186061808818313,0.0828108382298591,0.0698418408704718,0.0677555049584043

Right Ear_Halima_Halima_Vietnam1
min,0.297901758808073,0.395385284900678,0.481813323192579,0.361393683176562,0.299427746664053
Q1,0.406193777514789,0.492698672586941,0.632627074678484,0.45844107963187,0.425448483613151
Q2,0.460515180980659,0.524646517827231,0.713809790636617,0.524729972462341,0.472771713251009
Q3,0.528095057850202,0.592920538532093,0.76974783618874,0.589101142420078,0.546573458985478
max,0.739135990171684,0.865991284677686,0.930022159352567,0.725168902078635,0.71153395845789
mean,0.473962004584322,0.553237986512266,0.711096955193533,0.530488955295913,0.4821340070777
Std Dev,0.101529049787224,0.0948454461628151,0.107287311709959,0.0862036134992875,0.0963803224443185

Left Ear_Halima_Halima_Vietnam2
min,0.258325890075349,0.308787494617242,0.550535313697237,0.505164219703878,0.441638002211864
Q1,0.394922563649346,0.52208143559823,0.613026616078869,0.642580997726481,0.620355459253249
Q2,0.44802676940479,0.581777258814851,0.668825302255226,0.717430798458672,0.655807237697723
