,delta ,theta ,alpha ,beta ,gamma

Left Ear_Halima_Halima_Vietnam1
min,-0.1413667,-0.2369728,0.5899399,0.621962,0.2316686
Q1,0.218516825,0.262437715,0.9851309,0.81495435,0.5687849
Q2,0.39954498,0.49155188,1.11668,0.882792,0.64663
Q3,0.588489935,0.582656735,1.3517595,0.95495065,0.74856925
max,1.0017298,1.0074794,1.6423498,1.1302383,0.9066167
mean,0.403842508571429,0.452071189206349,1.14366709365079,0.876239825396825,0.647525387301587
Std Dev,0.26055437215041,0.243950854129084,0.25478484604333,0.107735835759363,0.138221425353977

Left Forehead_Halima_Halima_Vietnam1
min,-0.642622,-0.68412346,-0.0992515,0.6990271,0.447957
Q1,-0.190722345,-0.26474125,0.13533973,0.8518815,0.6360964
Q2,0.040129088,-0.13196194,0.30677107,0.8837261,0.7097268
Q3,0.42356413,0.181750365,0.436825575,0.93883465,0.7820436
max,1.6976633,0.8452186,0.675775,1.2033013,1.035851
mean,0.15225813984127,-0.057514389047619,0.302195603634921,0.898480085714286,0.711596084126984
Std Dev,0.551854486156902,0.348432180430396,0.196924062270501,0.0932372949881158,0.128684343581652

Right Forehead_Halima_Halima_Vietnam1
min,-0.80110973,-0.6766442,-0.36073375,0.2773383,0.08252563
Q1,-0.46069491,-0.49741589,-0.016015398,0.49804815,0.222306625
Q2,-0.18329027,-0.354724,0.12891193,0.5705531,0.29667112
Q3,0.16013101,-0.0874561925,0.263703035,0.63468705,0.362416475
max,1.4402485,1.0213045,0.5384027,0.7780622,0.56420755
mean,-0.0187799978730159,-0.188038555365079,0.114496385753968,0.562875893650794,0.300139071269841
Std Dev,0.643888313255915,0.45243776304095,0.184506891832699,0.0994443155996974,0.109463131019453

Right Ear_Halima_Halima_Vietnam1
min,-0.16641186,-0.03289821,0.6008402,0.416086,0.1082876
Q1,0.16022549,0.203734185,0.93686115,0.55426695,0.31188175
Q2,0.3240732,0.28142026,1.1177405,0.6486524,0.3883353
Q3,0.52791197,0.44743899,1.2423734,0.7403073,0.5075665
max,1.1644672,1.1114523,1.599473,0.9340474,0.7740702
mean,0.364632373984127,0.350944791746032,1.11169616031746,0.656852328571429,0.403460653968254
Std Dev,0.306238448286127,0.230631217491966,0.239041758782162,0.122741028011503,0.155708261194369

Left Ear_Halima_Halima_Vietnam2
min,-0.28578314,-0.24347399,0.7539564,0.6207937,0.3380369
Q1,0.12622853,0.27518287,0.8931903,0.8164546,0.6267658
Q2,0.28640485,0.4203424,1.0175127,0.9230295,0.6840403
Q3,0.4244975,0.5378317,1.3811224,1.0173357,0.7947856
max,1.4164326,0.9356651,1.6845957,1.3253657,1.1571274
mean,0.336763700819672,0.415004320655738,1.12676387213115,0.919606550819672,0.716504131147541
Std Dev,0.335502212573902,0.251840937612273,0.279738090791148,0.124461439905146,0.139543617468318

Left Forehead_Halima_Halima_Vietnam2
min,-0.79782,-0.82626134,-0.15668088,0.6829017,0.5375783
Q1,-0.42692855,-0.33391178,0.09819251,0.8600141,0.7277368
