,delta ,theta ,alpha ,beta ,gamma

Left Ear_Mathilde_Mathilde_Chine1
min,0.175306889184526,0.273974502331793,0.211379311382548,0.249785831732849,0.276554738553382
Q1,0.372499015093525,0.37807556909764,0.434672043064548,0.358009681555796,0.347476232825117
Q2,0.419962781009115,0.432672365068396,0.490508263048082,0.387905424481467,0.395024990507492
Q3,0.476466872404835,0.508885564159848,0.58833839763479,0.424280195844847,0.42476236839334
max,0.733103488240131,0.74957154565309,0.80666774287622,0.5895088050109,0.497789727556435
mean,0.439424566217738,0.448844363431762,0.491358569853512,0.394495568130495,0.390763472898703
Std Dev,0.10991409778485,0.105082968296791,0.130342778808288,0.0654468811393675,0.055640706694007

Left Forehead_Mathilde_Mathilde_Chine1
min,0.446116618025505,0.159145522724725,0.0939022114454962,0.13133707552831,0.114901027474505
Q1,0.546072937278739,0.376113293883106,0.333734896603216,0.218878275844347,0.215123412862256
Q2,0.663528878342585,0.603957151719435,0.581495283989115,0.265407842243487,0.255148926779033
Q3,0.72772658618593,0.699762129024792,0.683569322100209,0.318929879687058,0.289407596584401
max,0.846261473378451,0.891729725823288,0.897373543503392,0.414217197155506,0.379161428299418
mean,0.646425039529678,0.561790430938022,0.524531164504321,0.266709968527659,0.255894656098056
Std Dev,0.109266895337984,0.191420565277718,0.210720550326209,0.0703980010575161,0.0587599933269727

Right Forehead_Mathilde_Mathilde_Chine1
min,0.0688174645286768,0.047191901973349,0.0365483143615276,0.00642561092783402,0
Q1,0.232613754653864,0.268889039733572,0.271624126404061,0.112111517233857,0.109436919993044
Q2,0.387270655288248,0.417464796037613,0.438924423395961,0.159746327365965,0.138383215256629
Q3,0.541132918296671,0.554271787139528,0.591329385080522,0.227845019390487,0.17254516027497
max,0.805414417344282,0.846583061301849,0.900837925720269,0.346437867821873,0.296211609534622
mean,0.389412792235449,0.412769577596909,0.431334905622102,0.171592035129791,0.142419390179109
Std Dev,0.201156268387089,0.192222848940025,0.202405054546603,0.0782026445917355,0.0551544347468874

Right Ear_Mathilde_Mathilde_Chine1
min,0.200835899205484,0.256627777998901,0.13805816270561,0.222584843182032,0.228457452846443
Q1,0.343843489433697,0.337061380171128,0.459519435821966,0.3098217167647,0.317744502496464
Q2,0.393116670776326,0.426561984999518,0.534182098285093,0.354511170431859,0.33545376016829
Q3,0.47731934622022,0.489475416839373,0.627199261545984,0.397273114138711,0.399182031936842
max,0.721544162450982,0.738896632204736,0.877632768336355,0.551023291456402,0.524534260516345
mean,0.412306580895242,0.438451293713361,0.55117504449504,0.359275745133898,0.355760785743336
Std Dev,0.120159961358345,0.1210763821942,0.158286245046323,0.0761257858698007,0.0669275460753811

Left Ear_Mathilde_Mathilde_Chine2
min,0.64522929090071,0.518911053170185,0.480199259775117,0.727306624170202,0.79686768868927
Q1,0.64522929090071,0.518911053170185,0.480199259775117,0.727306624170202,0.79686768868927
Q2,0.64522929090071,0.518911053170185,0.480199259775117,0.727306624170202,0.79686768868927
Q3,0.64522929090071,0.518911053170185,0.480199259775117,0.727306624170202,0.79686768868927
max,0.64522929090071,0.518911053170185,0.480199259775117,0.727306624170202,0.79686768868927
mean,0.64522929090071,0.518911053170185,0.480199259775117,0.727306624170202,0.79686768868927
Std Dev,0,0,0,0,0

Left Forehead_Mathilde_Mathilde_Chine2
min,0.421691380531554,0.325182369417773,0.268161191029575,0.0958401575872833,0.120449344306656
Q1,0.632764302671816,0.571695923253432,0.485497112067822,0.278231702068515,0.189945710169167
Q2,0.700803957195674,0.643054626471222,0.527322748063831,0.327302437379055,0.254736952155842
Q3,0.749805351015083,0.68868333595274,0.667801466954234,0.406486185337211,0.340163955338179
max,1,0.905304665040831,1,0.587962817936891,0.526669676734665
mean,0.685644281025554,0.634317509954626,0.570013753209886,0.335798789241795,0.277337355515125
Std Dev,0.101239247189752,0.127439826770688,0.161153418738844,0.11765626118366,0.110203202776382

Right Forehead_Mathilde_Mathilde_Chine2
min,0.379209791002623,0.264837875969516,0.196755257529743,0.396295627530419,0.491022672163408
Q1,0.560261716234077,0.538108958414526,0.561035202449456,0.580106918370421,0.581204787372951
Q2,0.620729662123936,0.581931489872356,0.685949563883624,0.788196190929606,0.745442514562576
Q3,0.750753404705806,0.646314939888528,0.762247535780518,1,1
max,0.876676765185141,0.864217018494854,0.878243826344973,1,1
mean,0.666282103363665,0.594959323289919,0.624737823772646,0.768796194383776,0.7759813335037
Std Dev,0.120856162933051,0.104834552006403,0.167718911424867,0.206705692743278,0.195489046835004

Right Ear_Mathilde_Mathilde_Chine2
min,0.267363251565012,0.132635945897771,0.404652738759387,0.255840709439835,0.257747382920123
Q1,0.429765354280775,0.422776120824426,0.491178911298985,0.335468977442898,0.353826407887348
Q2,0.533303975120967,0.551486903027324,0.592251947414007,0.40299632530195,0.380696271055627
Q3,0.648149425674857,0.639982885274522,0.743960841290804,0.469152432399741,0.426433703780139
max,0.793719601310408,0.813429230468857,0.959837914975556,0.674031309158979,0.56075728291572
mean,0.535258020324374,0.527045355025622,0.626103435520894,0.41068006832295,0.393247095759808
Std Dev,0.130965452617014,0.163352892789085,0.155407430902238,0.0991628002792591,0.0768671636084175

Left Ear_Mathilde_Mathilde_Chine3
min,0.1265742868414,0.206037221065769,0.291470443929705,0.276517433543542,0.255313090410468
Q1,0.363085854077527,0.414121183687979,0.465162778433234,0.387275349200799,0.413949070983086
Q2,0.47588672237694,0.507355329694703,0.546366814434171,0.451290040270225,0.465165133956872
Q3,0.680893106611865,0.707985865145094,0.783219240562614,0.458371830348754,0.484214381842038
max,0.884522891674649,0.903592250548823,0.969954078357812,0.52338416921087,0.60363143012321
mean,0.53087407616625,0.563371989009851,0.614718106840694,0.424539972417207,0.450082895082225
Std Dev,0.236491878605208,0.217301229131993,0.219024398476823,0.058138477487124,0.0661483473204976

Left Forehead_Mathilde_Mathilde_Chine3
min,0.148484891503206,0.0999458121541185,0.0811292901728759,0,0.0304969605018449
Q1,0.309562065427919,0.258315973501947,0.254753779257166,0.149301332745639,0.172107645196568
Q2,0.424227859539285,0.424581362916314,0.369329691038663,0.209417404777684,0.220514352319702
Q3,0.579840210443181,0.545351374050094,0.554225805908051,0.255269017897601,0.271340197168523
max,0.846528058259131,0.823890302540055,0.889424139997371,0.592328437752039,0.567087488921319
mean,0.449674651789904,0.42199314321007,0.414993717049711,0.205927119492581,0.228975295827678
Std Dev,0.191280208991614,0.195027346052553,0.20526096733893,0.101424266416344,0.090407298648558

Right Forehead_Mathilde_Mathilde_Chine3
min,0,0,0,0.0924515676305968,0.0515732630494498
Q1,0.22508163621311,0.226474696833252,0.215446741283428,0.247033887748786,0.203917721844472
Q2,0.491457392817379,0.541622049575205,0.551816817400646,0.29103917864747,0.259365400028091
Q3,0.675804741108542,0.734276546162341,0.668356196702381,0.325376950450159,0.305155384092987
max,0.861522007246516,1,0.9265474485919,0.637652755413221,0.477619036808273
mean,0.456455539532321,0.500328595890234,0.487237321138608,0.298249464139737,0.258446478854027
Std Dev,0.254182464395094,0.280476636600523,0.268785440221465,0.0975197205874004,0.0850566139014099

Right Ear_Mathilde_Mathilde_Chine3
min,0.248622040826506,0.268414029293022,0.0811576729455227,0.237968093520876,0.284593863609308
