,delta ,theta ,alpha ,beta ,gamma

Left Ear_Mathilde_Mathilde_Chine1
min,-0.2014385,-0.18189748,-0.0850534,0.002981191,-0.25246662
Q1,0.35932605,0.077818015,0.3260074,0.22215382,-0.09345841
Q2,0.494301,0.21402828,0.4287966,0.28269804,0.013147393
Q3,0.65498435,0.40416801,0.608892625,0.35636345,0.079819525
max,1.384794,1.004641,1.0108163,0.6909809,0.24354915
mean,0.54964539661017,0.254374826779661,0.43036193440678,0.296044258152542,0.00359293713559322
Std Dev,0.31256790451877,0.262165182117269,0.239948727966039,0.132541625738066,0.124748205962083

Left Forehead_Mathilde_Mathilde_Chine1
min,0.5686759,-0.4683774,-0.30131763,-0.2368987,-0.6148993
Q1,0.8529264,0.0729224525,0.14019166,-0.059612131,-0.390197575
Q2,1.1869414,0.6413564,0.5962951,0.034618553,-0.30045912
Q3,1.36950345,0.88037448,0.78420375,0.14301024,-0.22365011
max,1.7065867,1.3593029,1.1777971,0.33598408,-0.02241921
mean,1.13830240677966,0.536157182542373,0.491429543694915,0.0372555913372881,-0.298787171525424
Std Dev,0.310727424392078,0.477563663935405,0.387916603200901,0.142568528040379,0.131741744226864

Right Forehead_Mathilde_Mathilde_Chine1
min,-0.5042675,-0.74768376,-0.40690073,-0.48986673,-0.872511
Q1,-0.0384722635,-0.194584895,0.0258516065,-0.27583389,-0.62715
Q2,0.40133286,0.17608783,0.33383563,-0.17936489,-0.5622515
Q3,0.838878235,0.51739937,0.61439875,-0.0414528735,-0.48565935
max,1.590428,1.2466692,1.1841747,0.19871883,-0.2083953
mean,0.407424555881356,0.164374011694915,0.319864045594915,-0.155375215661017,-0.553202269491525
Std Dev,0.572037568953546,0.479565233227246,0.372608561950237,0.158374325418694,0.123657969036329

Right Ear_Mathilde_Mathilde_Chine1
min,-0.12884045,-0.22517478,-0.2200307,-0.05210567,-0.36030224
Q1,0.27783698,-0.02450582,0.3717491,0.124564583,-0.16011788
Q2,0.41795745,0.19878386,0.509196,0.21506871,-0.12041317
Q3,0.65740857,0.3557428,0.6804318,0.301669285,0.02246761
max,1.3519222,0.9780088,1.1414562,0.61304086,0.30351123
mean,0.47252870259322,0.228445781762712,0.540478406779661,0.224717824915254,-0.0748841830508475
Std Dev,0.341704550060103,0.302066189245741,0.291390006417224,0.154168315496734,0.150053653133196

Left Ear_Mathilde_Mathilde_Chine2
min,1.134902,0.42918,0.4098187,0.9700461,0.9140913
Q1,1.134902,0.42918,0.4098187,0.9700461,0.9140913
Q2,1.134902,0.42918,0.4098187,0.9700461,0.9140913
Q3,1.134902,0.42918,0.4098187,0.9700461,0.9140913
max,1.134902,0.42918,0.4098187,0.9700461,0.9140913
mean,1.134902,0.42918,0.4098187,0.9700461,0.9140913
Std Dev,0,0,0,0,0

Left Forehead_Mathilde_Mathilde_Chine2
min,0.4992167,-0.05414205,0.01947667,-0.3087863,-0.6024598
Q1,1.099454725,0.5608698,0.419571545,0.06058916,-0.4466467725
Q2,1.2929423,0.73889834,0.496568585,0.159966165,-0.30138278
Q3,1.432289875,0.852734665,0.75517662,0.3203274,-0.109852765
max,2.1437802,1.3931702,1.3667227,0.68785,0.3082989
mean,1.2498320137931,0.717100633103448,0.575158687758621,0.177172795310345,-0.250711968275862
Std Dev,0.287898822688787,0.317941964676601,0.296668202007868,0.238274947011409,0.247079029984896

Right Forehead_Mathilde_Mathilde_Chine2
min,0.3784098,-0.2046919,-0.1119749,0.2996897,0.2283772
Q1,0.8932757,0.4770757,0.558630025,0.6719404,0.430568325
Q2,1.06523125,0.5864059,0.78858555,1.09335835,0.79879445
Q3,1.4349859,0.7470323,0.9290429,1.5222989,1.3695203
max,1.7930801,1.2906631,1.1425811,1.5222989,1.3695203
mean,1.19477087586207,0.61890825862069,0.675900525862069,1.05406989137931,0.867263437931034
Std Dev,0.343684371317923,0.2615454232442,0.308754653078538,0.41861595371009,0.438292561811246

Right Ear_Mathilde_Mathilde_Chine2
min,0.06034652,-0.53451455,0.2707447,0.0152434,-0.2946333
Q1,0.52217704,0.189338735,0.4300312,0.1765048675,-0.07922111875
Q2,0.8166147,0.51045153,0.6160971,0.31325981,-0.0189780445
Q3,1.143206125,0.7312348375,0.895378825,0.447237745,0.08356671125
max,1.5571709,1.1639557,1.2927881,0.86215407,0.38472438
mean,0.822171510517241,0.449473780827586,0.678414487931035,0.328820762241379,0.00916129732758621
Std Dev,0.372432635247402,0.407539314710631,0.286090381856205,0.200822385008141,0.172338586752293

Left Ear_Mathilde_Mathilde_Chine3
min,-0.3400217,-0.35139012,0.0623868,0.05711746,-0.30009106
Q1,0.3325574,0.1677460525,0.38213796,0.281422025,0.05557577375
Q2,0.65333455,0.40035032,0.53162691,0.41106321,0.17040379
Q3,1.236320875,0.900891385,0.967649825,0.4254051,0.2131128
max,1.8153925,1.388898,1.311411,0.5570667,0.48084956
mean,0.809704681724138,0.540102916724138,0.657455174655172,0.356889543965517,0.136588938368966
Std Dev,0.672523110511544,0.542131776757538,0.403203202268223,0.117740802769044,0.148306665135827

Left Forehead_Mathilde_Mathilde_Chine3
min,-0.27771348,-0.6160712,-0.32483137,-0.50287974,-0.80413586
Q1,0.1803492775,-0.2209630025,-0.005205107,-0.20051787,-0.4866402725
Q2,0.506429805,0.193842525,0.20571831,-0.078772085,-0.37811092
Q3,0.9489519875,0.4951443675,0.54609457,0.0140856225,-0.264157785
max,1.7073448,1.1900544,1.163163,0.69669116,0.3989169
mean,0.578794048448276,0.187385331206897,0.289781462982759,-0.0858405362068966,-0.359141219827586
Std Dev,0.54395255299691,0.486562004523017,0.37786602728868,0.20540225792405,0.202695993318515

Right Forehead_Mathilde_Mathilde_Chine3
min,-0.69996697,-0.86542,-0.47418272,-0.3156488,-0.75688213
Q1,-0.059891704,-0.30040189,-0.07756564625,-0.002591987175,-0.415321085
Q2,0.6976136,0.4858403,0.54165985,0.086526588,-0.291005655
Q3,1.22185085,0.966482425,0.756197825,0.15606671,-0.1883430775
max,1.7499838,1.6294199,1.2315035,0.788481,0.19832583
mean,0.598077178775862,0.382819744137931,0.422775105310345,0.101128704167241,-0.293065905034483
Std Dev,0.722830663787174,0.699744304008786,0.494808573720782,0.197494855112372,0.190699590638976

Right Ear_Mathilde_Mathilde_Chine3
min,0.007051255,-0.19576997,-0.32477912,-0.02095184,-0.23444265
Q1,0.28596944,0.261242475,0.452064385,0.175630725,-0.02892047275
Q2,0.892207425,0.5361912,0.64068362,0.31101798,0.06656571
Q3,1.609495625,1.0683677125,0.96514102,0.5785734125,0.19796574
max,1.777813,1.277712,1.1602964,0.6703196,0.31749606
mean,0.907071547603448,0.591457102931034,0.67045483512069,0.331563930517241,0.0789367085172414
Std Dev,0.624758959668655,0.436000323160128,0.303910378509091,0.200090673204,0.151612040564083

Left Ear_Mathilde_Mathilde_Chine4
min,-0.16919187,-0.4515421,-0.04725058,-0.05767748,-0.30863863
Q1,0.2827762,0.0975955375,0.340649095,0.177697275,-0.06420767
Q2,0.415034475,0.30022663,0.474914,0.20601499,0.0066729415
Q3,0.7011905,0.4131571725,0.6399746,0.29139814,0.12156739375
max,1.4613292,1.3553461,1.1841199,0.48757815,0.23731418
