,delta ,theta ,alpha ,beta ,gamma

Left Ear_Mathilde_Mathilde_Guinee1
min,0.32435376475694,0.294447435116123,0.121395212154777,0.368243033709648,0.319873721325906
Q1,0.443749067898392,0.444067590854124,0.331927005221445,0.465390484460069,0.599620371763818
Q2,0.602053189982681,0.55919860270317,0.482537330284975,0.539825197022699,0.664775943645273
Q3,0.742279623937429,0.705448569870034,0.575485629577911,0.612217649906799,0.714951445422997
max,0.892867609163073,0.911569134775086,0.885550191811871,0.815227218388607,0.894568107922449
mean,0.585360202897836,0.571751072746693,0.471306810549682,0.551987790274169,0.662265782198228
Std Dev,0.17188023729234,0.16344180254453,0.178026247914397,0.0995714854868248,0.0948060283296438

Left Forehead_Mathilde_Mathilde_Guinee1
min,0.380756060691181,0.300637091120556,0,0.0829285869168864,0.06090620335113
Q1,0.561667294186234,0.43074434094173,0.251563881690126,0.410849279601038,0.542303899184018
Q2,0.680877578999941,0.574206512180228,0.35409959931751,0.57111097511615,0.688216343142608
Q3,0.808468414492217,0.708265337350548,0.607278145681474,0.637012683865359,0.79069765996481
max,1,0.921055864792229,0.878061296602338,0.813640610512974,1
mean,0.679952844222625,0.578796288956074,0.409952579342982,0.502958245001073,0.630900518567716
Std Dev,0.156144528879511,0.16860551694285,0.216923543185197,0.20218213172547,0.227210131992387

Right Forehead_Mathilde_Mathilde_Guinee1
min,0.095202802552333,0.0610660496819818,0.0110512080541527,0,0
Q1,0.207525522183711,0.230413874662328,0.196867736268028,0.221546169293258,0.27280405617455
Q2,0.427294131084624,0.420968232388153,0.363170198180936,0.440274275735827,0.546082689950297
Q3,0.656965129989574,0.692584712036597,0.55701335056764,0.549216177933059,0.660543297511038
max,0.923524528628597,0.869200441358797,0.739975777510115,0.667192582532629,0.785438581774418
mean,0.44248944493603,0.447796586487875,0.36578074814874,0.389926762883602,0.470829274119199
Std Dev,0.235943037803491,0.232545088331844,0.222890691001589,0.184722553336198,0.230666419489314

Right Ear_Mathilde_Mathilde_Guinee1
min,0.145367345790901,0.179719546986203,0.0865369658057165,0.442852547875893,0.54585473615425
Q1,0.313787974222318,0.393706070027327,0.427240449227678,0.547318725414017,0.677748597017121
Q2,0.409087341587577,0.491837472616146,0.539074087517203,0.594761460374331,0.741751314297259
Q3,0.548059972841852,0.640388597728822,0.657639697337728,0.686001681529611,0.788927085897844
max,0.832802574592132,0.967313956251399,0.994443555644319,1,0.969586530557008
mean,0.444857998304858,0.521435169443296,0.551376165056287,0.632273383929256,0.739928416936847
Std Dev,0.177630397239181,0.175359024196035,0.189667166933843,0.136842860568176,0.0935205573612909

Left Ear_Mathilde_Mathilde_Guinee2
min,0.344197511554073,0.278801017348724,0.121389543383694,0.255895810826339,0.383465633177667
Q1,0.426308233779871,0.508755145639648,0.473586760221004,0.39520058329475,0.481099833498471
Q2,0.526940489782871,0.607333853640976,0.514559186922279,0.454759215770635,0.540856810408261
Q3,0.604306933181475,0.653759735152143,0.662443399680288,0.498728000668711,0.605394045926106
max,0.93570200735276,0.91134861826964,0.902768865501211,0.756718133890885,0.670585676339479
