,delta ,theta ,alpha ,beta ,gamma

Left Ear_Mathilde_Mathilde_Guinee1
min,0.07794614,-0.24564852,-0.09393846,0.270957,-0.2057062
Q1,0.437325895,0.12175851,0.267422815,0.4123975,0.248900615
Q2,0.91382116,0.40447405,0.5259336,0.5207697,0.35478273
Q3,1.3359026,0.76360525,0.68547205,0.6261685,0.43632124
max,1.7891723,1.2697546,1.2176735,0.9217375,0.7282102
mean,0.863575283898305,0.435297876610169,0.50665729559322,0.538477661016949,0.350703551576271
Std Dev,0.517359359557731,0.401347445165643,0.305568061681977,0.144969740165191,0.154066068402505

Left Forehead_Mathilde_Mathilde_Guinee1
min,0.247717,-0.23044921,-0.3023038,-0.14444266,-0.62654555
Q1,0.79225965,0.0890419575,0.12948583,0.33298898,0.155757555
Q2,1.1510825,0.44132745,0.30548033,0.5663198,0.39287493
Q3,1.5351308,0.7705221,0.740041405,0.66226849,0.55941385
max,2.1116407,1.2930502,1.2048194,0.9194275,0.899544
mean,1.14829904915254,0.452598098966102,0.401347580169492,0.467093766281356,0.299732923050847
Std Dev,0.469994891397253,0.414027454496588,0.372332211686896,0.294364304790494,0.369231496709962

Right Forehead_Mathilde_Mathilde_Guinee1
min,-0.61179805,-0.8187395,-0.28333527,-0.2651814,-0.72552216
Q1,-0.273706765,-0.402889235,0.0356041955,0.05737571,-0.28219752
Q2,0.38779655,0.06503576,0.3210493,0.3758299,0.16189834
Q3,1.07910605,0.73201678,0.653765835,0.53444237,0.3479044
max,1.8814496,1.1657141,0.96780646,0.7062085,0.5508675
mean,0.433534431016949,0.130915426084746,0.325530103830508,0.302527128423729,0.0396065605084746
Std Dev,0.710188331439775,0.571037370090043,0.382574351895915,0.268944270830856,0.374848192560449

Right Ear_Mathilde_Mathilde_Guinee1
min,-0.46080282,-0.52737415,-0.1537699,0.3795837,0.1615279
Q1,0.04614312,-0.001909165,0.43102085,0.5316798,0.37586415
Q2,0.33299413,0.23906216,0.6229745,0.6007534,0.4798728
Q3,0.751301625,0.60384408,0.82648305,0.73359335,0.55653655
max,1.6083766,1.4066415,1.4045804,1.1907549,0.8501201
mean,0.440663774525424,0.311742219932203,0.644090049152542,0.655368371186441,0.476910471186441
Std Dev,0.534667335822578,0.430611356777247,0.32554878420262,0.199234488097045,0.151977093032173

Left Ear_Mathilde_Mathilde_Guinee2
min,0.1376758,-0.28406984,-0.09394819,0.1073866,-0.102365136
Q1,0.384829,0.2806051725,0.51057065,0.310205475,0.056296899
Q2,0.687732,0.5226749,0.5808966,0.39691905,0.15340594
Q3,0.920604925,0.636678225,0.8347282275,0.4609348,0.2582832175
max,1.9181038,1.2692131,1.247228,0.836552,0.36422393
mean,0.684642433333333,0.4875453975,0.632220371666667,0.405238038333333,0.15922914725
Std Dev,0.367609715352863,0.326717570965439,0.278870460215198,0.153164473765365,0.130084209115242

Left Forehead_Mathilde_Mathilde_Guinee2
min,0.5618041,-0.07588918,-0.03839825,-0.15353076,-0.5605842
Q1,0.972280525,0.2328367825,0.287449795,0.212355605,-0.1945693275
