,delta ,theta ,alpha ,beta ,gamma

Left Ear_Mathilde_Mathilde_Maghreb1
min,0.258867368618846,0.341278539786612,0.315399452576577,0.422530193716402,0.443067511608738
Q1,0.41131254248332,0.456309149808174,0.516969745629961,0.587645254229261,0.584613568587534
Q2,0.46864814675702,0.513361721645101,0.606230699014098,0.631334702448364,0.628617118289633
Q3,0.6953707363384,0.686755452018889,0.682288303337319,0.67996502997079,0.684009556253697
max,0.810890328898093,0.822922710861738,0.779890693057516,0.836138758649764,0.73752076683245
mean,0.522553286717204,0.552992483005274,0.596813945053017,0.629997256538314,0.622932333586619
Std Dev,0.15777398361425,0.12516534677425,0.113680873677009,0.0739712358828556,0.0687514577844487

Left Forehead_Mathilde_Mathilde_Maghreb1
min,0.205137833421717,0.161966583301449,0.0997228389811068,0.102843729004083,0.103202693813948
Q1,0.335332876533238,0.260433712971175,0.231946786211924,0.372403270500517,0.304695608076677
Q2,0.44343643968872,0.426077874066552,0.353680472154091,0.417244930668661,0.351097805292185
Q3,0.578776788662934,0.593877219901989,0.484655365583821,0.471501823944021,0.406197581380279
max,0.929988399788365,0.91341363842871,0.892916999886801,0.599635229916039,0.622578214316971
mean,0.472464919188925,0.448498991358628,0.383136011105786,0.411948627091396,0.358824321791625
Std Dev,0.173562428710478,0.202782592448433,0.197580490237316,0.09561690843008,0.0972564184298772

Right Forehead_Mathilde_Mathilde_Maghreb1
min,0,0.0393732574834687,0.0810683788266067,0.0559721023520295,0.197493234871276
Q1,0.15778952911996,0.16806895535666,0.214276809922719,0.421628015510591,0.356808220292803
Q2,0.417234671734664,0.418691246005141,0.346086574617741,0.484662876900018,0.4208677752425
Q3,0.570995271936782,0.647782958122042,0.511551763995829,0.532859509540988,0.471141328341269
max,0.799962358538264,0.807535869482171,0.765997149239036,0.650318328292701,0.694620296414325
mean,0.380460794105231,0.415644492078998,0.379990572438822,0.46488788220102,0.430031890450464
Std Dev,0.227346420090865,0.250793681583006,0.194270065192955,0.108148986447965,0.104654238135699

Right Ear_Mathilde_Mathilde_Maghreb1
min,0.114667741037812,0.314282049923285,0.383819937485885,0.368966737069323,0.335074205142827
Q1,0.296221353561856,0.393954337842134,0.492349230548933,0.459061561004545,0.454672810953302
