,delta ,theta ,alpha ,beta ,gamma

Left Ear_Mathilde_Mathilde_Maghreb1
min,-0.04010427,-0.14211045,0.084834,0.1346728,-0.042758934
Q1,0.4116245925,0.1338316675,0.447733375,0.3992769,0.1830199925
Q2,0.581522705,0.270692695,0.60843535,0.46929115,0.253209685
Q3,1.253352025,0.68663966,0.745366525,0.547223375,0.3415656975
max,1.5956622,1.0132856,0.9210861,0.7974986,0.42692098
mean,0.741255590862069,0.365761270275862,0.591481789655172,0.467147834482759,0.244141932672414
Std Dev,0.467519307718589,0.300253913458639,0.204666656886364,0.118542138045284,0.109664872799729

Left Forehead_Mathilde_Mathilde_Maghreb1
min,-0.1993168,-0.5722544,-0.30346185,-0.37763873,-0.58487445
Q1,0.18647999,-0.3360457225,-0.06541095925,0.054342215,-0.263474795
Q2,0.506814825,0.061311125,0.15375367,0.126202935,-0.18945904
Q3,0.9078582975,0.463837955,0.3895558125,0.2131519775,-0.10156985
max,1.9485762,1.2303605,1.1245743,0.41849136,0.24357708
mean,0.592832648275862,0.115096205172414,0.206784285344828,0.117715377068966,-0.177134538434483
Std Dev,0.514303972415834,0.486446676600878,0.35571628801634,0.153230274218102,0.155132896083582

Right Forehead_Mathilde_Mathilde_Maghreb1
min,-0.8071857,-0.8663384,-0.33704662,-0.45275256,-0.4344724
Q1,-0.3396203275,-0.557615675,-0.0972233025,0.13322702,-0.180350405
Q2,0.429173175,0.043591652,0.14008191,0.23424314,-0.078169547
Q3,0.8847999375,0.593150175,0.43797905,0.31148035,0.00202137525
max,1.5632802,0.97637475,0.8960727,0.49971324,0.3584908
mean,0.320204019137931,0.0362829214827586,0.201121358982759,0.202552846827586,-0.0635519438103448
Std Dev,0.67367786816521,0.601618469541835,0.34975632654888,0.173313476893572,0.166933096154653

Right Ear_Mathilde_Mathilde_Maghreb1
min,-0.46739975,-0.2068712,0.2080156,0.04883502,-0.21501815
Q1,0.0705838725,-0.015748682,0.40340755,0.1932159125,-0.0242474185
Q2,0.2505954,0.072744447,0.56719375,0.29234973,0.051937158
Q3,0.484359515,0.34918037,0.69172915,0.4243692225,0.162786415
max,1.6186055,1.0623753,1.3115327,0.9208426,0.62326676
mean,0.391821989017241,0.203517039689655,0.5840721,0.33312417637931,0.0841029318965517
