,delta ,theta ,alpha ,beta ,gamma

Left Ear_Mathilde_Mathilde_Vietnam1
min,0.288847645342369,0.395583848735903,0.235656687695508,0.314764472391351,0.416921420499239
Q1,0.445324538525228,0.515157343530953,0.363629193670478,0.470070060461402,0.517550658054797
Q2,0.496478548784389,0.600707175730546,0.510145988693571,0.553289553171711,0.570069491871303
Q3,0.586170032818067,0.651288052851888,0.536344653703494,0.611382940202581,0.597950169150768
max,0.724783489132218,0.755402652774823,0.716502210799833,0.774396085790358,0.690141272572301
mean,0.512393344767379,0.585571252241804,0.473174454446115,0.552516293299654,0.56273833772092
Std Dev,0.0992786691883994,0.0837530703935236,0.127364379025319,0.102305677396507,0.0626247340674912

Left Forehead_Mathilde_Mathilde_Vietnam1
min,0.338303013757758,0.372287817837499,0.066576284918662,0,0
Q1,0.557177395520451,0.557664603060231,0.361423907102972,0.246137551899171,0.263060429956783
Q2,0.676265645822449,0.689914158199683,0.590842501465673,0.298878345695567,0.34493082506282
Q3,0.781524488113143,0.809862995660285,0.717579991242775,0.38299196595805,0.381131723474753
max,0.96454261759655,0.987837040543376,0.879048188523936,0.656274794830348,0.478955969470464
mean,0.659356213430372,0.679813529912938,0.553346605341755,0.303033218870066,0.322572723365018
Std Dev,0.160192583260084,0.167551521828837,0.20227236310439,0.115823234475577,0.100618640353528

Right Forehead_Mathilde_Mathilde_Vietnam1
min,0.24499360460955,0.33218975854933,0.120009269670408,0.120595804056852,0.143973091167314
Q1,0.438698252447996,0.441396355759885,0.348741694661523,0.266060360986177,0.282205028261168
Q2,0.503655037459411,0.537097916296684,0.46260260072168,0.330886921702226,0.388838860936261
Q3,0.643415456200461,0.669808993252785,0.620406356245043,0.368304797632317,0.436668081071699
max,1,0.844828888298765,0.794093720207808,0.492924626301249,0.541301729239602
mean,0.539752739049912,0.564372133566643,0.4792487965151,0.322892528469757,0.358922582781363
Std Dev,0.17221627010571,0.139589233458492,0.175849469907296,0.0829970233775221,0.102280002941731

Right Ear_Mathilde_Mathilde_Vietnam1
min,0.320148611272734,0.30502198202965,0.285856470978026,0.213628282694051,0.341038326215615
Q1,0.399460375236814,0.499953654190965,0.461851202231989,0.370086609904864,0.420949719489537
Q2,0.434598753458794,0.575079370587284,0.541417355743719,0.446335926701368,0.479510178438164
Q3,0.582778075630178,0.626700583949542,0.587531066732877,0.506756300561016,0.517230104954473
max,0.790898059375126,0.858927622421571,0.844626391712095,0.739599233752908,0.597142399877209
mean,0.48844216024844,0.56516867167285,0.530262800518181,0.441983959902786,0.468862412454722
Std Dev,0.116269273894007,0.108417568145513,0.124839417679691,0.108248384457221,0.0660389186013241

Left Ear_Mathilde_Mathilde_Vietnam2
min,0.6959128172194,0.516121674375054,0.296429157320409,0.519850521601277,0.613409860458433
Q1,0.6959128172194,0.516121674375054,0.296429157320409,0.519850521601277,0.613409860458433
