,delta ,theta ,alpha ,beta ,gamma

Left Ear_Mathilde_Mathilde_Vietnam1
min,-0.1859947,-0.20833799,-0.02394556,0.05786827,-0.13630748
Q1,0.3282066475,0.15107284,0.20480618,0.2693068125,0.064834074
Q2,0.4963047,0.40821625,0.466705965,0.382604785,0.16981072
Q3,0.7910413925,0.560250905,0.51353626,0.461695185,0.22553968
max,1.2465414,0.8731958,0.83556914,0.68362707,0.40981477
mean,0.548602578448276,0.362721093793103,0.400619091689655,0.381552041551724,0.155156929767241
Std Dev,0.326241302701642,0.251742751157181,0.227664708869261,0.139282582082209,0.125176704456469

Left Forehead_Mathilde_Mathilde_Vietnam1
min,-0.023478583,-0.27836058,-0.32617795,-0.37066326,-0.9696659
Q1,0.6957682,0.27884003,0.200864215,-0.0355628565,-0.44385069
Q2,1.0871061,0.676352225,0.61095154,0.036240333,-0.280205025
Q3,1.43299895,1.03689125,0.83749568,0.1507556025,-0.20784529
max,2.0344179,1.5718409,1.1261212,0.52281255,-0.01231046
mean,1.03153973013793,0.645992025172414,0.543927366206897,0.0418969248793103,-0.324895250517241
Std Dev,0.526411539086361,0.503621907442637,0.36156324877385,0.157685864298106,0.20112037190883

Right Forehead_Mathilde_Mathilde_Vietnam1
min,-0.3301042,-0.39888626,-0.23066612,-0.20647985,-0.681887
Q1,0.3064318975,-0.070635975,0.1781946725,-0.00843923675,-0.4055837375
Q2,0.51988748,0.21702123,0.38172183,0.079817945,-0.19243997
Q3,0.97915654,0.615920655,0.663797135,0.13075997,-0.0968371025
max,2.150935,1.1419908,0.9742645,0.30042183,0.11230862
mean,0.638508743637931,0.299001346775862,0.411477020172414,0.0689340941724138,-0.252237766586207
Std Dev,0.56592277842771,0.419573604855926,0.314332144337624,0.112995094850459,0.204441166748044

Right Ear_Mathilde_Mathilde_Vietnam1
min,-0.08313607,-0.48054644,0.0657869,-0.07982213,-0.2879855
Q1,0.17749165,0.105373995,0.3803787,0.1331857925,-0.1282555625
Q2,0.292960465,0.331184875,0.52260375,0.23699432,-0.011202686
Q3,0.779895025,0.486346545,0.6050323275,0.3192527625,0.06419334025
max,1.4638016,1.1843684,1.064592,0.6362534,0.22392508
mean,0.46989618862069,0.301395559827586,0.502664905344828,0.231069397862069,-0.0324858463275862
Std Dev,0.382074414266899,0.325878642424472,0.223151322991218,0.147373194500193,0.132001106583125

Left Ear_Mathilde_Mathilde_Vietnam2
min,1.151669,0.1539714,0.08468565,0.3370797,0.2564411
Q1,1.151669,0.1539714,0.08468565,0.3370797,0.2564411
Q2,1.151669,0.1539714,0.08468565,0.3370797,0.2564411
Q3,1.151669,0.1539714,0.08468565,0.3370797,0.2564411
max,1.151669,0.1539714,0.08468565,0.3370797,0.2564411
mean,1.151669,0.1539714,0.08468565,0.3370797,0.2564411
Std Dev,0,0,0,0,0

Left Forehead_Mathilde_Mathilde_Vietnam2
