,delta ,theta ,alpha ,beta ,gamma

Left Ear_Sohaib_Sohaib_Chine1
min,0.124647408645517,0.210469932223977,0.354914739281734,0.212271336126607,0.165455191629256
Q1,0.300802952183389,0.436360101063421,0.554623235271999,0.282001847032941,0.223652935612689
Q2,0.496668930070849,0.524238065331788,0.625881054768953,0.342489716646554,0.273843450274025
Q3,0.584740209920128,0.691782235345972,0.698325195359235,0.412884319515451,0.342319296668743
max,0.744421178271026,0.939786666686563,1,0.843460630963751,0.641703448883927
mean,0.448859649894495,0.558682864001723,0.644421165569373,0.390181616066217,0.31087877211726
Std Dev,0.174773661355238,0.176978491783822,0.14015330108916,0.157752616094941,0.113008892917659

Left Forehead_Sohaib_Sohaib_Chine1
min,0.0995051935478907,0.155514388788455,0.215119890065564,0.389823377440548,0.35575343058259
Q1,0.356722980381,0.355410439113495,0.391942556522571,0.45462707294871,0.399790826942472
Q2,0.446805309392378,0.489346267562339,0.471950865870417,0.485316585969219,0.421546390104481
Q3,0.553286707116809,0.605790206853406,0.583582529449166,0.503150074009447,0.445953306901992
max,0.801722783598759,0.914893396762061,0.760824070719018,0.555923967789356,0.497312363219268
mean,0.453703469068103,0.49278445607578,0.486952267215427,0.480338521040604,0.425752254814872
Std Dev,0.140778900984224,0.168266946540087,0.132465548176972,0.0351828310068902,0.0317982440359558

Right Forehead_Sohaib_Sohaib_Chine1
min,0.101368290201318,0.190515026706767,0.197377445665179,0.103745020910516,0.0552854547972406
Q1,0.342489135015165,0.368412670382012,0.352201532792321,0.195804475430714,0.132266047508979
Q2,0.443904162519476,0.437155225670131,0.430604893723209,0.221223391184104,0.1628108280453
Q3,0.525022456515495,0.541982054630429,0.490728213086847,0.266558032083088,0.190170058185712
max,0.697372791455624,0.777395513830144,0.799095091919682,0.397965216012116,0.239523210115695
mean,0.429872942499274,0.453751288528152,0.427004079971377,0.230156483307956,0.15833137592955
Std Dev,0.133569598555847,0.140436170166898,0.124142789468761,0.0614481686280799,0.0433772906685121

Right Ear_Sohaib_Sohaib_Chine1
min,0.0744717535141966,0.228186028917471,0.311445624158229,0.215598354010674,0.119360217248084
Q1,0.26063204040258,0.43642804309418,0.591069837080995,0.26131145819704,0.198299347136692
Q2,0.431923465997097,0.560971700675298,0.654127450109045,0.281229577217824,0.226041093672128
