,delta ,theta ,alpha ,beta ,gamma

Left Ear_Sohaib_Sohaib_Chine1
min,-0.10584673,-0.12365615,0.3097461,-0.06414799,-0.47554052
Q1,0.400959475,0.360759715,0.674885625,0.0623288955,-0.3321078675
Q2,0.96447335,0.54921183,0.80517075,0.17204152,-0.208409625
Q3,1.217857775,0.9085061475,0.9376249,0.2997229325,-0.0396458275
max,1.677266,1.4403455,1.4891958,1.0807003,0.6982086
mean,0.826924230833333,0.623077846516667,0.839068793333333,0.2585448716,-0.11713333
Std Dev,0.502830477352307,0.37952598656381,0.256251039962629,0.286130982031179,0.278518790554536

Left Forehead_Sohaib_Sohaib_Chine1
min,-0.17818184,-0.24150695,0.05415044,0.2578951,-0.006536409
Q1,0.561843525,0.1871651725,0.3774463725,0.37543575,0.1019970175
Q2,0.821013815,0.474387235,0.523730565,0.43110025,0.155615215
Q3,1.12736485,0.724098375,0.7278337125,0.46344655,0.21576787
max,1.8421249,1.3869625,1.0518955,0.5591676,0.34234607
mean,0.840860083,0.481760345,0.551158564666667,0.422071058333333,0.165980880233333
Std Dev,0.405026257584372,0.360844293834943,0.242195040828719,0.0638144598539013,0.078369128676496

Right Forehead_Sohaib_Sohaib_Chine1
min,-0.17282164,-0.16644895,0.02171082,-0.26099253,-0.747062
Q1,0.52089221,0.215048135,0.304785375,-0.0940155075,-0.557337625
Q2,0.812667105,0.36246484,0.44813514,-0.047910793,-0.48205775
Q3,1.046047525,0.587263375,0.5580623625,0.03431697375,-0.4146289
max,1.541906,1.0921017,1.1218688,0.27266273,-0.2929944
mean,0.772298750833333,0.398054685216667,0.441551547166667,-0.0317079908833333,-0.493097691666667
Std Dev,0.38428482003979,0.301161884105893,0.226978020910078,0.111454410511889,0.106906547109787

Right Ear_Sohaib_Sohaib_Chine1
min,-0.250204,-0.08566442,0.2302688,-0.05811346,-0.589145
Q1,0.2853862325,0.360905415,0.741523225,0.02480076175,-0.394593665
Q2,0.778198185,0.6279862,0.8568154,0.060928156,-0.326222075
Q3,1.176419625,0.815103625,1.03183915,0.1285795125,-0.2398739625
max,1.5496037,1.1301852,1.2082232,0.624636,0.31703803
mean,0.720953916666667,0.59474843,0.860255725,0.09869615835,-0.299274715666667
Std Dev,0.521635676563665,0.299029131100036,0.211819338800752,0.131329322161562,0.170214760079774

