,delta ,theta ,alpha ,beta ,gamma

Left Ear_Sohaib_Sohaib_France1
min,0.172500576613836,0.167992631899965,0.151104447927477,0.289576481811824,0.192582121032377
Q1,0.482620684540103,0.431491118637292,0.457503252172748,0.409329418452777,0.299781993461182
Q2,0.568045000553629,0.561615902569302,0.549709558282828,0.50324012614644,0.386752128700185
Q3,0.644068143527297,0.658553120336542,0.704060823888506,0.560379367401766,0.486765574727535
max,0.921951905881795,0.969749337865258,0.939609548190141,1,1
mean,0.545890224229195,0.543541345255698,0.555997573721336,0.500433356616883,0.406575896886788
Std Dev,0.179061034905127,0.162738512720537,0.166555793658646,0.116955981741726,0.15342189427579

Left Forehead_Sohaib_Sohaib_France1
min,0.187438383537832,0.14698153379906,0.263163394708322,0.315901935304494,0.270469670549979
Q1,0.57029668076474,0.522151184605237,0.490887721448342,0.450903587825765,0.343920635768781
Q2,0.656846394907091,0.615729738967138,0.620781233944319,0.479124476982992,0.384170305540031
Q3,0.745117397196212,0.685951736872013,0.72517447999539,0.523744322802393,0.411745437541709
max,0.867797991432429,0.876662265764427,0.879599274586848,0.683483109632552,0.660721574362902
mean,0.641462163378166,0.591663714480562,0.602314464897777,0.482473116236144,0.385446360729926
Std Dev,0.148609598193196,0.151178219628721,0.149579606454805,0.0660216944929518,0.0614243807197977

Right Forehead_Sohaib_Sohaib_France1
min,0.05634132224975,0,0.119700508405135,0.0738428688642031,0.0133555794726016
Q1,0.458517006083598,0.372499978467932,0.379240529364993,0.225367267787514,0.124879289683787
Q2,0.594677557215591,0.576352453620123,0.567168605909233,0.284055707473916,0.158486300259044
Q3,0.735462381429862,0.708467571578232,0.691514123612751,0.334703799978119,0.179154477788216
max,1,0.959376638911753,0.814929797891147,0.502198040310298,0.629922580795021
mean,0.587776242270767,0.537913512736352,0.51999007071246,0.276479989467774,0.15945107987663
Std Dev,0.211077932141514,0.227686220460647,0.195733697515107,0.093793914967133,0.085786863282473

Right Ear_Sohaib_Sohaib_France1
min,0.153835454997284,0.219060773101554,0.227136023706939,0.25359327009803,0.1722736691232
Q1,0.4362661812996,0.422451326642744,0.491327354271712,0.357842781926311,0.274981845669769
Q2,0.568836704887494,0.540227139494467,0.594320226019272,0.422184113623643,0.308726925033708
Q3,0.657979608710777,0.646007463085636,0.725922868494117,0.468941367911497,0.367105707206728
max,0.94645251578243,0.913407449076384,0.902224680288982,0.720598394524414,0.750894326883557
mean,0.554638568792402,0.549500164561095,0.604113719973875,0.414699863397181,0.327461883308933
Std Dev,0.186298002974291,0.172926059951585,0.157138792317216,0.0888180476198049,0.0886212288994105

Left Ear_Sohaib_Sohaib_France2
min,0.142579131641184,0.214371814387772,0.137020890845811,0.265318040991879,0.120241282349529
Q1,0.464328416856246,0.493547935643379,0.450802810747279,0.372158140830969,0.257322998517992
Q2,0.585879195013289,0.570273349520085,0.616839775391468,0.449807058660713,0.337082422205008
Q3,0.643159488425515,0.633402193358946,0.724237755654725,0.527991715470851,0.420372567547435
max,0.833603982380237,0.833330241549259,0.830472027757024,0.848767289783034,0.886663003075061
mean,0.547342418048224,0.560060502763361,0.573744588939376,0.487159583057985,0.372438085371945
Std Dev,0.150465701958909,0.131349018599684,0.176606183067251,0.15143415560766,0.183692879017973

Left Forehead_Sohaib_Sohaib_France2
min,0.0762840573278615,0.0273409620581464,0.157262003411592,0.335974811440621,0.274127294963436
Q1,0.529824807873214,0.475750112167875,0.479123891748258,0.402329339645019,0.330853792865923
Q2,0.621191146278509,0.580830743136015,0.582750403580434,0.441809219354354,0.363617986936904
Q3,0.662446680708414,0.64616648982766,0.661697805435151,0.468711507189792,0.38587415136705
max,0.815391633901034,0.821981698247269,0.965525037740856,0.535056812756612,0.648601070050607
mean,0.573264820441084,0.533258371992769,0.558676953798412,0.437985570838414,0.374155693261393
Std Dev,0.163816330386271,0.17624519256991,0.189795077123634,0.0511315159440766,0.0670786182961822

Right Forehead_Sohaib_Sohaib_France2
min,0.000742847962511776,0.115840970237177,0.0685748180648325,0.112932327046064,0.0308311119641109
Q1,0.387490784807862,0.313372993824524,0.34031302270692,0.219974270332116,0.106944274666097
Q2,0.54570773456918,0.49246539319551,0.468315736857121,0.258729889086263,0.146246530081042
Q3,0.663315153629658,0.602766477911671,0.584339869661027,0.34282325233018,0.194284462876222
max,0.894688237335745,0.973041023131924,0.923389238146454,0.638494114146257,0.579307957182267
mean,0.533543179642856,0.487440473766269,0.473568249753831,0.283591627302431,0.170142290738606
Std Dev,0.197947855381602,0.202868024607532,0.196990412595287,0.100003610622618,0.112861932859424

Right Ear_Sohaib_Sohaib_France2
min,0.153063782702326,0.280209526420864,0.145747345181179,0.194897787325448,0.103403522278461
Q1,0.437612853966128,0.438876012502102,0.590755362921541,0.349967900254834,0.255001583777837
Q2,0.523914547846266,0.556475647886113,0.678142075558551,0.419166779137857,0.298734147495129
Q3,0.627710307609627,0.687191057222787,0.765054238791349,0.502433123279749,0.346832168595845
max,0.910711797121179,0.866267443202941,0.991105832241653,0.87702353333672,0.890174093572318
mean,0.535969062607577,0.5667968373187,0.654627175268936,0.445583061473098,0.32422426551136
Std Dev,0.178722657993962,0.156677487025596,0.173036187012029,0.139502854327722,0.144548331837517

Left Ear_Sohaib_Sohaib_France3
min,0.267905054276923,0.248561377884491,0.331338011813831,0.268727128477009,0.143787141595587
Q1,0.47111158319899,0.474444488034393,0.558250283799652,0.404988164654082,0.272188785983946
Q2,0.553828695887558,0.610914799911329,0.64849762781199,0.464759238404324,0.324483053827808
Q3,0.67102064773566,0.735582462700346,0.731223643273011,0.502259034501589,0.390324667354433
max,0.880812366496227,1,0.953505541881246,0.660663427288597,0.631778796828501
mean,0.564240547417068,0.609572590786886,0.65002481025176,0.466788358252713,0.342360556847387
Std Dev,0.164420337612438,0.168855210825624,0.15437693207921,0.0881309684950797,0.113286452232832

Left Forehead_Sohaib_Sohaib_France3
min,0.0233913891195122,0.0890477824028869,0,0.316201799601379,0.259447383106877
Q1,0.410016608150098,0.323372354330002,0.355307803070027,0.406666556533215,0.337309669884884
Q2,0.538937832070791,0.525889306337578,0.515846941605827,0.438013854372615,0.359450867334563
Q3,0.615676839260049,0.611862869469971,0.578517954463382,0.46852994803883,0.382757848097532
max,0.82548472900894,0.748029062581006,0.736504563002405,0.503124506802143,0.438769736750305
mean,0.494454553478274,0.475699145183172,0.47460192773905,0.4345628398089,0.358213506886892
Std Dev,0.176694099959063,0.172154726848208,0.163593688559029,0.04241340097774,0.0374549432566933

Right Forehead_Sohaib_Sohaib_France3
min,0,0.0102682960305641,0.0182613806734902,0,0
Q1,0.461819515272263,0.422000140108297,0.446574152740266,0.223889254788234,0.108903964741955
Q2,0.570260614918365,0.541802987133493,0.55795463819953,0.290459159866705,0.156605297747309
Q3,0.705666972050027,0.713067136718802,0.668503711882955,0.333634678197847,0.199501738729881
max,0.916766215149658,0.87788620212327,0.83962933717472,0.457373943692922,0.315224763183227
mean,0.549937420241083,0.524363798262621,0.518533289770919,0.274085991269034,0.158561033361033
Std Dev,0.2149465941892,0.226656943106212,0.197048891918107,0.0897630952336644,0.0688872908297836

Right Ear_Sohaib_Sohaib_France3
min,0.206866676596986,0.150923980459357,0.247871616955186,0.264199137073237,0.149699717226097
Q1,0.363868713814461,0.447710951126008,0.533388031699372,0.35697585802011,0.242082694175299
Q2,0.525478533158357,0.555054748318602,0.629710441519993,0.403558182463492,0.268074944985549
Q3,0.669521288233985,0.702570332606086,0.731844572212871,0.452721246935095,0.311305600273524
max,0.851608724440799,0.903960983956496,1,0.670302088784809,0.465401919867944
mean,0.51826232743705,0.562071776220349,0.627997011239669,0.414894591034152,0.27710991371617
Std Dev,0.183077280836138,0.161626047870093,0.16618496385374,0.0819420423259803,0.0604326073219914

Left Ear_Sohaib_Sohaib_France4
min,0.172561034306588,0.209197457405114,0.201586300046337,0.343294540383495,0.254695331026279
Q1,0.478427483673934,0.433937218705817,0.44017110001243,0.542621386025332,0.514090663782138
Q2,0.558358135208141,0.524216481578433,0.566275687692624,0.630422391917784,0.585730257776867
Q3,0.666075886559899,0.700042069558863,0.700820587292748,0.665244973680703,0.624985254698297
max,0.947285412529362,0.891029123833035,0.901131051762678,0.906752827390647,0.777917625003353
mean,0.572912211578993,0.534799923203663,0.573357107851542,0.608435991770732,0.557271669065285
Std Dev,0.168355879380715,0.170224760337319,0.182485029269345,0.109763100409014,0.116259714378431

Left Forehead_Sohaib_Sohaib_France4
min,0.153178713005185,0.0950725416936941,0.0981737318355772,0.289763256716816,0.217437886957115
Q1,0.49294637841995,0.450590877006479,0.422184112362403,0.382943686896,0.306317740342151
Q2,0.622402989241714,0.570908088058238,0.576994070520948,0.420123653371793,0.329955171274857
Q3,0.738690274226166,0.65294420107424,0.687041884244706,0.469638545128792,0.360616654825584
max,0.914624776563274,0.795412112654074,0.772891403398806,0.702410249808643,0.529634568017179
mean,0.606213196164257,0.541345017522561,0.546852634582461,0.430884464444675,0.337164098490522
Std Dev,0.182605174294469,0.167831289123817,0.171474671867884,0.0863366265311383,0.0519427395302733

Right Forehead_Sohaib_Sohaib_France4
min,0.0628105751867922,0.149235211716776,0.118936233834041,0.115183501551791,0.067307758990707
Q1,0.453185246811254,0.364911932502442,0.366510390944756,0.206173182566872,0.126158662370734
Q2,0.614691172097581,0.570265320346136,0.549324272749735,0.2334104994791,0.168549347233703
Q3,0.709713970829063,0.668287731647781,0.670668583091426,0.295765270080991,0.222895319679561
max,0.943791497890304,0.828454805664886,0.800465468018633,0.598732789959819,0.39942438386196
mean,0.57822595640311,0.52494299549619,0.506192200328193,0.26406090834988,0.181305538045878
Std Dev,0.19377642800554,0.195921462055779,0.187400539803471,0.0947079225172761,0.0786251988640498

Right Ear_Sohaib_Sohaib_France4
min,0.146733934586426,0.133131212681792,0.185900993890824,0.25511675340715,0.154003824629212
Q1,0.484117454866681,0.451000396426661,0.428370380677251,0.453059018958227,0.340568032720658
Q2,0.536212253778987,0.502533058467419,0.545789443781141,0.532937865927484,0.432907880445704
Q3,0.668317294559495,0.658904624439805,0.72352572827173,0.636438738215591,0.558753649979166
max,0.944304499782818,0.928950328737885,0.938972834816254,0.907714297618198,0.782742779021674
mean,0.557524318653964,0.540484034335934,0.572440252556476,0.539941321694111,0.455501623686126
Std Dev,0.154427050944206,0.165958562310197,0.185538461268361,0.144637165637042,0.16065224630504

