,delta ,theta ,alpha ,beta ,gamma

Left Ear_Sohaib_Sohaib_France1
min,-0.11527222,-0.40834588,-0.2852097,-0.2206192,-0.6363735
Q1,0.738129225,0.259821135,0.31771004,0.0098977065,-0.37977519
Q2,0.97320342,0.589785415,0.49915005,0.19066994,-0.171599665
Q3,1.182407075,0.8355942325,0.8028765125,0.3006594025,0.0677969
max,1.9470992,1.6247109,1.2663802,1.1469016,1.2962973
mean,0.91223698265625,0.54395280640625,0.5115233640625,0.185267084359375,-0.1241486251875
Std Dev,0.492747622697084,0.412664632789398,0.327742061707849,0.225132943408366,0.3672373660175

Left Forehead_Sohaib_Sohaib_France1
min,-0.07416574,-0.46162483,-0.06470443,-0.16994435,-0.44993845
Q1,0.9793996875,0.4897126475,0.38340271,0.08992538,-0.2741230025
Q2,1.2175708,0.727004725,0.63900215,0.144248825,-0.17777963
Q3,1.460478625,0.90507035,0.84442315,0.230139235,-0.11177458625
max,1.7980762,1.3886651,1.1482943,0.5376264,0.4841856
mean,1.17523583015625,0.665979236985938,0.6026639546875,0.1506947459375,-0.17472520840625
Std Dev,0.408950089328282,0.383350587675416,0.294336975808957,0.127087628940857,0.147028088078783

Right Forehead_Sohaib_Sohaib_France1
min,-0.4349241,-0.83433366,-0.34700516,-0.6358929,-1.065378
Q1,0.6717997175,0.1102341885,0.163707675,-0.3442179175,-0.7984299625
Q2,1.046492,0.627153665,0.53350529,-0.231246345,-0.71798675
Q3,1.43390955,0.96216494,0.7781876,-0.1337519375,-0.668514495
max,2.1618752,1.5984083,1.0210402,0.18866399,0.41046378
mean,1.02750067375,0.5296820145625,0.44066918953125,-0.245829127921875,-0.71567741125
Std Dev,0.58085305561679,0.577355961947055,0.385157214649503,0.180547414812654,0.205343193417539

Right Ear_Sohaib_Sohaib_France1
min,-0.16663568,-0.2788497,-0.1355977,-0.28988463,-0.6849847
Q1,0.61056897,0.2368984575,0.3842678025,-0.08921084575,-0.43913791
Q2,0.975382065,0.5355488,0.5869332,0.03464219,-0.35836421
Q3,1.220689225,0.8037815475,0.8458958,0.1246469775,-0.2186262
max,2.014521,1.4818418,1.1928157,0.609071,0.70002705
mean,0.93631104203125,0.55906289890625,0.606204459375,0.020235476828125,-0.31351939328125
Std Dev,0.512662613211377,0.438497733798157,0.309211649964434,0.170969181658343,0.212127655103455

Left Ear_Sohaib_Sohaib_France2
min,-0.1976113,-0.29073974,-0.31292278,-0.26731518,-0.8095317
Q1,0.6877918,0.41718188,0.30452517,-0.061654676,-0.4814069
Q2,1.0222803,0.61173856,0.6312463,0.08781463,-0.29049125
Q3,1.1799066,0.7718177,0.8425799,0.2383152,-0.09112431
max,1.7039797,1.2787858,1.0516236,0.8557881,1.0250089
mean,0.916233190163934,0.58584130564918,0.546445255573771,0.159715901196721,-0.205862386065574
Std Dev,0.414057793070297,0.33306863643744,0.347518830041069,0.291501269766605,0.439695320965522

Left Forehead_Sohaib_Sohaib_France2
min,-0.38004485,-0.76500374,-0.2730931,-0.13130532,-0.4411834
Q1,0.8680275,0.372051,0.3602543,-0.003577007,-0.30540037
Q2,1.1194532,0.6385095,0.56416655,0.07241929,-0.22697456
Q3,1.2329819,0.8041848,0.7195162,0.12420451,-0.17370123
max,1.6538622,1.2500087,1.3173757,0.25191507,0.45517343
mean,0.987567538032787,0.51787772857377,0.516795744754098,0.0650590059672131,-0.201751044590164
Std Dev,0.450796609097917,0.446914233495881,0.37347142667391,0.0984249673594494,0.160562318797223

Right Forehead_Sohaib_Sohaib_France2
min,-0.5879223,-0.5405896,-0.44760832,-0.56064814,-1.0235478
Q1,0.4763468,-0.039697226,0.08710763,-0.3545991,-0.84136
Q2,0.9117348,0.41443682,0.33898643,-0.27999696,-0.7472844
Q3,1.2353718,0.6941331,0.56729424,-0.1181225,-0.6322987
max,1.8720739,1.6330578,1.2344625,0.4510254,0.2893104
mean,0.878259870491803,0.401694866688525,0.349322122131148,-0.232139670278689,-0.690086460655738
Std Dev,0.544721162864662,0.514423153314298,0.38763013007508,0.192500690222514,0.270151265844977

Right Ear_Sohaib_Sohaib_France2
min,-0.1687592,-0.12379158,-0.2957512,-0.40286976,-0.8498353
Q1,0.6142748,0.2785474,0.5799184,-0.1043695,-0.48696354
Q2,0.8517634,0.576751,0.7518746,0.02883401,-0.38228336
Q3,1.1373929,0.90821296,0.922897,0.18911651,-0.26715383
max,1.9161682,1.3623064,1.3677126,0.9101796,1.0334132
mean,0.884935516393443,0.602922984590164,0.705602886885246,0.0796836998360656,-0.32126909704918
Std Dev,0.491816463002623,0.39729537015502,0.340493929605452,0.268534261702183,0.345997218303216

Left Ear_Sohaib_Sohaib_France3
min,0.1472658,-0.20404346,0.06944695,-0.2607529,-0.7531713
Q1,0.706458,0.36874026,0.51595616,0.0015410647,-0.4458235
Q2,0.9340824,0.71479523,0.6935414,0.11659664,-0.32064965
Q3,1.2565761,1.0309216,0.85632646,0.1887814,-0.16304828
max,1.8338897,1.7014191,1.2937242,0.49369994,0.4149069
mean,0.962734167213115,0.711391719508197,0.696546530655738,0.120502568685246,-0.277857275737705
Std Dev,0.452458741369986,0.428175066891457,0.303776967995891,0.169646597354401,0.271167414011114

Left Forehead_Sohaib_Sohaib_France3
min,-0.5255971,-0.6085305,-0.5825472,-0.16936713,-0.47632188
Q1,0.5383343,-0.01434132,0.11661378,0.004771864,-0.2899473
Q2,0.8931051,0.4991916,0.4325165,0.06511345,-0.23694916
Q3,1.1042787,0.7171993,0.5558381,0.12385502,-0.18116055
max,1.6816368,1.0624831,0.86671805,0.19044738,-0.04708804
mean,0.770694159016393,0.371921760327869,0.351356153770492,0.0584704629983607,-0.239910960163934
Std Dev,0.486234192411319,0.436541823752389,0.321913345630079,0.0816431418032483,0.0896537927057358

Right Forehead_Sohaib_Sohaib_France3
min,-0.5899665,-0.8082958,-0.54661316,-0.7780358,-1.0973465
Q1,0.6808877,0.23575436,0.29620418,-0.347063,-0.8366692
Q2,0.97930044,0.53954476,0.5153744,-0.2189201,-0.7224892
Q3,1.3519173,0.9738283,0.7329086,-0.13580993,-0.6198104
max,1.932829,1.3917687,1.069643,0.10238041,-0.3428107
mean,0.923374225409836,0.495323288688525,0.43780259222623,-0.250437424590164,-0.717807865573771
Std Dev,0.591499001162817,0.574745969054739,0.387745203429224,0.172788339155042,0.164891636593508

Right Ear_Sohaib_Sohaib_France3
min,-0.020702153,-0.45162776,-0.094795,-0.269469,-0.7390187
Q1,0.4113426,0.30095062,0.46703318,-0.09087962,-0.51788676
Q2,0.85606724,0.57314795,0.6565727,-0.0012115615,-0.45567057
Q3,1.2524501,0.947211,0.8575483,0.09342426,-0.35219178
max,1.7535259,1.4578879,1.3852142,0.51225376,0.01665992
mean,0.836209384180328,0.590941397868852,0.653201078032787,0.0206103153393443,-0.434044073114754
Std Dev,0.503799695727497,0.40984369697448,0.327012357131785,0.157733301905663,0.144654135834119

Left Ear_Sohaib_Sohaib_France4
min,-0.11510585,-0.30386063,-0.18587346,-0.1172153,-0.4876966
Q1,0.7265902,0.26602384,0.2836045,0.2664764,0.13320343
Q2,0.9465467,0.49494973,0.53174824,0.43548784,0.3046831
Q3,1.2429689,0.94079995,0.7965005,0.50251913,0.39864558
max,2.016813,1.4250959,1.1906637,0.96740663,0.7647112
mean,0.986597214262295,0.521786721311475,0.545682785245902,0.393165396065574,0.23656337557377
Std Dev,0.463288729320021,0.431647905845696,0.359086996674086,0.211287097117266,0.278284344511702

Left Forehead_Sohaib_Sohaib_France4
min,-0.16844293,-0.5932532,-0.38936472,-0.22025967,-0.57687765
Q1,0.7665439,0.3082534,0.2482104,-0.040893175,-0.36413094
Q2,1.122788,0.6133481,0.55283946,0.030675933,-0.30755135
Q3,1.4427922,0.8213714,0.7693873,0.125989,-0.23415868
max,1.9269361,1.1826348,0.93831867,0.57405996,0.17041
mean,1.07823625229508,0.538383462295082,0.493528305819672,0.0513898206885246,-0.290295746065574
Std Dev,0.502500533259287,0.425578654610078,0.337421240379287,0.16619260139962,0.124332416431654

Right Forehead_Sohaib_Sohaib_France4
min,-0.41712174,-0.45591006,-0.34850907,-0.55631477,-0.9362357
Q1,0.65712756,0.09099278,0.1386578,-0.38116533,-0.7953676
Q2,1.1015663,0.6117182,0.4983919,-0.3287352,-0.6938994
Q3,1.363054,0.8602788,0.73716855,-0.20870617,-0.5638145
max,2.0071983,1.2664229,0.99257785,0.37448734,-0.1412668
mean,1.00121979885246,0.496791989672131,0.413518272786885,-0.269735081639344,-0.66336562295082
Std Dev,0.533242055062692,0.496808388151176,0.368759548564434,0.182306822129807,0.1882007197847

Right Ear_Sohaib_Sohaib_France4
min,-0.18617794,-0.49674582,-0.2167384,-0.28695202,-0.7287162
Q1,0.7422481,0.30929184,0.2603835,0.09407445,-0.28214794
Q2,0.88560474,0.43996593,0.4914362,0.24783623,-0.061119236
Q3,1.2491369,0.83648556,0.8411788,0.44706893,0.24011071
max,2.00861,1.5212547,1.2651273,0.9692574,0.7762609
mean,0.944252168836066,0.536200221803279,0.543878632786885,0.261317443934426,-0.00703786257377049
Std Dev,0.424958798396291,0.420829882423714,0.365095422299276,0.278417489564737,0.384544253324133

