,delta ,theta ,alpha ,beta ,gamma

Left Ear_Sohaib_Sohaib_Guinee1
min,0.1116815228429,0.199371845628483,0.0509899391948512,0.262892639861353,0.282366330710231
Q1,0.455984244781994,0.420890933027815,0.404360696702182,0.46673856388463,0.508886290424833
Q2,0.601963994672833,0.579567871876396,0.435237021577979,0.570539584100257,0.606647313786236
Q3,0.739899873985077,0.708594802801616,0.53501221947227,0.715323275446324,0.740127669890639
max,0.859517722952275,0.86377066066386,0.830898812442219,0.875382628524861,0.926278176911442
mean,0.584722924688539,0.558127448487426,0.465397693395486,0.581469344949608,0.602711283095519
Std Dev,0.194580880359675,0.182678064326768,0.14582018490209,0.162939664487251,0.15521825636671

Left Forehead_Sohaib_Sohaib_Guinee1
min,0.391639071470676,0.58638447140542,0.24368268848874,0.316703860023065,0.279739506721855
Q1,0.633412547505276,0.58638447140542,0.24368268848874,0.316703860023065,0.279739506721855
Q2,0.759337089378084,0.58638447140542,0.24368268848874,0.316703860023065,0.279739506721855
Q3,0.759337089378084,0.757480803502364,0.82605652873776,0.882647399482502,0.777051663899048
max,0.759337089378084,0.860343132605414,0.923558726564961,1,0.810556516310483
mean,0.68581930256488,0.648611248229598,0.494208287554859,0.562668574662564,0.486019612505419
Std Dev,0.0977459502927521,0.0843610743824293,0.296507475398573,0.291233536654842,0.246249419549883

Right Forehead_Sohaib_Sohaib_Guinee1
min,0.229907611516718,0.216618870203648,0.179786190006325,0.0829453470816353,0.0474492607371955
Q1,0.45971549012361,0.417804075650756,0.366108943611978,0.221801237008123,0.144734431540665
Q2,0.578114189065915,0.594088206468278,0.493297070635104,0.260106079985757,0.194600466417494
Q3,0.729556974699307,0.710854473523417,0.60941037722129,0.318565956618415,0.251962358464749
max,1,0.869453004080387,0.768354931422019,0.471264419951013,0.510392123106852
mean,0.593628127474079,0.567735232980696,0.486404379880172,0.272210997895818,0.205003847664297
Std Dev,0.171241230728841,0.181404964986484,0.15361034591034,0.0945027722067914,0.084805587560415

Right Ear_Sohaib_Sohaib_Guinee1
min,0.159159634294402,0,0,0.203181347305738,0.254955616158927
Q1,0.399149798959025,0.365503466097533,0.36264982099677,0.315728425854103,0.34636015855183
