,delta ,theta ,alpha ,beta ,gamma

Left Ear_Sohaib_Sohaib_Guinee1
min,0.0798732,-0.07995475,-0.1451904,0.1237128,-0.16858776
Q1,0.910708425,0.36156747,0.4841259,0.459430825,0.3187809875
Q2,1.26297145,0.67783545,0.5391134,0.63038285,0.5291186
Q3,1.59582385,0.9350063225,0.716802575,0.868830075,0.8163081
max,1.8844731,1.2442961,1.2437456,1.1324351,1.21682
mean,1.2213671078125,0.6351013296875,0.592826396875,0.648383296875,0.520650037890625
Std Dev,0.469542176732852,0.36410598045422,0.259690473188052,0.268348668818985,0.333959653223888

Left Forehead_Sohaib_Sohaib_Guinee1
min,0.7554374,0.691422,0.1979752,0.2123356,-0.1742395
Q1,1.3388598,0.691422,0.1979752,0.2123356,-0.1742395
Q2,1.6427277,0.691422,0.1979752,0.2123356,-0.1742395
Q3,1.6427277,1.032443775,1.235122,1.1443996,0.895751875
max,1.6427277,1.2374645,1.4087632,1.33767,0.9678392
mean,1.4653222859375,0.8154497078125,0.644135046875,0.6174199234375,0.2695822140625
Std Dev,0.235870277606122,0.168144827970376,0.528048751561736,0.479638473067355,0.529817643133247

Right Forehead_Sohaib_Sohaib_Guinee1
min,0.365164,-0.04557873,0.08418223,-0.17264608,-0.6740233
Q1,0.919712275,0.35541488,0.416003535,0.0560385275,-0.4647095075
Q2,1.2054196,0.70677675,0.642512265,0.1191235575,-0.3574203
Q3,1.57086545,0.9395102,0.8492979,0.215402325,-0.23400339
max,2.2234702,1.2556219,1.1323615,0.46688455,0.32202086
mean,1.242856209375,0.65425114828125,0.63023710484375,0.13905939459375,-0.3350369175625
Std Dev,0.413221381639386,0.361568494165332,0.273563933846477,0.155638550019112,0.182463360148906

Right Ear_Sohaib_Sohaib_Guinee1
min,0.1944424,-0.47733405,-0.23599814,0.02537305,-0.22756325
Q1,0.7735615,0.2511715775,0.4098432,0.2107291375,-0.0309019165
Q2,1.08465215,0.530167075,0.574297625,0.321771825,0.1308179775
Q3,1.3257599,0.7512693275,0.81803376,0.40794733,0.2695288325
max,1.8793263,1.4338465,1.1445577,1.0677254,0.88944656
mean,1.0475044265625,0.52276891421875,0.589193435421875,0.3370653109375,0.167151812109375
