,delta ,theta ,alpha ,beta ,gamma

Left Ear_Sohaib_Sohaib_Vietnam1
min,0.223293524200163,0.185751065625684,0.216994324852539,0.314547574120515,0.263857149007578
Q1,0.34944846860619,0.405214313480864,0.399987804728789,0.482208292229851,0.372740725017241
Q2,0.403694674125092,0.4922098428164,0.580138968140509,0.551897689818487,0.460281519745032
Q3,0.562571864400439,0.603321261276916,0.669221534646809,0.689386132420494,0.641057850221792
max,0.85308601594617,0.935875487232198,0.889976261293781,0.867569440060515,0.786598382699516
mean,0.459238848343002,0.512352390261345,0.53610721303083,0.576388246880471,0.503745230245398
Std Dev,0.155372388437741,0.172012188847717,0.163834411304606,0.120417990211412,0.171654140262312

Left Forehead_Sohaib_Sohaib_Vietnam1
min,0.0886040902964447,0.0762179008947847,0.173290005542926,0.398847532967539,0.222835591619636
Q1,0.501482855940341,0.299160697046956,0.353979151719095,0.477940204437406,0.360739000143117
Q2,0.631399938161452,0.572395049283282,0.522899423064691,0.52438612354208,0.406973856381326
Q3,0.726087449208392,0.736948094861099,0.648332166271454,0.561280461912617,0.427244297338889
max,0.973734507939252,0.995338111770326,0.790935498999621,0.723064103307503,0.52743462276881
mean,0.584777794223833,0.535202210096168,0.50750435667926,0.525057378792691,0.396448999844988
Std Dev,0.196372046768081,0.241677927736523,0.175807197953506,0.0688480796569961,0.0698191626633931

Right Forehead_Sohaib_Sohaib_Vietnam1
min,0.294299541660343,0.20586054467771,0.250905611892459,0.241660552297314,0.0883250457856375
Q1,0.409862802494197,0.299854805441558,0.371847166570947,0.330412570069816,0.209547460381367
Q2,0.506143247603794,0.502866742126656,0.480773071246346,0.364095402653494,0.216484235114458
Q3,0.588435599740111,0.605793432962356,0.584925471848743,0.42161913235614,0.254859440648524
max,0.808784794448885,0.974879201365447,0.907824565750059,0.826875042823037,0.337293492817022
mean,0.514345613363059,0.491885632359891,0.493369304142033,0.389820527970695,0.225008493435935
Std Dev,0.126047989136769,0.1963007704068,0.162418281708794,0.0941102145778571,0.0477363035117151

Right Ear_Sohaib_Sohaib_Vietnam1
min,0.157499258217569,0.201565815423812,0.238734453057501,0.293075792810163,0.181103821144668
Q1,0.373728086886687,0.383733465656597,0.454935865066383,0.447627363441278,0.310054766326148
Q2,0.497450802062378,0.50089704622244,0.553970971313829,0.529309828274954,0.358529924226637
Q3,0.72955289631184,0.711791102719122,0.67970329028,0.58543689477923,0.487060809774732
max,0.869832637485852,1,0.858091317894118,0.74618442227889,0.677886328357528
mean,0.528037499008296,0.555347050030951,0.57437838228981,0.526572538253548,0.392259320486931
Std Dev,0.20525086629862,0.215809346403882,0.14376282916765,0.110196618959329,0.124453514336849

Left Ear_Sohaib_Sohaib_Vietnam2
min,0.133622973752769,0.316110098817947,0.284000351231229,0.334450625520956,0.164403185492971
Q1,0.385150637331506,0.405481279146584,0.454655315877228,0.484394632123557,0.349617230890935
Q2,0.530187210960595,0.526500079187899,0.622833247318153,0.546534556284762,0.409916301141712
Q3,0.660923354961711,0.661009114329781,0.705979127518633,0.625979186427514,0.480098173725138
max,0.8341475582332,0.903615325347788,0.858537589251953,1,0.883820045734524
mean,0.513827219519252,0.545352994883957,0.598258350757762,0.57217131567105,0.427055572483896
Std Dev,0.190499556858812,0.168769088147408,0.153703375497899,0.130924802071469,0.156508207825651

Left Forehead_Sohaib_Sohaib_Vietnam2
min,0,0.00126293660316546,0,0.391503070675783,0.324072206840205
Q1,0.271667329708525,0.192877845720946,0.251160203536086,0.488725935872017,0.364864855699555
Q2,0.418103948967533,0.331164475637917,0.405267225953874,0.516857751347728,0.39959300617998
Q3,0.668706051501451,0.671318937248163,0.618668496135066,0.549139289875113,0.43823650689989
max,0.858844757264521,0.901677155081913,0.835596200175096,0.764301785963253,0.499110109248581
mean,0.454377415299949,0.401397969953854,0.43428970977014,0.519498670541171,0.39906746758891
Std Dev,0.231796011747432,0.272383672127521,0.212492168949223,0.0703408343658865,0.0452564619165464

Right Forehead_Sohaib_Sohaib_Vietnam2
min,0.201715977580886,0.224127033136754,0.295539190933116,0.21390200938087,0.0282391618377793
Q1,0.432281108359223,0.393172486850709,0.420378244878635,0.370426360388757,0.168582412574792
Q2,0.539316071632576,0.468758650772767,0.503719152060312,0.409344762688278,0.222859722950695
Q3,0.618987638407006,0.57995939421152,0.579120722104702,0.445910122168804,0.261366643285651
max,0.851582382083855,0.889392248818822,0.83198193996468,0.566174298438495,0.432079788501416
mean,0.540359598771197,0.510461537062586,0.509866688529418,0.413063475133412,0.220572371517545
Std Dev,0.14477977634748,0.16208378774532,0.122472490775644,0.071770157663655,0.0747714161975666

Right Ear_Sohaib_Sohaib_Vietnam2
min,0.143880140315598,0.2640608867685,0.21483023329431,0.338208472124874,0.191001859144585
Q1,0.319801206212653,0.403385877855043,0.574400148429501,0.419334383516962,0.269000867548383
Q2,0.476850607179374,0.538211141268993,0.668356912866653,0.494961173229049,0.313047609199433
