,delta ,theta ,alpha ,beta ,gamma

Left Ear_Sohaib_Sohaib_Vietnam1
min,-0.081146635,-0.30564272,-0.2284501,-0.29190606,-0.53564507
Q1,0.2872165,0.16404437,0.166263835,-0.018086817,-0.314099745
Q2,0.44561142,0.35022897,0.55484694,0.095728144,-0.13598056
Q3,0.9095211,0.5880255,0.746996575,0.32027079,0.231844895
max,1.757801,1.2997457,1.2231609,0.61127526,0.5279761
mean,0.607796312888889,0.393337301746032,0.459871166349206,0.13572550218254,-0.047544983015873
Std Dev,0.453675917078281,0.368134096319067,0.353388138299691,0.196663615038126,0.349264541868413

Left Forehead_Sohaib_Sohaib_Vietnam1
min,-0.47442985,-0.54006153,-0.3227196,-0.1542295,-0.6191116
Q1,0.7311457,-0.06292764,0.067023925,-0.02505735,-0.338519645
Q2,1.110494,0.52183837,0.43138218,0.05079695,-0.24444562
Q3,1.38697455,0.874008685,0.70193855,0.11105185,-0.20320137
max,2.1100857,1.4270054,1.0095316,0.3752728,0.000655805
mean,0.974360777619048,0.442239637285714,0.398175274285714,0.0518932270925397,-0.265860537174603
Std Dev,0.573391896088066,0.517230122606691,0.379213242747666,0.112440941839391,0.142060994415876

Right Forehead_Sohaib_Sohaib_Vietnam1
min,0.1261857,-0.26260516,-0.15530401,-0.4109433,-0.8928001
Q1,0.4636219,-0.061442135,0.10556494,-0.26599575,-0.64614895
Q2,0.7447537,0.37303647,0.34051633,-0.2109858,-0.6320347
Q3,0.9850413,0.59331635,0.56517135,-0.1170395,-0.5539527
max,1.6284447,1.38322,1.2616594,0.5448142,-0.3862242
mean,0.768704003174603,0.349535106825397,0.367686197777778,-0.168972176177619,-0.614690398412698
Std Dev,0.368050833500646,0.420115616251013,0.350333569986048,0.153698421460127,0.097129018566244

Right Ear_Sohaib_Sohaib_Vietnam1
min,-0.27326104,-0.27179658,-0.181557,-0.32697323,-0.7040232
Q1,0.358111195,0.1180718575,0.2847859,-0.074563515,-0.441646815
Q2,0.7193724,0.368821,0.498403,0.05883822,-0.34301445
Q3,1.3970934,0.820168625,0.76960555,0.150503525,-0.08149276
max,1.8066999,1.4369826,1.1543856,0.41303232,0.30677977
mean,0.808683299619048,0.485352875333333,0.542421450793651,0.0543677471904762,-0.274385274412698
Std Dev,0.59931739439309,0.461867145856369,0.310094064804224,0.179970330109916,0.253225466058376

Left Ear_Sohaib_Sohaib_Vietnam2
min,-0.34297803,-0.02665316,-0.0839192,-0.2594009,-0.73800397
Q1,0.3914642,0.16461572,0.28418076,-0.014516142,-0.3611491
Q2,0.8149603,0.42361566,0.6469378,0.08696921,-0.23845863
Q3,1.1967002,0.7114869,0.8262821,0.21671617,-0.09565963
max,1.7025021,1.2307037,1.1553482,0.8275575,0.72579294
mean,0.767190331377049,0.463963969786885,0.593930151147541,0.128838516819672,-0.203585368311475
Std Dev,0.556244658590407,0.361193332681459,0.331535660213609,0.213823074345631,0.318447125256286

Left Forehead_Sohaib_Sohaib_Vietnam2
min,-0.73314726,-0.70047736,-0.6965033,-0.16622429,-0.41312554
Q1,0.06010131,-0.29039025,-0.15475486,-0.0074423663,-0.33012477
Q2,0.48768544,0.005565658,0.17765146,0.038501803,-0.25946343
Q3,1.2194251,0.7335516,0.6379545,0.091223195,-0.18083553
max,1.7746161,1.2265557,1.105864,0.44262114,-0.05697606
mean,0.593601286885246,0.155876773360656,0.240252481622951,0.0428148854114754,-0.26053274295082
Std Dev,0.676827261664594,0.5829454160339,0.458342123551903,0.114878871063256,0.0920832868564275

Right Forehead_Sohaib_Sohaib_Vietnam2
min,-0.14415148,-0.2235119,-0.059030112,-0.45627785,-1.0150568
Q1,0.5290817,0.1382729,0.21024568,-0.20064624,-0.7295005
Q2,0.8416159,0.3000396,0.39001065,-0.13708569,-0.6190625
Q3,1.074251,0.5380273,0.5526506,-0.07736807,-0.5407125
max,1.7534105,1.200264,1.0980681,0.11904434,-0.1933626
mean,0.844662922295082,0.389290567975246,0.403270785344262,-0.131012382918033,-0.623716572131148
Std Dev,0.422746270873932,0.346885701119819,0.264171154054216,0.117213205711292,0.152137340720056

Right Ear_Sohaib_Sohaib_Vietnam2
min,-0.31302786,-0.13804695,-0.23311801,-0.25326368,-0.68388367
Q1,0.20064868,0.16013122,0.5424684,-0.120770894,-0.52517915
Q2,0.65922135,0.44867924,0.7451316,0.0027408656,-0.43555728
Q3,1.1880764,0.7915406,0.8464034,0.14427283,-0.30825236
max,1.6006566,1.1515366,1.4291912,0.6590005,0.4904113
mean,0.698346361803279,0.470916117983607,0.666592460491803,0.0434140340147541,-0.38529466197541
Std Dev,0.525922166539259,0.35905076815633,0.32816145852467,0.205213691713393,0.232696104316204

Left Ear_Sohaib_Sohaib_Vietnam3
min,-0.03977555,-0.08465887,-0.002923154,-0.13710588,-0.2760022
Q1,0.36868203,0.43937385,0.83525765,0.07262603,-0.0770307
Q2,0.53180677,0.5838122,0.9402085,0.16467804,0.04175189
