,delta ,theta ,alpha ,beta ,gamma

Left Ear_Thomas_Thomas_Chine1
min,0.0952774186313033,0.242082423029228,0.373211265264646,0.412822498401051,0.374399104714706
Q1,0.271038590194808,0.425142996470144,0.468486886545008,0.484719473477692,0.405483628147316
Q2,0.388560352389277,0.509569489014073,0.553525854012218,0.543851838931048,0.43954007737666
Q3,0.620650331291453,0.628866517961936,0.63067868146102,0.584917763666382,0.478614192797455
max,0.801836971944406,0.855290791066453,1,0.709092514944821,0.555071456284383
mean,0.442348893743029,0.521410743278199,0.579309792233355,0.541731306452652,0.444847615592214
Std Dev,0.195672843546504,0.136547672620621,0.144221369897659,0.0656446860036835,0.0459685563131846

Left Forehead_Thomas_Thomas_Chine1
min,0,0.088356482183658,0,0,0
Q1,0.129564117206751,0.193204653819641,0.161978275063197,0.101247686913454,0.0843209891511627
Q2,0.164748102313837,0.24133531506554,0.232844885011273,0.151257132736379,0.117486361174046
Q3,0.204033554916325,0.319698341508784,0.335866736540874,0.189994144059228,0.13592349401008
max,0.291485878608694,0.532973142871937,0.627993086474331,0.289494320200186,0.194528090216647
mean,0.16020378350134,0.254644859186272,0.265219715795316,0.147363037188286,0.109423620439541
Std Dev,0.0615130093562418,0.102231760587415,0.153198567373552,0.0599887306463578,0.0423240888582921

Right Forehead_Thomas_Thomas_Chine1
min,0.0428603904973841,0,0.0109949204841338,0.149620024420319,0.160184922531835
Q1,0.160836917969922,0.245667867241082,0.226057901207518,0.256892734683432,0.225034611780725
Q2,0.221651963412298,0.304635032043203,0.29798439134989,0.284542656860179,0.259257450340216
Q3,0.290735744318666,0.350427411610441,0.367721814503223,0.312503466318583,0.298034975055727
max,0.418761864771557,0.603529093888247,0.649198525137459,0.382062781291543,0.37457907682397
mean,0.223603213483758,0.295911947160337,0.306620678379,0.281725749501068,0.260114162448284
Std Dev,0.08824384917804,0.101554883740432,0.139446528638688,0.047854937290819,0.051123213455605

Right Ear_Thomas_Thomas_Chine1
min,0.123259274284024,0.284604829965554,0.385155497347357,0.312837071189985,0.293338753481767
Q1,0.259117978235073,0.408547679032293,0.48931486902564,0.434466417970254,0.339457441464227
Q2,0.352042512770931,0.466258937031418,0.54649748099146,0.464746401617613,0.365112606100092
Q3,0.556882789183618,0.527870061148223,0.635483335066033,0.490802082693301,0.408816075788133
max,0.830005195553432,0.838541494790868,0.893757357030502,0.703218078198538,0.479255899329817
mean,0.394479667199358,0.478196785896308,0.576375160633091,0.467148093260104,0.373390196089197
Std Dev,0.173074573148248,0.11726535970967,0.127690449548208,0.058838577203788,0.0444711923799377

Left Ear_Thomas_Thomas_Chine2
min,0.287603525964285,0.293059475589567,0.384715298441312,0.48439181877057,0.518540677649711
Q1,0.463612567873894,0.490344031812547,0.518192433309248,0.702828777509325,0.624571925705229
Q2,0.550450088505495,0.534136817692471,0.563878080868232,0.758260199460103,0.681974010739031
Q3,0.625753926236267,0.619278014638592,0.651729908056538,0.850111073086393,0.787976999751106
max,0.865992923187118,0.788552193315424,0.897067745262392,0.955518389243417,1
mean,0.548995925139502,0.555481495822255,0.587809211196602,0.762775953217212,0.705089661349004
Std Dev,0.134124218584011,0.112900763062719,0.10337849316713,0.11055809416331,0.120550590901926

Left Forehead_Thomas_Thomas_Chine2
min,0.061648518724821,0.0851930833165907,0.031283580016378,0.0856020912388031,0.00766354695489535
Q1,0.156141165835858,0.221498150055297,0.220056826190077,0.18321095342589,0.129405544381774
Q2,0.2539560819516,0.285598024398077,0.271022680053931,0.238280942715259,0.178882673154984
Q3,0.301671372796077,0.383474445489283,0.396290727537143,0.319986196088309,0.300645121957915
max,0.764126962779879,0.70109297251352,0.626175928833668,0.599359474623128,0.488182078555245
mean,0.248363367647053,0.3088383444249,0.302686773581766,0.258713423467788,0.21602700527191
Std Dev,0.120446576888262,0.12510530749264,0.14296799995088,0.11472879019958,0.116863899846802

Right Forehead_Thomas_Thomas_Chine2
min,0.112461198627262,0.209410484771708,0.133387729712174,0.0872001621851484,0.112511117862149
Q1,0.267696265437537,0.31526297784986,0.299983337323739,0.255444754074295,0.222683824471375
Q2,0.410931793219082,0.422524938625745,0.359665416578464,0.353288977197441,0.270386439502359
Q3,0.513371680027625,0.532850414766766,0.510867696065904,0.501199629369649,0.38875325300411
max,1,0.91790914873706,0.836888324295163,0.899694883489111,0.534603366836378
mean,0.42527295722168,0.461251064997047,0.412696028983712,0.405011407793333,0.30141348564652
Std Dev,0.197801033390482,0.183165848485512,0.170306485436699,0.188147141682854,0.109741271361368

Right Ear_Thomas_Thomas_Chine2
min,0.204682083864977,0.294772844637246,0.330572015605694,0.402653186468056,0.417691089971414
