,delta ,theta ,alpha ,beta ,gamma

Left Ear_Thomas_Thomas_Chine1
min,-0.47949618,-0.3497561,0.2388267,-0.1231678,-0.40911186
Q1,0.0855826075,0.05397379825,0.4160675,-0.0159596825,-0.3411712875
Q2,0.4634195,0.240171725,0.5742651,0.072214675,-0.26673506
Q3,1.209597525,0.5032746775,0.71779215,0.133449525,-0.18133186
max,1.7921194,1.0026408,1.4048389,0.31861088,-0.01422136
mean,0.636351686666667,0.266286951721667,0.622230841666667,0.0690526741666667,-0.255134522333333
Std Dev,0.629095562998025,0.301148286259414,0.268294351002314,0.0978851085575084,0.100472186414151

Left Forehead_Thomas_Thomas_Chine1
min,-0.78581667,-0.6887901,-0.4554565,-0.738742,-1.2274255
Q1,-0.3692631525,-0.4575532975,-0.15412906,-0.587768,-1.043127475
Q2,-0.256145315,-0.351403805,-0.0222962315,-0.51319715,-0.97063885
Q3,-0.129841105,-0.178578515,0.169354845,-0.455435025,-0.930341325
max,0.15132141,0.29178718,0.71279615,-0.3070668,-0.8022509
mean,-0.270755471166667,-0.322050346783333,0.0379305172833333,-0.519003773333333,-0.988261356666667
Std Dev,0.19776664227538,0.225466453666478,0.284994590171608,0.089451313868976,0.092506575943081

Right Forehead_Thomas_Thomas_Chine1
min,-0.6480189,-0.8836554,-0.4350027,-0.5156383,-0.8773138
Q1,-0.26871992,-0.3418486025,-0.03492202625,-0.355680175,-0.73557365
Q2,-0.073197258,-0.211799805,0.0988824925,-0.3144504,-0.66077375
Q3,0.1489097,-0.1108072625,0.2286147,-0.27275705,-0.5760188
max,0.5605185,0.4473944,0.75224453,-0.1690347,-0.4087185
mean,-0.0669239155166667,-0.231038082833333,0.114948537533333,-0.31865079,-0.658901258333333
Std Dev,0.283707299253197,0.223973639482498,0.25941173577252,0.0713581862736266,0.111738576199939

Right Ear_Thomas_Thomas_Chine1
min,-0.38953346,-0.2559753,0.2610465,-0.2722596,-0.5862832
Q1,0.047257391,0.01737375,0.4548137,-0.0908937875,-0.485482875
Q2,0.34601327,0.144652715,0.56119025,-0.045742235,-0.4294091
Q3,1.004582475,0.2805326175,0.726730225,-0.0068896891825,-0.33388765
max,1.8826813,0.96570116,1.2071962,0.3098513,-0.1799293
mean,0.482450320095,0.170980975733333,0.61677156,-0.0421609878121667,-0.411317003333333
Std Dev,0.556441272390787,0.258622219159141,0.237541955918463,0.0877362794703435,0.0971994399914431

Left Ear_Thomas_Thomas_Chine2
min,0.1388395,-0.23732905,0.2602276,-0.01644826,-0.09406566
Q1,0.7047152,0.19777105,0.5085345,0.3092708,0.13768387
Q2,0.9839011,0.2943536,0.5935233,0.39192655,0.263146
Q3,1.226005775,0.4821277675,0.75695365,0.52888863,0.494833765
max,1.9983832,0.85545254,1.2133545,0.6860652,0.9582465
mean,0.97922591,0.341428098716667,0.638042271666667,0.398660149833333,0.3136692303
Std Dev,0.431214415206911,0.248996344362325,0.192314535297744,0.164857076907635,0.263484051117794

Left Forehead_Thomas_Thomas_Chine2
min,-0.58761436,-0.6957668,-0.3972598,-0.6110977,-1.2106755
Q1,-0.28381694,-0.3951535675,-0.0460857985,-0.46554968,-0.944587425
Q2,0.0306617,-0.253784865,0.048725745,-0.383432875,-0.83644665
Q3,0.1840681575,-0.03792387,0.2817613175,-0.2615992875,-0.570313875
max,1.6708803,0.6625661,0.7094157,0.15498407,-0.1604196
mean,0.0126809128333333,-0.202529633666667,0.107630312535,-0.352965281683333,-0.755261323333333
Std Dev,0.387240281918315,0.27591278730939,0.265962712655822,0.171076148992888,0.25542615370596

Right Forehead_Thomas_Thomas_Chine2
min,-0.42424968,-0.42181224,-0.20731592,-0.60871476,-0.9815131
Q1,0.0748369075,-0.1883604625,0.1026011225,-0.35783931,-0.7407117
Q2,0.535344525,0.0481998175,0.21362742,-0.211940335,-0.63644943
Q3,0.86469262,0.29151651,0.494908325,0.0086144597,-0.3777384
max,2.429221,1.1407421,1.101403,0.6028248,-0.05895789
mean,0.5814519075,0.133608132166667,0.312280024316667,-0.134815192936667,-0.568634484
Std Dev,0.635937773515329,0.403962076497036,0.316820371448059,0.280552844557405,0.239858424058945

Right Ear_Thomas_Thomas_Chine2
min,-0.12775606,-0.23355031,0.1595051,-0.13833162,-0.31448978
Q1,0.666084215,0.211654555,0.530283575,0.08487770375,-0.119935075
Q2,0.9965445,0.33346693,0.66957325,0.214541625,-0.00600377875
Q3,1.307467025,0.45748372,0.782387475,0.3470202125,0.3152212475
max,2.0145411,1.1845912,1.1446524,0.7523933,0.7656281
mean,0.9942344855,0.382345543333333,0.66571102,0.210215580416667,0.101024306308333
