,delta ,theta ,alpha ,beta ,gamma

Left Ear_Thomas_Thomas_Guinee1
min,0.202746339191268,0.213498095353567,0.245543288478718,0.391608723257733,0.311322482697478
Q1,0.386032087790286,0.342128192491815,0.490543905087663,0.446492225965432,0.405800381277811
Q2,0.539756878572315,0.419979963352514,0.548958508266412,0.474513177493877,0.432546037704888
Q3,0.682083320697229,0.498951719651173,0.641474228342163,0.513190363493181,0.470570256261307
max,1,0.790274400623144,0.944363676395906,0.584391922404366,0.51853579060681
mean,0.535138551387197,0.446578194697658,0.567684607739105,0.481011271413905,0.430187246255817
Std Dev,0.184198928636547,0.129485460476014,0.114680805158799,0.0448525658960744,0.0512362129217406

Left Forehead_Thomas_Thomas_Guinee1
min,0.117798507459865,0,0.0921008852153594,0.0443838734410443,0.00639202244950067
Q1,0.228097228378516,0.172038846940982,0.184020639684358,0.143068141747399,0.0972066044308069
Q2,0.268330116263003,0.229021753887847,0.235208641487162,0.176286704739377,0.124348581212141
Q3,0.335231713955697,0.280409266651702,0.304861367971096,0.215188047077079,0.147183404508809
max,0.584408849241225,0.614742743310413,0.53134039530486,0.316990241076841,0.174002991162161
mean,0.284765016482251,0.233693692432995,0.246650776863812,0.177722134234572,0.121013270896582
Std Dev,0.0956014062438007,0.107020332679373,0.0851223180343029,0.0546659018859953,0.0342972120987007

Right Forehead_Thomas_Thomas_Guinee1
min,0.146956402905218,0.0297203305890119,0.013027664198493,0.0981109504418176,0.127076339581747
Q1,0.262953633953386,0.188310176037379,0.185213212434305,0.202045468204614,0.182507320471489
Q2,0.329967598506598,0.268029777897555,0.279080633481136,0.235336211833652,0.225690312774739
Q3,0.421490034216177,0.34389333593412,0.354570272713825,0.273842895509796,0.259314908440875
max,0.813381585732952,0.553160810394525,0.484677861691409,0.368525602930323,0.324668973614734
mean,0.35173826318313,0.267698195165291,0.272921712592012,0.234924078522062,0.223010945982874
Std Dev,0.135159094357463,0.118594401740915,0.115234980082242,0.0568174803903999,0.0493230539394253

Right Ear_Thomas_Thomas_Guinee1
min,0.192598111443713,0.279968534585862,0.298790829397503,0.262278052936141,0.173227043381223
Q1,0.374895803373791,0.36273312805991,0.428300753784115,0.320621052832185,0.284398796464996
Q2,0.506470293154352,0.423029320025996,0.553703920700485,0.348892773882739,0.303083221951237
Q3,0.6276445520591,0.496433987641281,0.607095791008261,0.388008572415729,0.320842157990647
max,0.942804465020855,0.703552221361388,0.808929896937225,0.458499132965579,0.393409471059865
mean,0.511266293331177,0.442716915625172,0.538431369832235,0.354316930420975,0.303300962453288
Std Dev,0.170764868125713,0.11127793259609,0.120028539630439,0.046384739805275,0.0390908842886359

Left Ear_Thomas_Thomas_Guinee2
min,0.209518991328015,0.27893922469416,0.364268376375055,0.273318846117793,0.195617516648123
Q1,0.384773230385066,0.398258778191815,0.509357877314235,0.340635635048683,0.268525178821086
Q2,0.483039215233992,0.48168714882257,0.569794796359833,0.390323102562517,0.309137373956271
Q3,0.628321579424101,0.512330282580147,0.653870240110182,0.418118813995415,0.343026183191911
max,0.91963452528165,0.786542144060236,0.821321445133903,0.465898507865017,0.460013984899827
mean,0.50716608990163,0.469926011750874,0.572965261711128,0.381039545672993,0.312072413090606
Std Dev,0.167090288366118,0.0898341866707462,0.107596873430872,0.0488370680322056,0.0539998438567172

Left Forehead_Thomas_Thomas_Guinee2
min,0.0455346728537069,0.0146695674427568,0,0,0.00392561259879081
Q1,0.189210556427499,0.147432160699805,0.156246423128524,0.0968086365571607,0.0957687559695405
Q2,0.246330864673331,0.21182104739177,0.219230960039766,0.13887927685845,0.119172787132741
Q3,0.338834940431575,0.286711201314449,0.302794231541364,0.187675138283796,0.14436375488189
max,0.542641105711219,0.511112900574275,0.555977786811602,0.326142168387964,0.222407712897101
mean,0.262291083875941,0.22828546829162,0.241312503528548,0.137732744356388,0.12170436655617
Std Dev,0.112547182163437,0.109877171343029,0.129352875229093,0.0647710962788068,0.0414373947941576

Right Forehead_Thomas_Thomas_Guinee2
min,0.0342612734032319,0.0543033788518086,0.0497046124289976,0.134772893465696,0.161802314960891
Q1,0.279389733619316,0.159631627312088,0.217777676122644,0.203597729322123,0.241514044831588
Q2,0.339743691394786,0.253995118718286,0.299113060103652,0.239795045909572,0.268785195523056
Q3,0.397509062639509,0.35756552747979,0.3318341804668,0.262077247890563,0.279759983570969
max,0.775019203728015,0.709445657802625,0.601119416936017,0.454592498414402,0.329180750082581
mean,0.347666997301597,0.26914547194565,0.28739863896894,0.240929800705717,0.261419110906276
Std Dev,0.127354210124282,0.139331022259726,0.118684346213585,0.0569423361729738,0.0392629156351656

Right Ear_Thomas_Thomas_Guinee2
min,0.234830401038578,0.214180535543083,0.319210010069241,0.230080334072734,0.146720557021742
Q1,0.402651938980963,0.417657722908879,0.524640362690343,0.283941055321153,0.229125311147784
Q2,0.531740187116195,0.494586286535238,0.595866456752319,0.317939438984616,0.249519271637545
Q3,0.641212383891844,0.536523957182506,0.696515967273878,0.33910154752829,0.269369057486316
max,0.918823835658893,0.804820037148977,0.871021218855845,0.405622311666628,0.393211630477693
mean,0.522955648280612,0.475923742237558,0.605761263438778,0.315173295333806,0.250587280683522
Std Dev,0.159798514943028,0.107338640207747,0.126602319233735,0.0413739881886928,0.0451823626828304

Left Ear_Thomas_Thomas_Guinee3
min,0.0904847824871984,0.219196477988236,0.24121431474614,0.2225711254376,0.20987474015183
Q1,0.288475186181816,0.369242022234535,0.466660006286079,0.32390096950917,0.264686138432997
Q2,0.401411066565638,0.445431802656261,0.551959104683269,0.359490483745451,0.284698969091489
Q3,0.515979986073941,0.549960962074601,0.673362414216452,0.400843945456937,0.311427609913124
max,0.929952771345444,0.832953723942785,0.960102087585132,1,1
mean,0.433158975319737,0.466240129488328,0.575117305378257,0.388547779491959,0.325999804705866
Std Dev,0.195940758555456,0.14961772396793,0.15679728867404,0.139123016241248,0.148778258491253

Left Forehead_Thomas_Thomas_Guinee3
min,0,0.0563292502404152,0.0296481662471879,0.0268020662794416,0
Q1,0.217796837981491,0.176679347767319,0.187273441201959,0.136302294080832,0.105172822154594
Q2,0.265966418489789,0.248117719535308,0.282330162347375,0.159826454202047,0.140522264608346
Q3,0.40598363359113,0.332544136545918,0.39656029798563,0.203941245323068,0.168236121111156
max,0.857305996592373,0.606644241320931,0.566724011506924,0.386242462420233,0.550653930331506
mean,0.333129099613772,0.257245397393427,0.29496279460322,0.173877892560864,0.146815852020208
Std Dev,0.202424897086365,0.118436345030567,0.132113946235055,0.0641032231186219,0.0801400591543659

Right Forehead_Thomas_Thomas_Guinee3
min,0.00744364253182013,0.0662019379172136,0.0685101549754688,0.196202424252235,0.179905077626018
Q1,0.285474581463852,0.264526603382357,0.260347513874761,0.272658526318738,0.25396338851714
Q2,0.489362204809565,0.368906931820182,0.37410669652428,0.300184261676378,0.281992955510573
Q3,0.677550320120115,0.599320970992779,0.546217445960463,0.364112829681307,0.316912311529408
max,0.936929149001644,1,0.855603249682183,0.62203985482476,0.530175806411038
mean,0.485793187168735,0.439513352103002,0.410140848001465,0.334040894921067,0.29034739027408
Std Dev,0.225394961072453,0.243345792855722,0.202976689222362,0.096545307286376,0.0617421266066959

Right Ear_Thomas_Thomas_Guinee3
min,0.183570116919451,0.13725269646647,0.285711967328963,0.22117850898092,0.125550299354628
Q1,0.358924460395473,0.355793215591997,0.431276259602027,0.294827754653224,0.265532540973512
Q2,0.48187992037628,0.457811740662594,0.521537609750371,0.333019325031685,0.296833465501091
Q3,0.647163422004882,0.552146908285637,0.64171461965808,0.380126762246241,0.329686737750614
max,0.980749156015344,0.903863218798926,0.931475209294876,0.966070881506138,0.940431487309018
mean,0.502534419938485,0.472877861876427,0.549035025447476,0.369374923273799,0.323539536289661
Std Dev,0.195414850133309,0.15327505247823,0.153983576061748,0.135746842160638,0.131204195718116

Left Ear_Thomas_Thomas_Guinee4
min,0.110674466993978,0.157955501362044,0.26261537237768,0.207028641554613,0.097764734375691
Q1,0.279297888675174,0.349774265142267,0.479034372995148,0.27762660140474,0.164646103769584
Q2,0.348409751137684,0.465655827482564,0.586885661509944,0.308650655188025,0.203921826785864
Q3,0.454966184838444,0.602391853898174,0.722557711952237,0.341446281665383,0.237056661164564
max,0.719709101617953,0.888838188399964,1,0.673439086907048,0.553972703014527
mean,0.369190333413297,0.482493456110821,0.620796758031478,0.324995127187531,0.218445188279726
Std Dev,0.138847505364722,0.168514833996298,0.185907099572164,0.0925706191153818,0.0944082356288192

Left Forehead_Thomas_Thomas_Guinee4
min,0.0977807243955524,0.0593406973428248,0.0594859935007031,0.0362073620059427,0.0529697297743458
Q1,0.224263379063554,0.16637428359295,0.214752426221502,0.133387343243397,0.111534704025063
Q2,0.302276156982545,0.257210633402224,0.294783428524384,0.168488360258786,0.125164709580877
Q3,0.400198424027541,0.337951354921085,0.357568452495529,0.203269129332582,0.14802711464165
