,delta ,theta ,alpha ,beta ,gamma

Left Ear_Thomas_Thomas_Guinee1
min,-0.34901568,-0.32137284,0.03498587,0.01702174,-0.3999473
Q1,0.135690557,-0.0751372355,0.485623915,0.112633615,-0.170104605
Q2,0.5422217,0.07389381,0.5930679,0.16144857,-0.10503866
Q3,0.91860947,0.225068835,0.76323524,0.22882762,-0.0125346035
max,1.7593524,0.7827456,1.3203502,0.35286698,0.104154356
mean,0.530008355491525,0.124810599457627,0.627511457627119,0.172768819491525,-0.110777049525424
Std Dev,0.487121176857994,0.247873019951188,0.210936341920621,0.0781371033609907,0.124645757753742

Left Forehead_Thomas_Thomas_Guinee1
min,-0.5736635,-0.7300706,-0.24724601,-0.5878744,-1.141772
Q1,-0.281974275,-0.40073796,-0.07817485,-0.41595775,-0.9208413
Q2,-0.17557685,-0.29165602,0.015976999,-0.3580881,-0.8548112
Q3,0.0013470075,-0.1932853,0.14409165,-0.29031855,-0.7992594
max,0.66030556,0.4467267,0.5606623,-0.1129702,-0.7340136
mean,-0.132114121983051,-0.282712564016949,0.0370229114067797,-0.355587455932203,-0.86292523220339
Std Dev,0.252821609026012,0.204868198791562,0.156568401809671,0.0952327952849993,0.0834371189262773

Right Forehead_Thomas_Thomas_Guinee1
min,-0.49655432,-0.6731772,-0.3926881,-0.49427712,-0.8481752
Q1,-0.189795165,-0.36958988,-0.07598131,-0.313214075,-0.71332455
Q2,-0.012574149,-0.21698326,0.09667226,-0.25521868,-0.6082704
Q3,0.229460465,-0.071758235,0.235522945,-0.18813666,-0.5264696
max,1.2658328,0.32884088,0.4748343,-0.02319108,-0.3674784
mean,0.0449992140847458,-0.217618006271186,0.0853439453728814,-0.255936652372881,-0.614788674576271
Std Dev,0.357433442169353,0.22702435007574,0.211955654882134,0.0989810337331069,0.119991488098443

Right Ear_Thomas_Thomas_Guinee1
min,-0.37585306,-0.19412899,0.1329259,-0.20828363,-0.7359013
Q1,0.106240223,-0.035693366,0.37113795,-0.1066450075,-0.46544635
Q2,0.45419404,0.07973117,0.6017963,-0.05739319,-0.4199915
Q3,0.774644045,0.22024916,0.7000018,0.0107499615,-0.37678815
max,1.6080966,0.616734,1.0712422,0.1335507,-0.2002488
mean,0.46687724759322,0.117418982661017,0.573704972881356,-0.0479438336118644,-0.419461788135593
Std Dev,0.451594285282357,0.213018489528614,0.220772613522031,0.0808062846824699,0.0950990054800351

Left Ear_Thomas_Thomas_Guinee2
min,-0.33110514,-0.19609939,0.253361,-0.1890496,-0.6814305
Q1,0.13236146,0.0323131125,0.5202291,-0.07177785,-0.50406316
Q2,0.39222965,0.1920194,0.6313928,0.014782076,-0.40526316
Q3,0.77643447,0.250679315,0.78603565,0.063204643,-0.32281959
max,1.5468228,0.77560097,1.0940344,0.14644106,-0.03821555
mean,0.456034101355932,0.169505145864407,0.637224345762712,-0.00139069426949152,-0.398122894237288
Std Dev,0.441876717269329,0.171968891820572,0.197906623102069,0.0850784555229686,0.131369027339806

Left Forehead_Thomas_Thomas_Guinee2
min,-0.764768,-0.70198876,-0.41665033,-0.665195,-1.1477722
Q1,-0.38481158,-0.44784235,-0.12926092,-0.496545865,-0.92433925
Q2,-0.23375472,-0.3245832,-0.013411299,-0.42325512,-0.8674027
Q3,0.010875879,-0.181221555,0.140289495,-0.33824845,-0.80611895
max,0.54984915,0.24834889,0.6059787,-0.09702674,-0.6162562
mean,-0.191547304254237,-0.293065485847458,0.0272040419983051,-0.425252480169492,-0.861243957627119
Std Dev,0.29763536755244,0.210337023047742,0.237923184093077,0.112836930142825,0.100807518333719

Right Forehead_Thomas_Thomas_Guinee2
min,-0.79458094,-0.62611806,-0.32522693,-0.4304088,-0.763695
Q1,-0.146329265,-0.424489005,-0.016084374,-0.3105099,-0.56977495
Q2,0.013279106,-0.2438497,0.13351859,-0.247451,-0.5034306
Q3,0.16604186,-0.045585664,0.19370367,-0.20863345,-0.4767315
max,1.164382,0.62801576,0.68900925,0.126745,-0.3565023
mean,0.0342325943101695,-0.214847495474576,0.111971853050847,-0.245474157627119,-0.521350566101695
Std Dev,0.336793124546176,0.266720303062921,0.218300192424253,0.0991985434562027,0.0955175176284319

Right Ear_Thomas_Thomas_Guinee2
min,-0.26416814,-0.32006645,0.1704836,-0.26437488,-0.8003854
Q1,0.179642395,0.069448363,0.5483387,-0.17054478,-0.59991385
Q2,0.52102125,0.21671212,0.6793473,-0.111316614,-0.5503001
Q3,0.8105247,0.29699308,0.8644754,-0.074450365,-0.5020102
max,1.5446789,0.8105902,1.1854489,0.04143464,-0.2007301
mean,0.497790197966102,0.180986555152542,0.697547157627119,-0.116135478830508,-0.547701883050847
Std Dev,0.422593340989514,0.205477532442161,0.232863992024228,0.0720771159234671,0.109918151880349

Left Ear_Thomas_Thomas_Guinee3
min,-0.6458957,-0.31046447,0.02702344,-0.27745658,-0.646746
Q1,-0.122302435,-0.02323344,0.44169344,-0.100931105,-0.51340265
Q2,0.17636086,0.12261607,0.598587,-0.03893105,-0.4647161
Q3,0.47934279,0.322715435,0.821888275,0.033110307,-0.39969155
max,1.5741098,0.8644463,1.3492984,1.0768927,1.2754445
mean,0.260319430169492,0.162449289830508,0.641182673559322,0.0116893075152542,-0.364240798305085
Std Dev,0.518172899313183,0.286412056935334,0.288402635909083,0.242364495380779,0.361942807819339

Left Forehead_Thomas_Thomas_Guinee3
min,-0.8851862,-0.62223995,-0.36211744,-0.61850345,-1.1573223
Q1,-0.309214055,-0.391854685,-0.0721918605,-0.42774445,-0.90146135
Q2,-0.18182774,-0.25510076,0.10264923,-0.3867633,-0.8154644
Q3,0.18845319,-0.09348392,0.31275664,-0.309911465,-0.74804305
max,1.3819926,0.4312238,0.6257446,0.007673243,0.1822903
mean,-0.00421343728813559,-0.237627716559322,0.125884864186441,-0.362284462067797,-0.800153569491525
Std Dev,0.535320453945919,0.226721783332158,0.24300171678191,0.111673436525307,0.194962075260777

Right Forehead_Thomas_Thomas_Guinee3
min,-0.8655012,-0.60334074,-0.29063725,-0.32339317,-0.7196552
Q1,-0.13023765,-0.22368936,0.06221579,-0.190199935,-0.5394886
Q2,0.40895104,-0.023874901,0.27145696,-0.14224769,-0.4712992
Q3,0.906621775,0.41720492,0.58802617,-0.030878518,-0.38634855
max,1.5925591,1.1842217,1.1570901,0.41845298,0.1324718
mean,0.399512635084746,0.111286425677966,0.337735811864407,-0.0832664656610169,-0.450974808474576
Std Dev,0.596065674801599,0.465834977501103,0.373341992676432,0.168190392316316,0.150204195770167

Right Ear_Thomas_Thomas_Guinee3
min,-0.39972794,-0.46732882,0.1088695,-0.27988264,-0.8518877
Q1,0.06400339,-0.048978387,0.3766109,-0.151579195,-0.51134355
Q2,0.38916385,0.14631489,0.5426317,-0.08504613,-0.4351957
Q3,0.82626245,0.326899975,0.7636774,-0.00298084305,-0.35527135
max,1.7084428,1.0001878,1.296644,1.0177852,1.1305282
mean,0.443785471355932,0.175155849830508,0.593208640677966,-0.0217114894762712,-0.370226057627119
Std Dev,0.516782114190751,0.293413252741172,0.28322727770654,0.236482904041889,0.319189211363736

Left Ear_Thomas_Thomas_Guinee4
min,-0.5925033,-0.4276976,0.06638714,-0.30453295,-0.9194835
Q1,-0.1465721525,-0.0605004175,0.4644540375,-0.1815451125,-0.756776725
Q2,0.0361968355,0.161330765,0.662828615,-0.12749849,-0.66122805
Q3,0.3179894375,0.4230834875,0.912374875,-0.0703656325,-0.580618725
max,1.0181123,0.9714255,1.422684,0.50799495,0.1903641
mean,0.0911518874583333,0.193562907833333,0.725202459,-0.0990249863666667,-0.625896098333333
Std Dev,0.367187587450715,0.322586649154892,0.341945310433809,0.161266136942291,0.229673221284368

Left Forehead_Thomas_Thomas_Guinee4
min,-0.6266013,-0.61647516,-0.3072357,-0.6021186,-1.0284593
Q1,-0.2921130375,-0.41158159,-0.02164882,-0.43282255,-0.885984375
Q2,-0.085805235,-0.237694265,0.12555495,-0.3716735,-0.85282575
Q3,0.17315398,-0.0831329235,0.2410376,-0.31108235,-0.79720685
max,1.2093836,0.7803242,0.5929495,0.1122728,0.3980041
mean,0.01879806915,-0.18480144235,0.1220876896345,-0.357183798333333,-0.80048858
Std Dev,0.445438301985003,0.300568493290509,0.212300242601143,0.128772634280575,0.252896831130625

Right Forehead_Thomas_Thomas_Guinee4
min,-0.55762786,-0.63494784,-0.2918902,-0.44066656,-0.8779444
Q1,-0.05634955475,-0.3084201925,-0.003688353,-0.3098865275,-0.72735665
Q2,0.16091808,-0.124448375,0.164400505,-0.23283129,-0.65559175
Q3,0.474573965,0.161147835,0.4178329725,-0.14976694,-0.5592682
max,1.3655736,0.7917244,0.9455594,0.20795898,-0.1286687
mean,0.24719473305,-0.0370044926666667,0.2220201321,-0.210007055,-0.634279186666667
Std Dev,0.442587303545604,0.333797310619251,0.307364708292246,0.130429918084868,0.154783667755516

Right Ear_Thomas_Thomas_Guinee4
