,delta ,theta ,alpha ,beta ,gamma

Left Ear_Thomas_Thomas_Maghreb1
min,0.13725117321813,0.160997333785635,0.241588038008447,0.197421033434137,0.128675449693005
Q1,0.336638314362168,0.336944973523912,0.432524843400992,0.316500124575007,0.204657934554061
Q2,0.464975950994183,0.424801063716552,0.488790258816791,0.377481926066845,0.238609172231283
Q3,0.59335838691765,0.498071797405785,0.591665506260606,0.403834695168654,0.27063098306375
max,0.895406200608593,0.84829261897365,0.847068108898834,0.517837029498411,0.344584568373224
mean,0.485136527613892,0.432467092593824,0.508301219024352,0.372351998319916,0.237793679449935
Std Dev,0.198558092039185,0.135688533722696,0.123993954077055,0.0696488369043368,0.0458633597623251

Left Forehead_Thomas_Thomas_Maghreb1
min,0.0314443079160073,0,0.012485332480818,0,0.0513072584756856
Q1,0.13233270112357,0.206626732585016,0.131642376311694,0.167774557244063,0.0861312211872818
Q2,0.18912451564297,0.259261179105395,0.193016576214064,0.216940709686921,0.104136506643784
Q3,0.249753579868569,0.301730733118086,0.241215647487998,0.253245218510368,0.131630151846137
max,0.531040452135051,0.365859163997712,0.473264526288338,0.331085528659905,0.185141465845082
mean,0.203239883540613,0.244825929218074,0.19365969176787,0.206875615308676,0.109319918878297
Std Dev,0.104960072538316,0.0751306135140505,0.0881843425753646,0.0701966802526664,0.0339137339975897

Right Forehead_Thomas_Thomas_Maghreb1
min,0.19768262935391,0.20545206655411,0.0793027313014741,0.192943182184085,0.164846513422439
Q1,0.316584776567587,0.303582955958569,0.24449191653716,0.291960075557909,0.219172930837868
Q2,0.40058004003667,0.365164244343273,0.30922259245642,0.34784367459847,0.243982684035581
Q3,0.492567244710447,0.443108151727587,0.347276291557261,0.393332633478688,0.271620249634108
max,0.844219781875508,0.789805040105714,0.653850287146848,0.568151033735017,0.330760000500991
mean,0.427004990551834,0.393888506774828,0.303795751062987,0.347403604751662,0.246357216892269
Std Dev,0.146041877808051,0.125969454992265,0.110942380368136,0.081589985202775,0.0375052913144477

Right Ear_Thomas_Thomas_Maghreb1
min,0.104433135309484,0.238562260562094,0.228633407052729,0.262332331806586,0.119671966888152
Q1,0.283785704621668,0.348774887047183,0.394320877420948,0.326333797146493,0.19588287621456
Q2,0.388141915893938,0.42394856309132,0.482950425416311,0.361273991905792,0.232014150861262
Q3,0.55456085052504,0.456543687060336,0.580644074787142,0.406643641844745,0.261994728290206
max,0.848904558092023,0.825891442412452,0.958805460184133,0.511999713899773,0.333975202771581
mean,0.423463166105012,0.414084304039543,0.499993929853316,0.363395520160729,0.231312444014403
Std Dev,0.181726319817517,0.106627296335187,0.156722854714538,0.0538584894306059,0.0464457730022306

Left Ear_Thomas_Thomas_Maghreb2
min,0.180195813623605,0.175875995503522,0.35597221980411,0.28692064044222,0.0948262813230199
Q1,0.347531901125322,0.362467459809912,0.455176782881684,0.376541477142862,0.221847391073377
Q2,0.53350958570021,0.445031348138712,0.539010937728041,0.437839205602075,0.242150362409046
Q3,0.713697713890176,0.581614608708595,0.634075207269849,0.491172118846668,0.307462728855959
max,1,0.885981043137981,0.951820699835957,0.76731091123978,0.612159658238509
mean,0.545155642935564,0.472074574970702,0.561935858718239,0.456986649804262,0.276773473559148
Std Dev,0.232994971392134,0.164166796614125,0.139236480399602,0.106560350298884,0.108486572554101

Left Forehead_Thomas_Thomas_Maghreb2
min,0.0804370581015518,0.0650066071232318,0.018030656146424,0.0623714594437093,0.0248096386418131
Q1,0.236323360889508,0.233526775940206,0.211225101004808,0.197154925912182,0.103174198895315
Q2,0.321837996070025,0.328813482685183,0.29791508027814,0.25108048363607,0.137596184952487
Q3,0.386501895714007,0.384308731354456,0.362583352606948,0.307286912075911,0.153632063555003
max,0.54525158564161,0.565404453728936,0.536814384277305,0.554902943665176,0.360941890832198
mean,0.313411516404617,0.314768956168837,0.285082834235984,0.260033530272228,0.148035453745074
Std Dev,0.105137584644015,0.100466319274418,0.115718316389549,0.0940792163685622,0.0724447626968607

Right Forehead_Thomas_Thomas_Maghreb2
min,0.481202781149698,0.43015556811308,0.346988945059536,0.27363894547257,0.22976976402401
Q1,0.691034122125767,0.678892599416219,0.567202274662079,0.482425336814395,0.284082633294955
Q2,0.778308365768401,0.781868011571768,0.71785596866983,0.58172224022812,0.307445927323904
Q3,0.843972197189944,0.831818771845261,0.826303984470976,0.763376835171958,0.334000943482396
max,0.911437244800728,1,0.92004256608397,0.967646260823113,0.600189013417093
mean,0.759459373912602,0.750753561553164,0.692935759998369,0.622809713325698,0.320846429748315
Std Dev,0.100853159911339,0.125213082261732,0.157664051335003,0.17213391107068,0.0715366172416584

Right Ear_Thomas_Thomas_Maghreb2
min,0.149508731857704,0.237105093499231,0.294064244812818,0.149964006532798,0.116221100219306
Q1,0.360709019148384,0.372930085213284,0.418083412093461,0.358016896540985,0.197265909599815
Q2,0.496655711982846,0.448949679422554,0.518164018936676,0.404931566884374,0.239523977466396
Q3,0.67012889888239,0.569107999421931,0.644082681086549,0.473594446857939,0.260798650134366
max,0.988310106931822,0.871328243785972,1,0.780330424647693,0.585690104600229
mean,0.522369680545627,0.479314314944468,0.550948625963232,0.431252980053596,0.256218436771243
Std Dev,0.209910384470202,0.155820698385411,0.171448033254344,0.110967011232868,0.0983067967166597

Left Ear_Thomas_Thomas_Maghreb3
min,0.157041964562359,0.174660622324375,0.246404034813862,0.326064562052869,0.210932944016379
Q1,0.301739312680921,0.357155112061483,0.40184915773737,0.40156240877916,0.262279563899434
Q2,0.466745618386627,0.471813769989036,0.530304526414457,0.444121411672361,0.284614936378708
Q3,0.612233811933594,0.531259394706167,0.641578597494782,0.476735927643036,0.324821575366632
max,0.932622335219414,0.650302781049369,0.778956885609064,0.982327088835176,1
mean,0.483143622968,0.449899335480035,0.523455434165364,0.474207395988112,0.327922404963686
Std Dev,0.211389498540815,0.107414267332222,0.144374690709829,0.136865136070485,0.152639036124023

Left Forehead_Thomas_Thomas_Maghreb3
min,0,0.0240937726889997,0,0.032998619381654,0
Q1,0.146688999448509,0.211946076874549,0.13339650061884,0.13914371046657,0.0816084778697857
