,delta ,theta ,alpha ,beta ,gamma

Left Ear_Thomas_Thomas_Maghreb1
min,-0.34683606,-0.487387,0.1048212,-0.3461646,-0.7599058
Q1,0.19668052,-0.08074702,0.4366772,-0.16569395,-0.5609222
Q2,0.5465207,0.12230088,0.5344688,-0.07327281,-0.4720104
Q3,0.896483,0.29163995,0.7132702,-0.033333797,-0.3881514
max,1.719846,1.10105,1.1571704,0.13944276,-0.1944811
mean,0.601477140983607,0.140018161311475,0.568379649180328,-0.0810474863606557,-0.474146019672131
Std Dev,0.541256645224186,0.313595469204939,0.215506578417917,0.105556489787111,0.120107370143143

Left Forehead_Thomas_Thomas_Maghreb1
min,-0.6352588,-0.8594747,-0.2933687,-0.6453666,-0.9625183
Q1,-0.3602435,-0.38193098,-0.08626887,-0.3910954,-0.871321
Q2,-0.20543265,-0.2602853,0.020402007,-0.3165815,-0.8241686
Q3,-0.040161703,-0.16213213,0.10417397,-0.2615601,-0.752168
max,0.7266083,-0.01392222,0.50748444,-0.143589,-0.6120321
mean,-0.166955060918033,-0.293647212295082,0.0215197682131148,-0.331835681967213,-0.810594234426229
Std Dev,0.286114437146005,0.17363751637809,0.153268004717716,0.106386775307633,0.0888135850337471

Right Forehead_Thomas_Thomas_Maghreb1
min,-0.18210378,-0.3846458,-0.17723732,-0.35295102,-0.6651807
Q1,0.14201586,-0.15785138,0.10986826,-0.20288569,-0.5229102
Q2,0.37098157,-0.015528278,0.22237283,-0.118191145,-0.4579382
Q3,0.6217328,0.16461116,0.28851172,-0.049250226,-0.3855607
max,1.5803151,0.9658769,0.8213499,0.21569629,-0.230685
mean,0.443014293114754,0.0508575713245902,0.21294075704918,-0.118858094088525,-0.451719752459016
Std Dev,0.39810080784331,0.291133298149734,0.192822407936264,0.123653930526024,0.0982191869408393

Right Ear_Thomas_Thomas_Maghreb1
min,-0.43629593,-0.30812344,0.08230552,-0.2477881,-0.7834842
Q1,0.05260769,-0.05340641,0.37027714,-0.1507905,-0.5839024
Q2,0.33707604,0.12033063,0.52431893,-0.09783679,-0.4892815
Q3,0.7907234,0.19566259,0.6941145,-0.02907669,-0.4107681
max,1.5930855,1.0492777,1.3513745,0.130596,-0.222265
mean,0.433359506455738,0.0975329266065574,0.553941239836066,-0.0946215019129508,-0.491119136065574
Std Dev,0.495374311886293,0.246430822906696,0.272390750265368,0.0816253844603252,0.121632599061044

Left Ear_Thomas_Thomas_Maghreb2
min,-0.22977172,-0.4530003,0.3036256,-0.21052322,-0.8485503
Q1,0.22637574,-0.02176093,0.4760472,-0.07469811,-0.5159063
Q2,0.733339,0.16905594,0.6217544,0.018201834,-0.4627367
Q3,1.2245203,0.48471925,0.78698,0.09903068,-0.2916961
max,2.004962,1.1881533,1.3392347,0.5175336,0.5062469
mean,0.765085406326531,0.231556677346939,0.661598853061224,0.0472207966734694,-0.372065391836735
Std Dev,0.635129373346938,0.379412778660361,0.241998714414935,0.161497837264455,0.284105590886519

Left Forehead_Thomas_Thomas_Maghreb2
min,-0.5017077,-0.7092352,-0.2837307,-0.55083936,-1.0319105
Q1,-0.07677162,-0.31976116,0.05204917,-0.3465679,-0.8266887
Q2,0.1563358,-0.09954005,0.20271991,-0.26484087,-0.7365441
Q3,0.33260545,0.02871735,0.31511602,-0.17965706,-0.6945492
max,0.76534694,0.44725528,0.6179367,0.19561811,-0.1516444
mean,0.133365755979592,-0.131998945102041,0.18041694,-0.251272055102041,-0.709205651020408
Std Dev,0.286598323780041,0.232191930060517,0.201123180650375,0.14258201978918,0.189718982064451

Right Forehead_Thomas_Thomas_Maghreb2
min,0.590754,0.1346759,0.2880123,-0.23065233,-0.49515912
Q1,1.1627408,0.7095425,0.6707521,0.08577447,-0.3529241
Q2,1.4006448,0.9475333,0.9325944,0.23626417,-0.2917401
Q3,1.5796402,1.0629766,1.1210815,0.5115713,-0.22219759
max,1.7635456,1.4516673,1.284003,0.8211524,0.47489807
mean,1.34926365510204,0.875623387755102,0.889282055102041,0.298534404897959,-0.256646746326531
Std Dev,0.274919256290482,0.289385213364543,0.274026588599622,0.260878030898121,0.187340722754687

Right Ear_Thomas_Thomas_Maghreb2
min,-0.31342274,-0.31149116,0.196027,-0.41808823,-0.79252136
Q1,0.26229572,0.002419683,0.4115774,-0.10277309,-0.5802805
Q2,0.6328777,0.17811176,0.5855216,-0.03167143,-0.4696147
Q3,1.1057545,0.4558147,0.8043734,0.07239079,-0.4139004
max,1.9730961,1.1542886,1.4229723,0.53726536,0.4369282
mean,0.702972331836735,0.248288744469388,0.642502591836735,0.00822006142857143,-0.425895103061224
Std Dev,0.572202267503853,0.360123760507855,0.297983714594374,0.168176364581604,0.2574467043414

Left Ear_Thomas_Thomas_Maghreb3
min,-0.29288763,-0.4558092,0.1131916,-0.15119854,-0.54448915
Q1,0.101548076,-0.03403852,0.3833616,-0.036777567,-0.41002217
Q2,0.5513447,0.23095392,0.6066223,0.027722849,-0.3515301
Q3,0.9479362,0.3683412,0.8000212,0.07715187,-0.2462366
max,1.8212948,0.64346737,1.0387903,0.84340197,1.5219266
mean,0.59604461052459,0.18030655,0.594718296721311,0.0733197467704918,-0.238116120163934
Std Dev,0.57623423775267,0.248249624630726,0.250929134703496,0.207426340194004,0.39973245102511

Left Forehead_Thomas_Thomas_Maghreb3
min,-0.72097397,-0.80379057,-0.31506872,-0.59535545,-1.0968822
Q1,-0.32110915,-0.36963722,-0.08322013,-0.43448696,-0.8831652
Q2,-0.17754427,-0.25346488,0.038785588,-0.36114764,-0.8261827
Q3,0.20785046,-0.09005273,0.14120169,-0.2905578,-0.7611365
max,1.7374786,0.71130365,0.5479483,0.19738434,0.1254412
mean,0.0281814727868852,-0.171518089819672,0.0608906094098361,-0.333629065622951,-0.775467829508197
Std Dev,0.546107434305105,0.282752568946192,0.188470485576852,0.173921682317634,0.211742945291061

Right Forehead_Thomas_Thomas_Maghreb3
min,0.006567299,-0.3761807,-0.18275043,-0.47835448,-0.7601335
Q1,0.39108196,-0.019534811,0.15542082,-0.20519048,-0.54291594
