,delta ,theta ,alpha ,beta ,gamma

Left Ear_Thomas_Thomas_Vietnam1
min,0.245320930406742,0.233869499975871,0.33421731057548,0.542518780027924,0.651056545403219
Q1,0.36673526063851,0.384863445872835,0.504009594334887,0.638590815213975,0.746164242721126
Q2,0.58001681539109,0.486330060007745,0.620911898162287,0.670764018103142,0.78118327144958
Q3,0.816396840062842,0.580468137039542,0.705184003309215,0.72425783470479,0.835134211332237
max,1,0.771538305399536,0.999734575849094,0.835140070586185,1
mean,0.593954859510275,0.491164069824436,0.607032940780755,0.67811020614976,0.794329580762292
Std Dev,0.233345690349565,0.127049476452516,0.151643322351432,0.0651102728533233,0.0758652987157439

Left Forehead_Thomas_Thomas_Vietnam1
min,0,0.0493920904613937,0,0,0.156710801328385
Q1,0.135987273027926,0.11430272970187,0.144883834002149,0.0999223079490807,0.195799493817873
Q2,0.184664579337757,0.156778060353259,0.198337895488764,0.143248038913027,0.2410670322049
Q3,0.227065211460162,0.18873491632891,0.252472538191,0.17930190202046,0.289267173740459
max,0.3681738200879,0.529100551723671,0.676982975998245,0.276062840203027,0.378245014875109
mean,0.187849021548397,0.163897326878425,0.215362427405457,0.14283218646021,0.244299744294232
Std Dev,0.0854006962530111,0.0817124219963245,0.117504969055459,0.0610946372105793,0.0563305845695379

Right Forehead_Thomas_Thomas_Vietnam1
min,0.149182359585958,0.0831746079960033,0.13723284225681,0.214635935796816,0.331660951730517
Q1,0.328716414434936,0.241374898140261,0.265739596036092,0.311550436235327,0.429014335659058
Q2,0.428270431402524,0.331057977442942,0.31164541934455,0.353028041344824,0.471213200753137
Q3,0.531509411001249,0.390175344046081,0.399343484459732,0.388712496835127,0.494016581649402
max,0.779390120250545,0.557664506782484,0.715024422938471,0.48179517487118,0.655019720740631
mean,0.427974775336838,0.327264215555261,0.33704552698042,0.351576689835475,0.463352713501955
Std Dev,0.150459504963854,0.102544219570535,0.109039432972654,0.0568617442199375,0.0553005924724471

Right Ear_Thomas_Thomas_Vietnam1
min,0.205503973095706,0.213810826953848,0.38870473114783,0.416812247502503,0.57351040214011
Q1,0.45499261820532,0.404776553822554,0.528445588099277,0.50876305472705,0.635399640483282
Q2,0.613834239720646,0.488858917004319,0.600069574669598,0.549933082198884,0.675498506539432
Q3,0.771846187010137,0.57075297821558,0.692990886802876,0.579258953505025,0.701220426928616
max,0.999633111699541,0.795039899635379,0.994540427070773,0.737559114895212,0.940333003685014
mean,0.605645157155507,0.487301453765241,0.619874191496579,0.55360990999414,0.677412012728098
Std Dev,0.20451208880191,0.124396702643785,0.134812458762085,0.0676577866022323,0.0687718037569742

Left Ear_Thomas_Thomas_Vietnam2
min,0.159449873189305,0.212140854688346,0.398208130896787,0.357314124003774,0.353730333260535
Q1,0.33375903716119,0.34435926494487,0.520564747876682,0.470018325901136,0.491234295254852
Q2,0.499377093710646,0.4082909346067,0.599177144962058,0.517804572926623,0.554995116854833
Q3,0.697895341737973,0.54913624084368,0.68184985117468,0.558524524548272,0.630714200119034
max,0.953502681601869,0.717645460389195,0.858526065444979,0.832796789707332,0.830666440807283
mean,0.536651274759773,0.440918095547062,0.618309356450709,0.524360477881745,0.567729070166265
Std Dev,0.235781072379006,0.129933169816834,0.125595028355356,0.0837130947452398,0.11721370464492

Left Forehead_Thomas_Thomas_Vietnam2
min,0.0540037555297685,0.0215389191521291,0.0660364341093835,0.0205649697606949,0.0657385984716819
Q1,0.160063571833858,0.136135711851506,0.165692626731998,0.108006982674846,0.180970584948773
Q2,0.18648994889414,0.188819097512731,0.224472488329823,0.146131160091405,0.222845948777998
Q3,0.223739056304033,0.228770673188221,0.285264358261545,0.181930381862904,0.263407063618361
max,0.483011133874066,0.345159396725858,0.43767667200896,0.277523987303936,0.39836245322678
mean,0.194618687098099,0.187586426493592,0.229938825792211,0.145880796422936,0.221109698891684
Std Dev,0.080709691612088,0.0698781996582174,0.089520114837541,0.0541271635269478,0.0714885686420262

Right Forehead_Thomas_Thomas_Vietnam2
min,0.415346829049105,0.297439698160574,0.259847522210819,0.370287128251678,0.43086745097847
Q1,0.56514450097274,0.41015859345423,0.410977668720331,0.457962319088367,0.55835069318457
Q2,0.641882584078935,0.50711441079654,0.520229929821774,0.492318002933906,0.603540964018122
Q3,0.760496401322586,0.719757820993199,0.618435999488634,0.579367658645073,0.632366844014595
max,0.95828031958156,1,0.9086743585106,1,0.848639593364577
mean,0.673608390722985,0.573766336823008,0.545143172043221,0.563332828043596,0.614062901981198
Std Dev,0.153498693953175,0.203987353927656,0.182413438939688,0.170872995854333,0.0865987203366822

Right Ear_Thomas_Thomas_Vietnam2
min,0.180030930841082,0.212963334937863,0.334579996659853,0.284103560394058,0.390886329922669
Q1,0.324487378356191,0.297897411976822,0.50464447072687,0.45022893529057,0.474891893103223
Q2,0.422061199561489,0.384751840842497,0.618708265115243,0.49274315870173,0.508810274113395
Q3,0.676245362352276,0.442033948694555,0.669548476161085,0.540187379519596,0.551848958843553
max,0.949988512613913,0.690631717098757,0.83703519516207,0.680029726118503,0.863717724192981
mean,0.502198449748036,0.389118032612792,0.598605744911423,0.490757052245335,0.523795817647213
Std Dev,0.218243460088973,0.115062330828543,0.112336263735108,0.0777457871584784,0.0885568294627836

Left Ear_Thomas_Thomas_Vietnam3
min,0.139975019027836,0.138068350810972,0.393442145518916,0.421572971067619,0.51946322773364
Q1,0.36764853747872,0.35863517516855,0.495503104297632,0.522500028695741,0.648976524044669
Q2,0.502054705859838,0.433987853911696,0.567107671119492,0.564187231169287,0.686593384693199
Q3,0.678132916571457,0.492652473240657,0.652106265666979,0.613503731981244,0.72728399969735
max,0.922275619359362,0.89975105375064,0.917702194102683,0.813585277936939,0.831346494043254
mean,0.522277862971901,0.449093732303152,0.582469700589574,0.572326445265454,0.690090228695835
Std Dev,0.200216859728103,0.143704437666768,0.118103484504265,0.073216467919905,0.0627526535486116

Left Forehead_Thomas_Thomas_Vietnam3
min,0.134367633354761,0,0.114877480593558,0.0401658960859143,0
Q1,0.245955022778795,0.175919944484837,0.211065053822454,0.0932149787498027,0.144161230995598
Q2,0.357324068373472,0.248720571776661,0.247075414503045,0.130212764906737,0.17757894586596
Q3,0.445066948246868,0.309207111362528,0.298555017942492,0.158401242138535,0.213181130953758
max,0.554285357512475,0.465264224374314,0.67537707452373,0.231898960026299,0.273842563820453
mean,0.348088315441876,0.238493601674165,0.264158467867292,0.12664067455368,0.175534939662708
Std Dev,0.118143729460475,0.0942025799648376,0.0934764764499143,0.0480920406760471,0.0550177728725379

Right Forehead_Thomas_Thomas_Vietnam3
min,0.15820036476068,0.136789583800884,0.142644426941425,0.17984176234027,0.287102887955244
Q1,0.356022743714136,0.249429032111298,0.256823006855937,0.325067126345747,0.420300521415201
Q2,0.459650347636172,0.320369061407036,0.315354234790609,0.33888921588687,0.453160851444977
Q3,0.53616333654167,0.402589939941343,0.37533018468118,0.38325371766674,0.489459094521194
max,0.686355620826086,0.571457717203213,0.556302106310858,0.505989628691791,0.577841591588264
mean,0.448655255915013,0.324437601528504,0.323186814599205,0.353590048437076,0.452152762264291
Std Dev,0.12030987008554,0.0980898391741563,0.0923403333561182,0.0572969899469648,0.0609825711252048

Right Ear_Thomas_Thomas_Vietnam3
min,0.187905124054591,0.243696021996548,0.339332876531976,0.385599422668381,0.477891853055644
Q1,0.374765077137626,0.369368436501189,0.490718251510623,0.451946507201096,0.537401732084288
Q2,0.491644812144979,0.411455445132104,0.545171464704463,0.47797853918924,0.577828293959372
Q3,0.619792547899122,0.450790103451937,0.628067617279464,0.517312939303436,0.630549763187079
max,0.882337345515505,0.630128853743361,0.819508514411085,0.712077243329608,0.716363556983526
mean,0.507517317387655,0.41494110782983,0.558746513274337,0.49098349856964,0.581758648646442
Std Dev,0.174917595551403,0.0891537838198019,0.105768764381047,0.0597931193479592,0.0582375844866278

Left Ear_Thomas_Thomas_Vietnam4
min,0.142129675328366,0.226328476116168,0.288523829977102,0.368662595608537,0.448808124002823
Q1,0.336814893101068,0.326438455403259,0.487163244991513,0.457826111416087,0.537065702192122
Q2,0.477645679435455,0.404300082260106,0.527610270277707,0.515779081031568,0.585710066341365
Q3,0.617794562445027,0.456169606095743,0.60233761550294,0.583500125660653,0.672614143737682
max,0.751027739282798,0.608104321458972,0.97113806102988,0.766599271715436,0.796169933035342
mean,0.47741952823551,0.400762478760547,0.559983312824807,0.522185243866864,0.603301834185684
Std Dev,0.163096210517235,0.0851593794746,0.127700441653632,0.0866379093072697,0.0903928588859063

