,delta ,theta ,alpha ,beta ,gamma

Left Ear_Thomas_Thomas_Vietnam1
min,-0.1464675,-0.26473057,0.1037422,0.06906065,-0.21384911
Q1,0.2047153725,0.08522948,0.441888525,0.2130226925,-0.0539967745
Q2,0.82161808,0.32039958,0.6747029,0.2612336,0.004861485
Q3,1.505331575,0.5385842625,0.842533275,0.341393025,0.09553956875
max,2.0363915,0.98142934,1.4291394,0.50754786,0.37263787
mean,0.861932945316667,0.331603408783333,0.647062548333333,0.272241717333333,0.0269571545
Std Dev,0.674936884847337,0.294463734076705,0.302002134776554,0.0975664546873024,0.127510659232767

Left Forehead_Thomas_Thomas_Vietnam1
min,-0.85604197,-0.69229555,-0.5618614,-0.743893,-1.0447211
Q1,-0.46270783,-0.5418515675,-0.273320985,-0.5941614,-0.97902275
Q2,-0.32191196,-0.443406105,-0.16686565,-0.52923865,-0.9029393
Q3,-0.1992709525,-0.3693394075,-0.0590549175,-0.47521265,-0.821926875
max,0.20887631,0.41952914,0.7863701,-0.3302183,-0.6723773
mean,-0.312701172766667,-0.426905715833333,-0.132960794166667,-0.529861796666667,-0.897505916666667
Std Dev,0.247015832203513,0.189385628129543,0.234014600520037,0.0915491041862364,0.0946776733898009

Right Forehead_Thomas_Thomas_Vietnam1
min,-0.42454192,-0.6139975,-0.28855816,-0.4222653,-0.7506735
Q1,0.09474838925,-0.24733524,-0.03263318175,-0.27704084,-0.587046725
Q2,0.38270176,-0.0394759465,0.058789615,-0.21488747,-0.51612095
Q3,0.68131364,0.097540915,0.23344289,-0.16141502,-0.47779415
max,1.3982921,0.48573208,0.86213076,-0.02193247,-0.207188
mean,0.3818465945,-0.04826878314,0.10937467612,-0.2170622915,-0.52933247
Std Dev,0.435194108037082,0.237667675978237,0.217155236524371,0.0852061978510407,0.0929465133795216

Right Ear_Thomas_Thomas_Vietnam1
min,-0.2616354,-0.31122074,0.2122555,-0.1193081,-0.34418485
Q1,0.4599939075,0.1313822725,0.490553525,0.018478364,-0.240164465
Q2,0.91943273,0.326260735,0.6331948,0.080170835,-0.172768265
Q3,1.376471775,0.51606735,0.818250325,0.1241150725,-0.1295361275
max,2.0353303,1.0358992,1.4187951,0.36132473,0.27235252
mean,0.8957463535,0.3226509882,0.672636276666667,0.08568048865,-0.169552138
Std Dev,0.591537610670256,0.28831537594733,0.268482975110981,0.10138385359927,0.115588262118823

Left Ear_Thomas_Thomas_Vietnam2
min,-0.39484382,-0.31509125,0.2311818,-0.20846486,-0.71358037
Q1,0.10933384,-0.00864743075,0.4748586,-0.039579845,-0.48247048
Q2,0.58837305,0.139527585,0.6314175,0.0320269,-0.37530443
Q3,1.162573875,0.46596604,0.796062625,0.09304494125,-0.2480395225
max,1.9019011,0.8565214,1.1479185,0.5040365,0.08803036
mean,0.696186138833333,0.21514785445,0.669519861666667,0.0418507937683333,-0.353901828166667
Std Dev,0.681981065341529,0.301147296572981,0.250126191463526,0.125442414956466,0.197007024336503

Left Forehead_Thomas_Thomas_Vietnam2
min,-0.6998397,-0.7568511,-0.4303479,-0.7130768,-1.1976227
Q1,-0.3930687375,-0.491249065,-0.2318796625,-0.582046675,-1.00394645
Q2,-0.3166322,-0.3691443,-0.11481784,-0.52491835,-0.9335644
Q3,-0.208891635,-0.2765481675,0.00625095625,-0.471273925,-0.865391275
max,0.5410356,-0.006792958,0.30978456,-0.3280288,-0.6385649
mean,-0.29312036555,-0.3720012729,-0.103931468233333,-0.525293515,-0.936482603333333
Std Dev,0.233447413372182,0.161957342733377,0.178281940590339,0.0811084828272935,0.120154466791283

Right Forehead_Thomas_Thomas_Vietnam2
min,0.3453211,-0.11739334,-0.04436742,-0.18902507,-0.5839321
Q1,0.7786009,0.143856275,0.25661271,-0.0576455325,-0.3696645425
Q2,1.0005607,0.36857166,0.4741918,-0.0061642205,-0.29371096
Q3,1.343643275,0.8614172375,0.669772075,0.124277965,-0.24526184
max,1.9157201,1.5109371,1.2477903,0.7545872,0.11823875
mean,1.092325485,0.523051438816667,0.523807254333333,0.100250088833333,-0.276026204666667
Std Dev,0.443984759991451,0.472783356682416,0.363281726603493,0.2560498010024,0.145550865886893

Right Ear_Thomas_Thomas_Vietnam2
min,-0.33531448,-0.31318498,0.1044645,-0.31816944,-0.6511304
Q1,0.08251618375,-0.1163324925,0.4431529,-0.069233855,-0.509937985
Q2,0.36474197,0.084970812,0.6703143,-0.005527133,-0.45292964
Q3,1.09995275,0.2177340775,0.771564075,0.0655670925,-0.3805923375
max,1.8917366,0.7939114,1.1051188,0.27511808,0.14358133
mean,0.596533634633333,0.0950903746166667,0.63027954,-0.0085032742,-0.427742676166667
Std Dev,0.631254688569955,0.26668101698164,0.223720971914622,0.116500522690394,0.148841959308332

Left Ear_Thomas_Thomas_Vietnam3
min,-0.45117354,-0.48676977,0.2216902,-0.11217425,-0.43502468
Q1,0.207356965,0.024439977,0.4249476,0.0390629475,-0.2173451075
Q2,0.596117865,0.19908557,0.5675502,0.101530395,-0.15412054
Q3,1.105412375,0.335053095,0.7368274,0.175430195,-0.0857297575
max,1.8115789,1.2785892,1.2657695,0.47524843,0.08917336
mean,0.6546120015,0.234096602566667,0.598144133333333,0.113726846166667,-0.14824321675
Std Dev,0.579113946335859,0.333065090075873,0.235206561632689,0.109713427491913,0.105471570771372

Left Forehead_Thomas_Thomas_Vietnam3
min,-0.46739253,-0.80677205,-0.33307952,-0.6837052,-1.3081129
Q1,-0.14463343,-0.399040785,-0.14151914,-0.6042122,-1.0658138
Q2,0.177494125,-0.230310105,-0.069803448,-0.54877175,-1.00964695
Q3,0.4312845675,-0.09011989875,0.03271969575,-0.506531875,-0.94980855
max,0.74719155,0.2715751,0.7831719,-0.396397,-0.8478518
mean,0.1507803241,-0.254013247183333,-0.0357820449833333,-0.554124456666667,-1.013082415
Std Dev,0.341722877362104,0.218334181538111,0.186161151058412,0.0720649707306512,0.0924711641192032

Right Forehead_Thomas_Thomas_Vietnam3
min,-0.39845794,-0.48973358,-0.27778083,-0.47440368,-0.8255645
Q1,0.17373013,-0.2286681,-0.05039083125,-0.2567863475,-0.601692475
Q2,0.47346608,-0.064249745,0.06617583,-0.23607422,-0.54646245
Q3,0.69477481,0.1263143375,0.1856196975,-0.1695948925,-0.48545415
max,1.129196,0.51770073,0.5460306,0.01432244,-0.3369052
mean,0.4416635087,-0.0548200523333333,0.0817746429666667,-0.2140453135,-0.548156796666667
Std Dev,0.347988295006768,0.227343717775971,0.18389848868451,0.0858584049551257,0.102496503375268

Right Ear_Thomas_Thomas_Vietnam3
min,-0.3125389,-0.24195555,0.11393,-0.1660799,-0.5048958
Q1,0.2279410825,0.049316555,0.415418425,-0.0666601075,-0.404874525
Q2,0.56600794,0.146862,0.5238636,-0.027651623,-0.33692755
Q3,0.93666674,0.2380282975,0.688953725,0.03129019675,-0.2483159
max,1.6960601,0.65368336,1.0702139,0.32314065,-0.1040843
mean,0.611918105416667,0.154940752328333,0.550898708333333,-0.00816394886666667,-0.330321603333333
Std Dev,0.505937507864802,0.206632540516277,0.210641603866528,0.0895988054391537,0.0978828649688398

Left Ear_Thomas_Thomas_Vietnam4
min,-0.44494134,-0.28220847,0.01274229,-0.1914594,-0.5537783
Q1,0.1181727,-0.050182655,0.408338525,-0.057849637,-0.4054393075
Q2,0.52551638,0.13027795,0.488889965,0.0289917405,-0.323680255
Q3,0.9308877,0.25049642,0.63771167,0.130470385,-0.17761616
max,1.3162558,0.6026369,1.3721886,0.40484083,0.030050328
mean,0.5248622527,0.122078814,0.553361831,0.0385912486666667,-0.29411287765
Std Dev,0.471744938130218,0.197374673016603,0.254319183946193,0.129825191666339,0.151927867174988

Left Forehead_Thomas_Thomas_Vietnam4
min,-0.8050549,-0.75067365,-0.38157487,-0.6842303,-1.1313696
Q1,-0.4347380725,-0.544324545,-0.2051511375,-0.577759175,-1.01263015
Q2,-0.315527135,-0.4552795,-0.090289535,-0.54618345,-0.95671835
Q3,-0.1199905925,-0.33355739,0.01013153675,-0.492004875,-0.92527815
max,0.642286,0.08808066,0.699016,-0.3834353,-0.7909097
mean,-0.260631668333333,-0.426665367666667,-0.0601170348166667,-0.53987483,-0.970388935
Std Dev,0.291453220898011,0.162890400713886,0.211873419591264,0.0643102484133138,0.0676174879010759

Right Forehead_Thomas_Thomas_Vietnam4
min,-0.5355593,-0.6108757,-0.3224619,-0.536345,-0.898183
Q1,-0.262973985,-0.3714874625,-0.134892685,-0.3357523,-0.656352075
