,delta ,theta ,alpha ,beta ,gamma

Left Ear_Tristan_Tristan_Chine1
min,0.320558320712826,0.379051794872785,0.455888647136917,0.357886962410631,0.212666303417105
Q1,0.575768575614708,0.589912153532329,0.666022628624753,0.40797850720457,0.279817442726611
Q2,0.700188664998771,0.655171168002373,0.764559804451184,0.456591372324795,0.312627185202268
Q3,0.78044697934139,0.800517227266656,0.805375543097307,0.487079342836321,0.367364138820472
max,0.95393900219367,0.946451147956097,0.998646546564382,0.600843233515254,0.502124303435844
mean,0.66753523893329,0.682935514054668,0.740416466326278,0.454499572060936,0.329192284425162
Std Dev,0.156847147368725,0.142688302923554,0.114689319661081,0.0560664844867335,0.0644387546391602

Left Forehead_Tristan_Tristan_Chine1
min,0.0987782683178728,0.11618691791973,0.0774827553157477,0.190201657672182,0.1972077135649
Q1,0.367473339251386,0.253586946122712,0.199935433567423,0.285078576567161,0.262847049480121
Q2,0.478543473101172,0.368953794922538,0.245163268600271,0.322000548339399,0.292716180085542
Q3,0.576476000384448,0.493669987388471,0.290143151728327,0.343888476202304,0.325709169711545
max,0.880967686146602,0.647508552268222,0.561340967131966,0.465048588963381,0.476310006827742
mean,0.473836994130236,0.371765780750599,0.260188229434615,0.316894703603808,0.301919968630874
Std Dev,0.168550761782337,0.141764904711637,0.09734967058439,0.0501515308435891,0.0602319890623855

Right Forehead_Tristan_Tristan_Chine1
min,0.064524100127921,0.0108297146415214,0,0.111333894170496,0.0283111751604398
Q1,0.199225159824445,0.13158622100009,0.147483218306536,0.151256880604954,0.0917302114121517
Q2,0.252147854672107,0.203356971450873,0.202901423015412,0.179865094447946,0.11241420363717
Q3,0.363605785356431,0.28057101515915,0.292529815895481,0.200371734275665,0.15017846882678
max,0.725397903950409,0.675377431377969,0.483449557431484,0.299636783731661,0.336819768473363
mean,0.273780090730282,0.211672971815812,0.223727905507618,0.178925792963603,0.131277484884416
Std Dev,0.125718172032648,0.117146838395957,0.107435273243329,0.0428784070458506,0.064641598507121

Right Ear_Tristan_Tristan_Chine1
min,0.251007456634745,0.352319410439253,0.592128365318447,0.397404367124944,0.270269990488312
Q1,0.552187389071435,0.53978212490529,0.718334853075219,0.452659386914372,0.393083269433449
Q2,0.709410185877335,0.70551232616423,0.776895341588069,0.481028197299077,0.434419936454247
Q3,0.790235410235051,0.767152719905953,0.811379986830879,0.515376384615565,0.469534920732911
max,0.902380871888569,1,1,0.614660064722796,0.560079699301298
mean,0.650713750793424,0.671877702013628,0.763984641567928,0.487575416240376,0.433602813863036
Std Dev,0.177896498372678,0.152534315907178,0.0865492830683128,0.0496783966735605,0.0592682174113515

Left Ear_Tristan_Tristan_Chine2
min,0.386036331414495,0.421485290908761,0.569799984423238,0.361135821794382,0.243328912478869
Q1,0.617470303449565,0.655188028534985,0.673257754328864,0.486437792769887,0.356093410020247
Q2,0.718954739818251,0.740330962178767,0.743893900559803,0.532809470805614,0.401515364232366
Q3,0.805924690741114,0.839256059327485,0.803326447669727,0.577757362159426,0.496112836139337
max,0.921698559844254,0.972405044685325,0.897214266891095,0.643841201847482,0.749940091024467
mean,0.707699026168796,0.738663490675312,0.739442130567536,0.528159631830169,0.429048585047463
Std Dev,0.126162379043597,0.129241232949358,0.0811457568260345,0.061344749248939,0.109671444472897

Left Forehead_Tristan_Tristan_Chine2
min,0.278809959399709,0.268115251796865,0.233396892507186,0.506404557309669,0.454776491199648
Q1,0.624908009180362,0.476821219736522,0.357534767207432,0.576461593980452,0.510362531852972
Q2,0.764133931927911,0.590390589851417,0.414019014318173,0.644033387776718,0.590033967939536
Q3,0.777255091730284,0.603789834698091,0.417138638690613,0.658288806143276,0.609834607855197
max,0.973367086117796,0.787750736260301,0.635602422364246,0.905424529517766,0.951698941019978
mean,0.705856054494366,0.562055912529789,0.394142809729893,0.63433492400479,0.591246528350164
Std Dev,0.137310152480175,0.112682028372604,0.0723768953800194,0.0770202031349872,0.0990856630169021

Right Forehead_Tristan_Tristan_Chine2
min,0.150562184746344,0,0.0647734247999826,0.0809747787309927,0.0559030421382589
Q1,0.237430463112659,0.157851962757797,0.179959647118779,0.175783876947015,0.114258113270392
Q2,0.318456906736396,0.237160466223258,0.22746506564467,0.20965973899982,0.164879988611363
Q3,0.410698095769079,0.306897005885169,0.274576899102416,0.244161270366474,0.223480748125847
max,1,0.863990672673546,0.556243556359604,0.894275477277893,0.853640978661116
mean,0.354004420412648,0.255739284156033,0.232927637658787,0.241008530399176,0.201289896889425
Std Dev,0.169619291599604,0.148554586016171,0.0859232663121492,0.134886517586582,0.148272887254445

Right Ear_Tristan_Tristan_Chine2
min,0.313355865612658,0.408639814791938,0.568018792402666,0.448080554338325,0.305588339613506
Q1,0.596176925796726,0.585932919433197,0.722406260257813,0.492033003470473,0.393087406428354
Q2,0.732276924357842,0.72398498009881,0.784312262858919,0.517927652006008,0.447511262071336
Q3,0.77369619253001,0.81738958220513,0.831778998648947,0.554477800456012,0.495279231665972
max,0.871871212014322,0.927931798327498,0.923368823218337,0.650971568367847,0.613858033749416
mean,0.678182650023533,0.703830266858967,0.771043105176613,0.526237301480663,0.452712960343828
Std Dev,0.136915007558629,0.14468498029425,0.0886177405211113,0.0487496524221376,0.0725142250036215

Left Ear_Tristan_Tristan_Chine3
min,0.194417638041759,0.339002487891307,0.544119043444584,0.30026042840773,0.102607504440752
Q1,0.50015132734301,0.511270460437152,0.69686857302994,0.443282683019991,0.254564219913128
Q2,0.600249388020071,0.604062052486609,0.749075218688131,0.472568004630422,0.303433565982311
Q3,0.731253674917994,0.722579839273531,0.808191740688884,0.508058213022826,0.344778572164757
max,0.899167479589842,0.948033344327099,0.942091121565955,0.837562954752626,0.63192431694625
mean,0.600828471472081,0.61625909518741,0.743307477141155,0.481331384324953,0.31072084754483
Std Dev,0.166045246674784,0.139429664566314,0.087065519084387,0.0789378319448343,0.0827729928141945

Left Forehead_Tristan_Tristan_Chine3
min,0.136630838675483,0.189291618340414,0.258042485617279,0.544099704037325,0.504240438668049
Q1,0.415524453143565,0.357487855565375,0.338806772050453,0.611788547205227,0.599848091058318
Q2,0.54717470139305,0.444808789912441,0.4155020785019,0.656986054838626,0.644301820338207
Q3,0.688790167752978,0.582170845751702,0.466501160610993,0.765324563027396,0.702852576996465
max,0.906941088017403,0.808745641072194,0.545782809621033,1,1
mean,0.545632107731305,0.467862217562214,0.406125404599795,0.702581599098901,0.67205745582891
Std Dev,0.183221822176856,0.154369389281589,0.074168225129812,0.125534200794852,0.115115982415685

Right Forehead_Tristan_Tristan_Chine3
min,0,0.0113103395874386,0.046773805505994,0.0767704215417711,0
Q1,0.187425102918658,0.179342607135079,0.194729515580496,0.146959083101539,0.0607945946893529
Q2,0.25076243940096,0.221531800039491,0.239816163095095,0.17598713980077,0.108310606937578
Q3,0.319229181192299,0.27315913998773,0.285835913753107,0.22053104561762,0.162693577358858
max,0.839240210311829,0.634673496758685,0.443973655890843,0.694587937001896,0.712036176754788
mean,0.273350892455228,0.235675729749453,0.244890790055179,0.198474251193456,0.136798645675394
Std Dev,0.155727487216256,0.102702116252092,0.0781986628507883,0.107054149664347,0.131276195841799

Right Ear_Tristan_Tristan_Chine3
min,0.243628434341395,0.259616984668034,0.579702430508261,0.37801411247519,0.246657119212854
Q1,0.497824560305535,0.499660552084772,0.707495045131711,0.454169830553753,0.313372875700342
Q2,0.578709426774958,0.570144537115352,0.764134399713217,0.483222300072878,0.352799751916316
Q3,0.683442791000071,0.695013018102032,0.820310363418651,0.510586573183391,0.38763465823964
max,0.875859296933094,0.945649973357615,0.961412529548725,0.776044617017737,0.626012675903512
mean,0.578971992680042,0.587325459999253,0.770147984802962,0.489511687331451,0.354301182660655
Std Dev,0.146529057454605,0.151642438663443,0.0814378735053977,0.0645873547888094,0.06638781515778

Left Ear_Tristan_Tristan_Chine4
min,0.310988799331911,0.37587686679206,0.51936630675338,0.405161757779272,0.262824533082509
Q1,0.464667779031485,0.511394603590995,0.662141685583423,0.439179999437601,0.348672956876116
Q2,0.608362189021088,0.568578882024274,0.756088451111551,0.471743077215092,0.400335854091854
Q3,0.726366086372465,0.660303879524251,0.841626354831517,0.518759778133443,0.470990932878372
max,0.866853730964641,0.958743274362224,0.940465697161438,0.867532683605824,0.870259532769685
mean,0.594564282747847,0.592788421367987,0.746894465165293,0.503383755804895,0.43346514892572
Std Dev,0.160267890514215,0.126081351698032,0.113459028813185,0.105950621571284,0.130435713696582

Left Forehead_Tristan_Tristan_Chine4
min,0.142015420371503,0.110586672059244,0.147612647903663,0.4592916111102,0.424471718973898
Q1,0.33904551998422,0.232883212233556,0.223030336165542,0.502424960690626,0.480185958487693
Q2,0.527119600847852,0.372106076265088,0.348542721491414,0.54920779016879,0.508091400045216
Q3,0.667695570945877,0.555004325050856,0.461099100566489,0.573489875639436,0.533923218432424
max,0.925254804791569,0.79053003044678,0.764563872013076,0.728473249707669,0.648718657446545
mean,0.506327307255027,0.392999345478493,0.358646610532483,0.546011218736432,0.508518864705235
Std Dev,0.199895624226132,0.180315888532894,0.149264590332109,0.051766984724624,0.0450361600810976

Right Forehead_Tristan_Tristan_Chine4
min,0.0336860323290804,0.0449873080345431,0.00728615915822893,0,0.0547141189175596
Q1,0.180355913144741,0.161221585095285,0.1866405430653,0.178295204607926,0.133376604285065
Q2,0.280789693340186,0.237671133345997,0.248901916546255,0.207687873028966,0.171140272538424
Q3,0.445309035719679,0.343232458811926,0.305106811174619,0.276178052129736,0.237855435867738
max,0.86879542177686,0.688583682986111,0.689387193128016,0.495236275697551,0.494041004533391
mean,0.33981562396812,0.284445084954325,0.263679137944279,0.236271642215088,0.203800332239449
Std Dev,0.216181194978126,0.173493464722292,0.121207975160368,0.10248574619445,0.111797213478167

Right Ear_Tristan_Tristan_Chine4
min,0.203696508246415,0.158040097369476,0.585953806366628,0.418223328795083,0.359317011232376
Q1,0.485992551083543,0.523323104926142,0.694983013594814,0.510318487942392,0.394045167030319
Q2,0.588090160921769,0.586496555066452,0.791000268147905,0.555159316028617,0.430992824372892
Q3,0.712462463275267,0.656140025087176,0.85498952925106,0.581641635598006,0.499358511714005
max,0.890785523369091,0.890580979684041,0.911203701365741,0.819856822490351,0.849729988354454
mean,0.592713682428807,0.597730434323035,0.771170134407145,0.558659341684048,0.467669401818495
Std Dev,0.173019081310392,0.131867816728191,0.0980605863414823,0.0814321588195082,0.115402456252545

