,delta ,theta ,alpha ,beta ,gamma

Left Ear_Tristan_Tristan_Chine1
min,0.1226715,-0.01308726,0.4580776,-0.08416712,-0.68116945
Q1,0.853422475,0.4096206275,0.930775,0.0227139605,-0.5034305375
Q2,1.20967815,0.540444175,1.15243485,0.12643996,-0.41658811
Q3,1.439484125,0.83181675,1.24425005,0.1914926,-0.27170767
max,1.9362489,1.1243678,1.6790141,0.43423232,0.08498211
mean,1.11618064166667,0.5961028495,1.098124295,0.1219766544,-0.372742797
Std Dev,0.449105016997574,0.286044619686724,0.257994175086336,0.119629898946611,0.170559640390156

Left Forehead_Tristan_Tristan_Chine1
min,-0.5123578,-0.54004765,-0.39314827,-0.44195977,-0.722086
Q1,0.2570046425,-0.2646043375,-0.1176903825,-0.239519465,-0.5483486025
Q2,0.575035,-0.033330535,-0.0159501505,-0.1607385,-0.46928953
Q3,0.855448065,0.216685725,0.0852323125,-0.1140359,-0.381962075
max,1.727308,0.52508307,0.6952931,0.14448525,0.01665557
mean,0.561558801333333,-0.0276933986666667,0.0178485710166667,-0.1716329175,-0.444928493333333
Std Dev,0.482616317893609,0.284193500254119,0.218988551258004,0.107009073633929,0.159424967971388

Right Forehead_Tristan_Tristan_Chine1
min,-0.61043876,-0.7512553,-0.5674461,-0.6102411,-1.1691296
Q1,-0.2247452825,-0.50917695,-0.2356818925,-0.525056825,-1.001269
Q2,-0.073210185,-0.365299445,-0.111018375,-0.46401505,-0.9465216
Q3,0.2459305625,-0.21050987,0.090601125,-0.420259725,-0.8465653
max,1.2818605,0.5809513,0.520076,-0.2084564,-0.352554
mean,-0.0112699718333333,-0.348628511833333,-0.0641691026666667,-0.466019251666667,-0.896593346666667
Std Dev,0.359972512951704,0.234842114944954,0.241676162850181,0.0914903002898371,0.171096537438655

Right Ear_Tristan_Tristan_Chine1
min,-0.07647552,-0.06667718,0.7645495,0.0001517592,-0.5287012
Q1,0.785901775,0.30912588,1.0484516,0.11805022375,-0.20363302
Q2,1.2360824,0.64136217,1.1801837,0.17858118,-0.0942211125
Q3,1.467511625,0.764931535,1.257757075,0.2518704225,-0.0012770585
max,1.788621,1.2317162,1.6820587,0.4637135,0.23838128
mean,1.06801518348833,0.573935456833333,1.15114101833333,0.192551079263333,-0.09638391245
Std Dev,0.509376238368241,0.305782741043736,0.194693027698728,0.105999540158326,0.156874010133375

Left Ear_Tristan_Tristan_Chine2
min,0.3101566,0.07197839,0.7143217,-0.07723498,-0.60001016
Q1,0.97282825,0.540477975,0.94705045,0.190123715,-0.301539585
Q2,1.2634116,0.71116245,1.1059468,0.28906766,-0.18131454
Q3,1.5124352,0.909475775,1.2396406,0.38497365,0.069070665
max,1.8439339,1.1763971,1.4508417,0.52597773,0.74091303
mean,1.23118278644068,0.707819700508475,1.0959325220339,0.279146228830508,-0.108438267525424
Std Dev,0.361244423857001,0.259087525532128,0.182537769479797,0.1308922116437,0.290283731197354

Left Forehead_Tristan_Tristan_Chine2
min,0.003132198,-0.23547971,-0.04241867,0.2327271,-0.04034039
Q1,0.99412485,0.18290931,0.236830075,0.38220885,0.106787455
Q2,1.3927745,0.41057974,0.36389166,0.5263878,0.3176657
Q3,1.4303447,0.43744096,0.37090927,0.5568048,0.370075
max,1.9918779,0.806224,0.8623446,1.084122,1.2749382
mean,1.22590575183051,0.353777732881356,0.319180042372881,0.505694042372881,0.320875164067797
Std Dev,0.393164169052939,0.225891592309698,0.162812173566451,0.164339162732169,0.262264768253492

Right Forehead_Tristan_Tristan_Chine2
min,-0.3640834,-0.77296543,-0.42173797,-0.6750188,-1.0960981
Q1,-0.115350922,-0.4565225,-0.16262601,-0.472723205,-0.94164105
Q2,0.11665446,-0.2975342,-0.055762343,-0.40044177,-0.8076526
Q3,0.38077135,-0.15773464,0.0502159525,-0.326825335,-0.65254525
max,2.0681367,0.9590608,0.68382645,1.0603331,1.0153936
mean,0.21843869389661,-0.260289584983051,-0.0434742610338983,-0.333552383559322,-0.711281077966102
Std Dev,0.485675870520462,0.297804649638874,0.193284800000858,0.287809385872253,0.392455913701964

Right Ear_Tristan_Tristan_Chine2
min,0.1020485,0.0462273,0.7103149,0.1082803,-0.43521887
Q1,0.9118583,0.40164353,1.05761025,0.2020623,-0.20362207
Q2,1.3015574,0.67839396,1.1968681,0.2573141,-0.059570353
Q3,1.4201544,0.86564045,1.30364475,0.3353017,0.06686424
max,1.7012618,1.0872424,1.5096765,0.5411919,0.3807244
mean,1.14666768474576,0.637990176610169,1.16701906610169,0.275044523728814,-0.0458022441694915
Std Dev,0.392032739060844,0.290047322132795,0.199346032667394,0.104017864617901,0.191934189433765

Left Ear_Tristan_Tristan_Chine3
min,-0.2385108,-0.09337337,0.6565523,-0.20712572,-0.97247845
Q1,0.6369054,0.25196907,1.0001631,0.09804301,-0.570272
Q2,0.9235191,0.43798667,1.1176022,0.16052954,-0.44092223
Q3,1.2986275,0.6755771,1.2505851,0.23625553,-0.33148825
max,1.77942,1.1275396,1.5517924,0.93932474,0.42854312
mean,0.925177206557377,0.462437857442623,1.10462763770492,0.179228094704918,-0.421633897540984
Std Dev,0.475442203325113,0.279512087233151,0.19585430309482,0.168430836088172,0.219087596702659

Left Forehead_Tristan_Tristan_Chine3
min,-0.40397343,-0.393496,0.01302171,0.3131578,0.0905832
Q1,0.3945908,-0.056316093,0.19470136,0.4575865,0.3436422
Q2,0.7715488,0.11873458,0.36722782,0.5540251,0.4613045
Q3,1.1770405,0.39410177,0.4819505,0.7851886,0.6162795
max,1.8016784,0.8483121,0.66029495,1.2859191,1.4027838
mean,0.76713184652459,0.164949362918033,0.34613494704918,0.651312996721311,0.534769470491803
Std Dev,0.524624393516199,0.309461478927121,0.166841778436993,0.267854207248988,0.304694599917778

Right Forehead_Tristan_Tristan_Chine3
min,-0.7951925,-0.7502918,-0.4622282,-0.6839897,-1.244065
Q1,-0.25853273,-0.4134406,-0.12940112,-0.5342271,-1.0831509
Q2,-0.077177085,-0.3288647,-0.02797849,-0.4722895,-0.9573832
Q3,0.118865736,-0.22536832,0.07554316,-0.3772455,-0.8134397
max,1.6078285,0.49935287,0.43127477,0.6342568,0.6405871
mean,-0.0124989077868852,-0.300510623934426,-0.016563092295082,-0.424308413114754,-0.881979668852459
Std Dev,0.445899061388933,0.205885045812694,0.17590826743643,0.228423044951062,0.34746824143243

Right Ear_Tristan_Tristan_Chine3
min,-0.09760409,-0.25251603,0.7365973,-0.041221518,-0.5912009
Q1,0.6302431,0.2286949,1.0240674,0.12127308,-0.41461438
Q2,0.8618431,0.36999285,1.1514779,0.18326277,-0.3102574
Q3,1.1617292,0.6203144,1.277846,0.24165033,-0.21805467
max,1.712681,1.1227617,1.595256,0.80806214,0.4128959
mean,0.862594912622951,0.404435130491803,1.16500548852459,0.196682529934426,-0.306283339836066
Std Dev,0.419560928858249,0.303994811117007,0.183194887352185,0.137811007723204,0.175718508884992

Left Ear_Tristan_Tristan_Chine4
min,0.09527081,-0.01945198,0.6008709,0.01670382,-0.5484082
Q1,0.53530432,0.2522179375,0.9220448,0.0892890525,-0.3211804025
Q2,0.94674872,0.36685421,1.1333785,0.15876938,-0.184436525
Q3,1.284632725,0.5507336275,1.325796425,0.25908962,0.0025767855
max,1.6868951,1.1490096,1.548136,1.0032716,1.0593804
mean,0.907240772068965,0.415386628793103,1.11269658448276,0.226281570517241,-0.0967482907241379
Std Dev,0.458899730731755,0.252752969634613,0.255226629918598,0.226068430505971,0.345243612274943

Left Forehead_Tristan_Tristan_Chine4
min,-0.3885556,-0.55127436,-0.23539074,0.1322015,-0.12055254
Q1,0.1756064375,-0.3061087325,-0.06573828825,0.224235775,0.026914628
Q2,0.714124445,-0.0270112145,0.216602425,0.324057,0.1007761125
Q3,1.116639725,0.339641545,0.46979854,0.37586805,0.16914903
max,1.8541166,0.8117956,1.152444,0.7065584,0.4729952
mean,0.65458926362069,0.0148731384827586,0.239331171896552,0.317236427586207,0.101907546822414
Std Dev,0.57236697779891,0.361475949339021,0.335771412422112,0.110455991811701,0.119203906267261

Right Forehead_Tristan_Tristan_Chine4
min,-0.6987383,-0.6827802,-0.55105585,-0.8477959,-1.099245
Q1,-0.2787741475,-0.44976748,-0.1475973025,-0.4673647475,-0.891037295
Q2,0.008800828,-0.296510475,-0.007540044,-0.40464917,-0.791082575
Q3,0.479873865,-0.084893625,0.11889313625,-0.2585106475,-0.614497625
max,1.6924548,0.60742563,0.9833337,0.20889717,0.06358684
mean,0.177811498724138,-0.202743593448276,0.0257013864655172,-0.343659552931035,-0.704636335172414
Std Dev,0.618997928071763,0.347799161653831,0.272657921921529,0.218675373941291,0.295910320338031

Right Ear_Tristan_Tristan_Chine4
min,-0.21194234,-0.45614535,0.7506598,0.04457349,-0.2930072
Q1,0.5963641625,0.276130785,0.995921525,0.2410783125,-0.2010870225
Q2,0.88870323,0.40277344,1.2119128,0.33675586,-0.10329216
Q3,1.244822075,0.542386425,1.35585695,0.3932615825,0.0776614775
max,1.7554197,1.0123659,1.482311,0.9015449,1.0050418
mean,0.901941894137931,0.42529379137931,1.16730481896552,0.344223917241379,-0.006214805
Std Dev,0.495410587673221,0.264352989783211,0.220587759665979,0.173753018755567,0.305452852849103

