,delta ,theta ,alpha ,beta ,gamma

Left Ear_Tristan_Tristan_Guinee1
min,0.277216231733871,0.423149858442134,0.520520927099877,0.406829572818788,0.373580830677837
Q1,0.453224977969297,0.541452927407635,0.610700069072273,0.508603637595708,0.463430952962719
Q2,0.581372946436552,0.593857092295329,0.665790463229747,0.549545964255238,0.518004623044666
Q3,0.650037786869059,0.655621972931168,0.726543480493901,0.628536706372929,0.582969540473609
max,0.89927184722788,0.929579737194432,0.839850300245165,0.804318842949423,0.898209863397733
mean,0.559300756359949,0.606346902071089,0.67189588414129,0.568703771978389,0.530717135257779
Std Dev,0.135752632320394,0.101637778561914,0.0781761196478837,0.0855222143775869,0.10268209449243

Left Forehead_Tristan_Tristan_Guinee1
min,0.147591625984996,0.140541010663662,0.0709006871960392,0.296721475214832,0.416617557666387
Q1,0.316224215258326,0.281034297134562,0.175731168249922,0.387226272800184,0.492861519253755
Q2,0.442122061954351,0.353318611274671,0.220183045478069,0.412978667871013,0.516908171362497
Q3,0.575632751273878,0.516451950539481,0.282460614252322,0.45041842809474,0.548721548507244
max,0.969973754421692,0.763644805262909,0.384193096245294,0.58021314266635,0.644219901340504
mean,0.465533859367536,0.398949942301074,0.231166086506159,0.419960373862351,0.521344495902816
Std Dev,0.219476291002444,0.163089803579122,0.0826175998818073,0.0526965772275304,0.0476626107282788

Right Forehead_Tristan_Tristan_Guinee1
min,0,0.0135191815396564,0.0214444403315952,0,0
Q1,0.179326978192824,0.184543072800822,0.130028561586681,0.142306850269548,0.150184600612134
Q2,0.232071189787645,0.248615539857764,0.182893462025635,0.195829566454619,0.211721857508319
Q3,0.346979752741226,0.318800085138569,0.232510428397569,0.228211734590863,0.304638585351382
max,0.624597692009284,0.496791213045969,0.409667153588229,0.697229049686622,0.582345418790068
mean,0.259220948917385,0.249307346521246,0.184199112509959,0.201059314462446,0.229665466947993
Std Dev,0.127660367451243,0.0976430973900581,0.0783746419251665,0.102161799300638,0.110250012842668

Right Ear_Tristan_Tristan_Guinee1
min,0.239843279068481,0.328243325056649,0.500096369748052,0.376905031400144,0.388710644024455
Q1,0.42328683827892,0.501107060011955,0.651792304518578,0.508386775719147,0.476454165023115
Q2,0.544931316659244,0.571816686594487,0.706415360567548,0.551767341603715,0.506892500258275
Q3,0.651839884284452,0.659960097706809,0.76465131409905,0.599305777762748,0.565933987395287
max,0.894659934850763,0.960839778888338,0.917988823940569,1,1
mean,0.533044098467093,0.58086980477395,0.711843806149768,0.571316604593192,0.559822583452493
Std Dev,0.151904714090754,0.127830345513462,0.0949850158818196,0.119756705939701,0.150460900871506

Left Ear_Tristan_Tristan_Guinee2
min,0.363880770101622,0.406414131507273,0.438756369324183,0.399384562281319,0.247378993138585
Q1,0.617595632583028,0.656495534289072,0.678110301869856,0.51578910113622,0.370770869348388
Q2,0.695544791966736,0.717882628824135,0.737917671463725,0.575036280469447,0.441907790280189
Q3,0.75591082383533,0.788236629760972,0.808288572787973,0.676746430539183,0.595878872164202
max,0.89724060307535,0.975584772401021,0.890091436966003,0.810584724892736,0.804926872413144
mean,0.675452868152277,0.715526844017993,0.736718590287425,0.587381927555352,0.480344185860763
Std Dev,0.121385055359712,0.102539215170262,0.0926496705955956,0.0991865886004612,0.140490910426224

Left Forehead_Tristan_Tristan_Guinee2
min,0.343364029483592,0.349618278174584,0.116194518745217,0.42967670034994,0.545169088883375
Q1,0.56896943565397,0.402327295904208,0.26044699074688,0.502323505311878,0.593987527472702
Q2,0.595912305215329,0.509383041368921,0.319501210669682,0.532772977683998,0.631499916687001
Q3,0.681724017585836,0.57297071234095,0.375190916819188,0.558507755806667,0.654509270075175
max,1,0.868995699998075,0.481440302407395,0.701964945279508,0.80569318740509
mean,0.638011294444215,0.509084339851805,0.306884337005112,0.536598156234055,0.626800367469997
Std Dev,0.123225124684578,0.121735797286814,0.099825327752581,0.0543593010123421,0.0530897701502879

Right Forehead_Tristan_Tristan_Guinee2
min,0.0073977090776519,0.0994792977624091,0.0821259453718226,0.0776422318610299,0.109551153608474
Q1,0.165866201832913,0.242451069337037,0.191480171877496,0.159590194224264,0.174790223088638
Q2,0.239413309877699,0.293346269574145,0.251957234399333,0.195137528997607,0.229837846461188
