,delta ,theta ,alpha ,beta ,gamma

Left Ear_Tristan_Tristan_Guinee1
min,-0.05103495,0.0258876,0.7415827,-0.08472797,-0.6118131
Q1,0.4688953,0.298069825,0.9581648,0.077428165,-0.433861045
Q2,0.8474447,0.41863713,1.0904747,0.14266138,-0.32577553
Q3,1.0502808,0.56074082,1.23638445,0.268516955,-0.1971097
max,1.7865188,1.1910409,1.508512,0.5485898,0.4272374
mean,0.782243398644068,0.447372683898305,1.10513801186441,0.173185424237288,-0.300597849491525
Std Dev,0.401013594893129,0.233840059729189,0.187754593721603,0.136262138792513,0.203366331196486

Left Forehead_Tristan_Tristan_Guinee1
min,-0.43394634,-0.6243162,-0.33826452,-0.26016268,-0.526577
Q1,0.064194725,-0.3010805,-0.086494485,-0.115961815,-0.375572535
Q2,0.43609726,-0.13477454,0.020265024,-0.074930646,-0.3279471
Q3,0.83048815,0.24054958,0.16983627,-0.0152780535,-0.26493933
max,1.9953724,0.8092711,0.41416588,0.19152325,-0.07580071
mean,0.505255764576271,-0.0297896286440678,0.0466428541525424,-0.0638067269372881,-0.319160767288136
Std Dev,0.648333479390504,0.375223956581577,0.198421640392618,0.0839612067148481,0.0943978629085224

Right Forehead_Tristan_Tristan_Guinee1
min,-0.86993235,-0.91655785,-0.45704296,-0.7329276,-1.3517061
Q1,-0.340200035,-0.52307978,-0.196257855,-0.50619077,-1.054259
Q2,-0.18439351,-0.37566698,-0.069292895,-0.42091328,-0.9323818
Q3,0.155046655,-0.214192,0.049871543,-0.369318925,-0.7483562
max,0.9751307,0.19531573,0.4753466,0.37796414,-0.1983458
mean,-0.104193057728814,-0.374075326642373,-0.0661571308135593,-0.412580747288136,-0.896843705084746
Std Dev,0.377109025452834,0.224649417262945,0.18823138215372,0.162773910578778,0.21835492095296

Right Ear_Tristan_Tristan_Guinee1
min,-0.16143474,-0.19246575,0.6925293,-0.1324066,-0.58184785
Q1,0.380457965,0.205245285,1.0568555,0.07708264,-0.40806801
Q2,0.73979604,0.36792833,1.188043,0.14620069,-0.34778357
Q3,1.0556042,0.57072163,1.32790755,0.221943455,-0.23084935
max,1.7728952,1.2629615,1.6961763,0.86036766,0.62883717
mean,0.704681169525424,0.388757019152542,1.20108042881356,0.177348438057627,-0.242953249949153
Std Dev,0.448726882400165,0.294101819746698,0.228124306333664,0.190807791926939,0.297994324619198

Left Ear_Tristan_Tristan_Guinee2
min,0.2049723,-0.01261662,0.5452098,-0.09659007,-0.8617613
Q1,0.9544466,0.56275064,1.1200631,0.08887673,-0.61737835
Q2,1.1847086,0.70398515,1.2637017,0.18327498,-0.4764886
Q3,1.36303,0.86585,1.4327106,0.34532928,-0.17154221
max,1.7805185,1.2968856,1.6291755,0.5585732,0.2424864
mean,1.12535700983607,0.698565149016393,1.26082188196721,0.202945240983607,-0.400363655409836
Std Dev,0.358571738787469,0.235914012872603,0.222515537218625,0.158033521472685,0.27824832714083

Left Forehead_Tristan_Tristan_Guinee2
min,0.1443658,-0.14328797,-0.2294829,-0.04832575,-0.27197513
Q1,0.8108047,-0.022019284,0.11696643,0.06742206,-0.1752881
Q2,0.890394,0.224286,0.2587962,0.11593706,-0.10099319
Q3,1.143882,0.37058342,0.39254546,0.15694016,-0.05542217
max,2.08407,1.051654,0.64772326,0.38550982,0.24400412
mean,1.01475451311475,0.22359877147541,0.228494414754098,0.122031698852459,-0.11030085057377
Std Dev,0.364007307897287,0.280079971360139,0.239749221881711,0.086610416639878,0.105146586977

Right Forehead_Tristan_Tristan_Guinee2
min,-0.8480795,-0.7187877,-0.31130496,-0.6092206,-1.1347353
Q1,-0.3799632,-0.3898497,-0.048670303,-0.4786533,-1.0055265
Q2,-0.16270487,-0.2727541,0.09657669,-0.4220159,-0.8965023
Q3,0.10106114,-0.15037419,0.19120397,-0.3404785,-0.7550919
max,0.98085374,0.31318817,0.91110086,0.1430292,-0.3263529
mean,-0.0783230826229508,-0.288969646885246,0.100338106918033,-0.403936281967213,-0.851451744262295
Std Dev,0.422893170763981,0.202515190880396,0.241468172254399,0.126800882328691,0.205794377721301

Right Ear_Tristan_Tristan_Guinee2
min,0.3281123,0.2509256,0.7098681,-0.16008063,-0.9185007
