,delta ,theta ,alpha ,beta ,gamma

Left Ear_Tristan_Tristan_Maghreb1
min,0.200829672046938,0.402593482303198,0.371019088891707,0.382094121671138,0.231731744279763
Q1,0.587028281674803,0.608993591833244,0.620146445016686,0.589678355256723,0.401392399343577
Q2,0.713877027198731,0.703692522042641,0.681009038536804,0.650138740649314,0.481425658122591
Q3,0.772474373843882,0.777419592906362,0.756440613874122,0.762648306944909,0.717698815654465
max,0.904466652608001,0.951888798551516,0.899141548937607,1,1
mean,0.666106871140141,0.694190318876996,0.680688993390454,0.665085856294121,0.541419290661505
Std Dev,0.159216229060092,0.119659844405854,0.107733058808593,0.135690879959578,0.196371323728328

Left Forehead_Tristan_Tristan_Maghreb1
min,0.0387380434829797,0.204895610503825,0.174801190712259,0.456420463181073,0.478199406370672
Q1,0.409220509115337,0.37542993657577,0.252099299260112,0.571040571038672,0.545672934192596
Q2,0.531237399203455,0.501203092479751,0.311869048863693,0.605556108752803,0.598712553285839
Q3,0.679321348304159,0.591267764675644,0.396810714712225,0.665324377273282,0.623595741923372
max,0.945325990056542,0.77096476456666,0.519638871368058,0.870120533341534,0.807570230492609
mean,0.532644551080487,0.490298594936381,0.327181148082012,0.632392719851009,0.610407613536475
Std Dev,0.199589331335319,0.151505421445384,0.083667806169377,0.10515566914383,0.083214677407261

Right Forehead_Tristan_Tristan_Maghreb1
min,0.08652072887969,0.125313608923404,0,0.126628100683282,0.0236780030231722
Q1,0.226982589702528,0.269548015961424,0.178155086435847,0.199186202105448,0.124979931185608
Q2,0.313297469607765,0.329722213381376,0.224664229825241,0.269874315822627,0.196951787847106
Q3,0.430295266665748,0.403841152539316,0.270599160028686,0.319134651952189,0.268769328072453
max,0.808170254013462,0.793840333354551,0.594674460859029,0.617613143429667,0.600054285039182
mean,0.335426994843177,0.347197808520347,0.239909470678585,0.27039561026595,0.219538336262638
Std Dev,0.163430440672623,0.121014488664016,0.11522562899491,0.0939407638518988,0.136392083626174

Right Ear_Tristan_Tristan_Maghreb1
min,0.205082470684726,0.429953853998088,0.300645030973558,0.365343276484384,0.20183518855985
Q1,0.530620429132038,0.578595223507842,0.64726314023759,0.509870247992428,0.363424663777282
Q2,0.69578154926331,0.669605295602531,0.719352534151701,0.616604901787252,0.434297592790997
Q3,0.766789809885666,0.762310234251881,0.767877460622095,0.711977168349657,0.663862630159866
max,0.864185363534828,0.937744569952311,0.921789863706996,0.892742477183512,0.849811598753184
mean,0.646856023600782,0.667188084821971,0.700596112839659,0.619195589578,0.500417586274237
Std Dev,0.161918759980505,0.128799467534543,0.11802383310497,0.132277011167285,0.192649918826325

Left Ear_Tristan_Tristan_Maghreb2
min,0.2563799326695,0.386462458391763,0.54121696405899,0.447580971145496,0.215880160674808
Q1,0.529633901214302,0.565883861983783,0.700036543550663,0.564331959716095,0.318801373698401
Q2,0.616160051647648,0.652554369596234,0.72735188544014,0.583783775208787,0.372338763606703
Q3,0.663003437490632,0.743486500590569,0.809483860815709,0.619197425094601,0.418044285913118
max,0.802845611483056,0.848633663305859,1,0.775878810265527,0.696412679197403
