,delta ,theta ,alpha ,beta ,gamma

Left Ear_Tristan_Tristan_Maghreb1
min,-0.16240327,-0.05810971,0.322003,-0.18944585,-0.75111353
Q1,0.967366965,0.45550656,0.93172625,0.150775845,-0.42351259
Q2,1.3384453,0.691160075,1.08068355,0.249867835,-0.26897487
Q3,1.509863675,0.874626175,1.2652975,0.43426621,0.1872494
max,1.8959887,1.308784,1.6145489,0.8232755,0.73235005
mean,1.19870036283333,0.667514321333333,1.07990026,0.2743655193,-0.15313204005
Std Dev,0.465764899294591,0.297767491947808,0.263669762208946,0.222391558253174,0.379177070949348

Left Forehead_Tristan_Tristan_Maghreb1
min,-0.63657975,-0.5500709,-0.15822774,-0.06762815,-0.2752045
Q1,0.447215095,-0.1257048245,0.0309544305,0.1202293125,-0.1449186
Q2,0.80415851,0.187275335,0.177237065,0.176798805,-0.042503405
Q3,1.237357475,0.4113967325,0.3851263525,0.274756445,0.0055440105
max,2.015517,0.85856366,0.6857404,0.6104086,0.3607838
mean,0.8082749368,0.16014004245,0.21471244725,0.220782864666667,-0.0199211938796667
Std Dev,0.583870786027622,0.377013605393598,0.204771597513243,0.172345651579664,0.160680780880882

Right Forehead_Tristan_Tristan_Maghreb1
min,-0.49679816,-0.7481067,-0.58604246,-0.60814375,-1.1528484
Q1,-0.0858965525,-0.3891866475,-0.150019295,-0.48922412,-0.9572426075
Q2,0.166605605,-0.23944619,-0.036191145,-0.37336932,-0.8182708
Q3,0.5088663625,-0.0550049455,0.076231655,-0.2926337325,-0.679596965
max,1.614287,0.91548836,0.8693852,0.19655977,-0.03991263
mean,0.231342448433333,-0.195959052266667,0.00112060568333333,-0.372514940666667,-0.774658010166667
Std Dev,0.478092988327373,0.301138455910176,0.282007347915761,0.153964900682646,0.263362031625347

Right Ear_Tristan_Tristan_Maghreb1
min,-0.1499623,0.009975196,0.149767,-0.21689977,-0.80884135
Q1,0.80235365,0.3798617525,0.998092625,0.019973765,-0.4968252025
Q2,1.2855095,0.60633573,1.1745268,0.194907305,-0.359975335
Q3,1.493234275,0.8370272975,1.29328845,0.3512183775,0.0832961
max,1.7781514,1.2735868,1.6699792,0.647485,0.44234845
mean,1.14238469,0.6003206228,1.12862166,0.199153331666667,-0.232302999833333
Std Dev,0.473670777039703,0.320510983466547,0.288855773278143,0.216796373074803,0.371991340447728

Left Ear_Tristan_Tristan_Maghreb2
min,0.0001012793,-0.09825095,0.7385514,-0.0821157,-0.78172165
Q1,0.7994677,0.34823017,1.12725215,0.109234185,-0.58298915
Q2,1.0525879,0.56390536,1.1941047,0.14111488,-0.4796128
Q3,1.1896217,0.790185385,1.39511745,0.19915634,-0.39135915
max,1.5987105,1.0518388,1.8613935,0.45595044,0.1461476
mean,0.985503163006977,0.555123454883721,1.24964869069767,0.162858178604651,-0.442521025116279
Std Dev,0.355428474785751,0.291954575112246,0.252279423134348,0.114895217133965,0.210328561583689

Left Forehead_Tristan_Tristan_Maghreb2
min,-0.5163221,-0.6978029,-0.31753796,-0.2766357,-0.5513767
Q1,-0.0473270395,-0.326359615,-0.101804055,-0.13793188,-0.41088735
