,delta ,theta ,alpha ,beta ,gamma

Left Ear_Tristan_Tristan_Vietnam1
min,0.202396117567462,0.204214792810549,0.574359190525086,0.441040571570578,0.372095763685462
Q1,0.53435168740845,0.500023248682668,0.7227852515722,0.548711838912687,0.488066967455695
Q2,0.67620292873956,0.638270199956312,0.760682498226031,0.605351866478602,0.535316639620618
Q3,0.773616983050294,0.718282381001419,0.818186290311105,0.678022339106699,0.613346142079975
max,0.894567108436462,0.816650322561726,0.96034298701709,1,1
mean,0.645261694767913,0.604884169761661,0.769455558910894,0.626379048016298,0.580608541263133
Std Dev,0.177790740579774,0.134409133892211,0.0946711482196267,0.113102663557247,0.146968837981571

Left Forehead_Tristan_Tristan_Vietnam1
min,0.107225350327793,0.0323961366590924,0.0914657369165707,0.381910739581444,0.437652095631211
Q1,0.367265214969558,0.217966039237078,0.203788181802095,0.471027543251011,0.512811116142423
Q2,0.439821603990361,0.323829314394103,0.23382753908558,0.509208116534231,0.559664496341211
Q3,0.505594580260484,0.395344479359979,0.298745200163254,0.575175466730069,0.632818208886164
max,0.649358181082369,0.553301772276771,0.38896882271014,0.712179422002624,0.765376267705084
mean,0.421693523985983,0.30694538629839,0.245740330237028,0.524057988106385,0.573236350024998
Std Dev,0.132953884930445,0.122327038038406,0.0680977622118077,0.0719508884806302,0.0847261031074738

Right Forehead_Tristan_Tristan_Vietnam1
min,0.186030549252605,0.104586361651037,0.0770042910670257,0.0655523862015111,0.0925204031229652
Q1,0.291895383384598,0.220126243462597,0.189876126143931,0.154266911319327,0.213836915824174
Q2,0.351948285366366,0.285174687572917,0.240851121057551,0.209730651812581,0.279033335628495
Q3,0.424879965732769,0.350911264511383,0.288904223432937,0.279453031248241,0.319444227065874
max,0.731271026455887,0.448570328582375,0.387257792013418,0.568228298983558,0.61739812968012
mean,0.368682121356069,0.283738360673865,0.235429977493207,0.224044946782488,0.280010628432159
Std Dev,0.115761003159853,0.0845657128045588,0.0763523647117971,0.0960986153240602,0.105658148477905

Right Ear_Tristan_Tristan_Vietnam1
min,0.239146394758602,0.293696878461143,0.545787881393728,0.483521544429577,0.462069637837924
Q1,0.533096822460397,0.495531810752333,0.737950644149554,0.599827928335677,0.580807487080635
Q2,0.700102607204343,0.603061137643633,0.797237326531497,0.656576260293109,0.630041340685614
Q3,0.807190830053796,0.718844668994361,0.835732245685505,0.737483126873696,0.687396060963195
max,0.886432767028264,0.84137708811166,1,0.826103273624109,0.842900918301453
mean,0.657307426789073,0.61629249651516,0.781334365356797,0.660256186482085,0.634407673830936
Std Dev,0.16360102823396,0.14338008172816,0.0878871248601041,0.0893342483053109,0.0897545884302127

Left Ear_Tristan_Tristan_Vietnam2
min,0.221154625865665,0.30024920855853,0.513915036874678,0.455591483635783,0.262458707790549
Q1,0.538264036489897,0.526135274205818,0.749258521207812,0.528278243256322,0.372213201530875
Q2,0.65341569576577,0.60217368768254,0.802507380397859,0.566494670794793,0.424898364315433
Q3,0.735334148137123,0.669873940959847,0.843395311998399,0.600980811974434,0.486222242455493
max,0.986418361751995,1,0.939907116280387,0.728882333892849,0.712138917352869
mean,0.636743407613695,0.600879157784531,0.788820093680029,0.569279248601181,0.439228107961638
Std Dev,0.17562452407155,0.137876726420941,0.0884117172817681,0.0523544276203877,0.104628243076691

Left Forehead_Tristan_Tristan_Vietnam2
min,0.147606876826191,0.0115457384268903,0.047262411179511,0.468219694193029,0.515474221605027
Q1,0.346713376468353,0.224464647420371,0.21887441459515,0.518832320031886,0.593252366478084
Q2,0.464921286139498,0.326083412781987,0.25851103594545,0.589828368937977,0.646912475713175
Q3,0.578462045521152,0.445065906968385,0.281885017261534,0.677430482243409,0.768221954162543
max,0.940109867025295,0.71457160671009,0.561279130985078,0.873969572309716,0.921829716352748
mean,0.474327833796217,0.338443691793987,0.258615415077311,0.608719739194246,0.683184297260095
Std Dev,0.193370660890873,0.150746987606392,0.0802432958512672,0.107591136376644,0.111090303238147

Right Forehead_Tristan_Tristan_Vietnam2
min,0.0931327990129766,0.00275466190726942,0.0853158601799361,0.0347769829653922,0.0732764614014093
Q1,0.269244900379827,0.198323146379759,0.163780266236793,0.137959042417808,0.168661482592837
Q2,0.365341549031852,0.262817271608554,0.227024948552689,0.172695295325915,0.23016892246864
Q3,0.459846871776297,0.357507262063261,0.293772948611965,0.225264652979342,0.27647637827347
max,0.787309674096632,0.672171443685232,0.584321929293619,0.41331417380707,0.675269934773787
mean,0.366051046464867,0.276564188827837,0.24181908106254,0.182026939952599,0.244059675062183
Std Dev,0.137774418624834,0.125937621952932,0.0995747851686319,0.0808290292408618,0.114124878268939

Right Ear_Tristan_Tristan_Vietnam2
min,0.195413171024528,0.348855387489308,0.639308174474243,0.515765986426753,0.464013817763066
Q1,0.530816753483538,0.546510899194578,0.754089688641569,0.58860179558751,0.519543234621264
Q2,0.654474844816276,0.618985117567017,0.81079192428062,0.638511904736752,0.549506948009675
