,delta ,theta ,alpha ,beta ,gamma

Left Ear_Tristan_Tristan_Vietnam1
min,-0.2251124,-0.30963236,0.8129969,-0.043070324,-0.614878
Q1,0.7443498,0.335966415,1.14532565,0.1174582425,-0.3977736325
Q2,1.15862035,0.6376889,1.2301783,0.201903635,-0.30931969
Q3,1.443113975,0.812314625,1.358930375,0.3102490375,-0.16324424
max,1.7963437,1.0270016,1.6772219,0.79028994,0.5605927
mean,1.068257785,0.564824248,1.24982134833333,0.233253347816667,-0.224530799833333
Std Dev,0.519230337314903,0.293346489821562,0.2119704863616,0.168626309472963,0.275133615715636

Left Forehead_Tristan_Tristan_Vietnam1
min,-0.5030546,-0.68462473,-0.26821065,-0.1312278,-0.492153
Q1,0.256380825,-0.2796204125,-0.0167185775,0.0016376626,-0.3514512475
Q2,0.46827869,-0.0485749525,0.05054011,0.058561602,-0.263739185
Q3,0.660365885,0.10750612625,0.1958919775,0.1569132275,-0.1267914775
max,1.0802214,0.45224622,0.39790437,0.3611743,0.12136438
mean,0.415336399165,-0.0854239440666667,0.0772130740633333,0.0807014788216667,-0.238331940666667
Std Dev,0.388286196990032,0.266977445503161,0.152472173916033,0.107272564643435,0.158611848699369

Right Forehead_Tristan_Tristan_Vietnam1
min,-0.27290735,-0.52707034,-0.3005901,-0.6028908,-1.1382582
Q1,0.03626642,-0.27490579,-0.0478679325,-0.4706251,-0.911147125
Q2,0.21164838,-0.13293826,0.0662660425,-0.38793345,-0.7890959
Q3,0.4246422675,0.0105311125,0.173857845,-0.2839834,-0.713444525
max,1.3194444,0.22367097,0.39407334,0.1465556,-0.1556587
mean,0.260518840166667,-0.136073028016667,0.0541279998166667,-0.366592071666667,-0.787266355
Std Dev,0.338075113037917,0.184563759114537,0.170954384595312,0.143274741176685,0.197797770056471

Right Ear_Tristan_Tristan_Vietnam1
min,-0.11778477,-0.11433867,0.7490252,0.02026514,-0.44644204
Q1,0.74068502,0.3261639,1.17928125,0.19366792,-0.2241583625
Q2,1.22841835,0.5608455,1.31202525,0.278274785,-0.131989925
Q3,1.541164975,0.8135418125,1.3982161,0.39889994,-0.02461878575
max,1.7725877,1.0809675,1.7660147,0.53102493,0.26649472
mean,1.10343683583333,0.5897227985,1.27641822,0.283761237333333,-0.123815913133333
Std Dev,0.477789882633787,0.312925487035831,0.196780930112948,0.133189653784247,0.168025445264592

Left Ear_Tristan_Tristan_Vietnam2
min,-0.17032897,-0.10003828,0.6776613,-0.02137617,-0.8201245
Q1,0.75577565,0.39295563,1.2045998,0.086993515,-0.61465815
Q2,1.0920712,0.55890865,1.323825,0.14397091,-0.516028675
Q3,1.331310575,0.706663725,1.41537385,0.19538677,-0.4012270575
max,2.0645914,1.4271603,1.6314656,0.3860769,0.02170118
mean,1.04338048768966,0.556083352413793,1.29317890689655,0.148122475172414,-0.489202619655172
Std Dev,0.512903993633592,0.300914473238894,0.197955502438867,0.0780559328713502,0.195869731427517

Left Forehead_Tristan_Tristan_Vietnam2
min,-0.38512206,-0.7301305,-0.36718273,-0.002548598,-0.34646577
Q1,0.19636005,-0.26543727,0.01705978225,0.07291045875,-0.200860875
Q2,0.54158125,-0.043655407,0.105806925,0.17875944,-0.1004062475
Q3,0.873172235,0.2160226075,0.15814171,0.30936663,0.126691659
max,1.9293494,0.8042159,0.7837104,0.60238945,0.4142537
mean,0.569052674534483,-0.0166792309293103,0.106040631844828,0.206924842537931,-0.0325034352586207
Std Dev,0.564730835552839,0.329003679920835,0.179666252799547,0.160409098146596,0.207967057647217

Right Forehead_Tristan_Tristan_Vietnam2
min,-0.5442113,-0.74931693,-0.28198034,-0.64877427,-1.1742839
Q1,-0.0298833575,-0.322490815,-0.106297055,-0.494938725,-0.99571798
Q2,0.25076284,-0.18173308,0.0353089815,-0.44314997,-0.880572725
Q3,0.5267616375,0.02492680625,0.1847590125,-0.364773595,-0.7938826625
max,1.4831029,0.711678,0.83530366,-0.08440799,-0.04731955
mean,0.252834897241379,-0.151730580948276,0.0684333232068965,-0.429237293275862,-0.854568484655172
Std Dev,0.40236436173592,0.274857506082838,0.222949821973015,0.120509106244611,0.213647946275369

Right Ear_Tristan_Tristan_Vietnam2
min,-0.2455058,0.006044183,0.9584189,0.06833882,-0.44280243
Q1,0.734026175,0.4374252125,1.215416875,0.176930725,-0.3388483575
Q2,1.0951644,0.595599415,1.34237425,0.25134239,-0.282754665
Q3,1.340027525,0.7899402025,1.426345775,0.33943282,-0.23343982
max,2.104256,1.2925913,1.7388971,0.56865025,0.07606104
mean,1.03166447758621,0.596861629534483,1.33584104310345,0.266286781206897,-0.270984729844828
Std Dev,0.525664533601436,0.28055205837848,0.163460374966053,0.10931791862594,0.108491393590916

Left Ear_Tristan_Tristan_Vietnam3
min,-0.10673438,-0.12111865,0.8111011,-0.23535892,-0.699002
Q1,0.32488789,0.285107165,1.076091875,0.030650922,-0.522905615
Q2,0.862775825,0.52954893,1.2208265,0.1284385,-0.42416514
