TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery
2019-05-13 16:31:24.105,1.7683201,0.74099183,0.7880815,1.6685026,0.83401304,0.34470728,-0.20518588,0.85542285,1.2373515,0.13855028,0.14092289,1.4233683,0.28282064,0.39666966,-0.31749398,0.25129268,0.021701183,0.21268836,-0.65485066,-0.10614212,830.0366,863.8828,852.1978,810.293,857.03296,0.691650390625,0.1158447265625,0.71881103515625,-1.801910400390625,6.048736572265625,3.90289306640625,1,1.0,1.0,1.0,1.0,39.84
2019-05-13 16:31:25.141,1.575211,0.95205116,0.1691599,1.9242178,0.53079325,0.44428325,-0.48871702,0.81312937,1.2094052,0.6560856,0.12710933,1.4096019,0.21329269,0.49369213,-0.39109528,0.32510322,-0.2089527,0.28345242,-0.7506375,-0.21795705,833.663,880.0,856.63007,859.45056,840.9158,0.674560546875,0.11968994140625,0.727294921875,-2.452392578125,6.7291259765625,5.570220947265625,1,1.0,1.0,1.0,1.0,39.84
2019-05-13 16:31:26.148,1.7987497,1.4149022,-0.20243734,2.104256,0.36230347,0.48024723,-0.39113733,0.87989885,0.960616,0.7837104,-0.12415405,1.3498006,0.11976284,0.60238945,-0.4522743,0.38701764,-0.20975503,0.38073686,-0.80787736,-0.31217155,842.9304,870.32965,855.42126,851.39197,852.6007,0.69683837890625,0.1221923828125,0.724853515625,-0.097198486328125,4.71038818359375,5.405731201171875,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:27.170,1.9033923,1.5713748,0.2764433,2.104256,0.2148426,0.35719275,-0.30558303,0.87989885,0.71456105,0.4241232,0.06723142,1.3498006,0.16256051,0.5084943,-0.27324212,0.38701764,-0.1149013,0.2907148,-0.8409441,-0.31217155,888.46155,777.6557,851.79486,886.8498,874.7619,0.3094482421875,0.12115478515625,0.937744140625,-0.949554443359375,17.114410400390625,2.46734619140625,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:28.187,1.8860675,1.9293494,0.5370132,1.716341,0.19295552,0.6494543,-0.33018,1.0773941,0.6776613,0.4097277,-0.007882779,0.95841885,0.11369785,0.55140054,-0.2885174,0.2646771,-0.13805735,0.25383604,-0.8911301,0.07606104,835.6777,842.52747,852.1978,829.6337,883.22345,0.2196044921875,0.0889892578125,0.96514892578125,-3.686065673828125,-3.887939453125,1.577606201171875,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:29.191,1.6208754,1.7100726,0.5807955,1.6321989,1.4271603,0.3302059,0.08682553,1.2925913,0.9969685,0.11746894,0.24875683,1.2305102,0.041778762,0.2849334,-0.21762182,0.24005803,-0.15999222,0.15932925,-0.7048333,0.0067346664,856.2271,899.7436,859.85345,839.707,848.1685,0.45660400390625,0.10711669921875,0.87066650390625,1.084136962890625,-14.213409423828125,5.15899658203125,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:30.203,1.5750681,1.6248049,0.5056113,1.4545479,1.1120665,0.6067641,0.22415714,1.1188582,1.2958854,0.2593959,0.266235,1.254199,0.21369617,0.31203574,-0.14345379,0.2635907,-0.13183017,0.20922008,-0.39494973,-0.17443846,851.79486,872.74725,854.61536,848.1685,786.9231,0.49688720703125,0.1224365234375,0.86199951171875,-0.635528564453125,4.486083984375,4.777679443359375,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:31.221,1.077155,1.4966177,0.40463147,0.74657303,0.47446474,0.20267674,0.2238923,0.39232543,1.2946869,0.037355583,0.69762486,1.1296036,0.22016732,0.21913102,-0.28458846,0.2513921,-0.2848579,0.24213296,-0.46311295,-0.1441733,840.5128,892.0879,859.45056,848.5714,861.4652,0.4927978515625,0.117431640625,0.8602294921875,-0.85235595703125,4.134674072265625,4.254302978515625,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:32.225,0.5720335,0.6126932,0.83622855,0.6463357,0.08311667,-0.46505392,0.711678,0.43008,1.4359666,-0.051832274,0.83530366,1.0553519,0.2792384,0.18781891,-0.084407985,0.56865025,-0.39232126,0.055707663,-0.37644568,-0.29854548,856.63007,863.0769,858.24176,850.58606,855.0183,0.4991455078125,0.12127685546875,0.8583984375,-1.203765869140625,3.96270751953125,3.805694580078125,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:33.243,0.15960763,0.48716187,-0.14142019,0.15489022,0.036768857,-0.058214266,-0.5434091,0.25320855,1.519342,0.0381607,-0.06534323,1.4751418,0.22466302,0.48576367,-0.4140578,0.44626546,-0.3381518,0.260995,-1.0888013,-0.20469491,879.59705,852.1978,857.03296,881.6117,863.47986,0.49078369140625,0.1201171875,0.8592529296875,-1.353302001953125,4.26177978515625,4.1571044921875,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:34.267,0.9042698,0.13767636,-0.2883684,0.8508749,0.7675757,-0.27089602,-0.48019657,0.64589995,1.5216231,-0.11124973,-0.0476147,1.5272563,0.06412383,0.40037593,-0.49579254,0.24801028,-0.48966277,0.31763694,-0.82003266,0.022385603,843.3333,843.3333,855.42126,839.304,887.6557,0.49456787109375,0.115234375,0.85626220703125,-1.4056396484375,3.895416259765625,4.000091552734375,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2019-05-13 16:31:35.272,1.4623766,0.5446154,0.6472992,1.2853957,1.1476789,0.23738317,0.111339875,0.9908019,1.342991,0.14239816,-0.057840988,1.4268749,-0.021376168,0.38503748,-0.47571453,0.26770443,-0.33036894,0.4142537,-0.88905436,-0.1281214,845.34796,832.8571,857.4359,849.7802,830.0366,0.49835205078125,0.11920166015625,0.854736328125,-0.770111083984375,3.820648193359375,4.299163818359375,1,1.0,1.0,1.0,1.0,39.83
2019-05-13 16:31:36.302,1.5437826,0.64635015,0.53381175,1.1623799,1.0666008,0.38670054,0.026832895,0.9052488,1.4433671,0.1873359,0.12644288,1.4679266,0.08611005,0.43750966,-0.49082184,0.4654971,-0.47931072,0.32281092,-1.0463989,-0.2706561,855.42126,840.9158,857.03296,838.9011,846.55676,0.4984130859375,0.11798095703125,0.8529052734375,-0.934600830078125,5.884246826171875,4.254302978515625,1,1.0,1.0,1.0,1.0,39.80
2019-05-13 16:31:37.314,1.092012,0.08159011,0.032631256,1.2016907,0.617686,0.039127555,-0.46717766,0.5598444,1.3407718,0.18151027,0.104793146,1.4889976,0.16617055,0.40299588,-0.49232078,0.50637704,-0.4962138,0.117712356,-0.8729197,-0.26969266,846.1539,841.7216,850.989,840.5128,831.6484,0.29058837890625,0.148193359375,0.9234619140625,-0.95703125,35.641937255859375,-0.530853271484375,1,1.0,1.0,1.0,1.0,39.80
2019-05-13 16:31:38.332,1.267718,1.185121,-0.15550826,1.3708284,0.8955845,0.22047123,-0.74931693,0.7861369,1.4901568,0.20246743,0.10290013,1.5554192,0.3860769,0.37886572,-0.34269953,0.39289263,-0.1849856,0.18177827,-0.8507691,-0.12500873,864.2857,853.8095,859.0476,865.4945,873.5531,0.10400390625,0.115966796875,0.939697265625,-11.641387939453125,1.308441162109375,5.390777587890625,1,1.0,1.0,1.0,1.0,39.80
