TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery
2019-05-13 16:38:06.798,0.94699013,1.8016784,-0.057964753,0.8584515,0.24877729,0.5877718,-0.39651528,0.13597412,1.3768296,0.2645068,-0.18411438,1.2108568,0.2841232,0.35448968,-0.33274794,0.18411103,-0.40666023,0.0905832,-0.6066551,-0.063515,847.76556,860.65936,850.18317,845.7509,830.84247,0.62518310546875,0.13336181640625,0.76336669921875,-1.278533935546875,3.09539794921875,5.33843994140625,1,1.0,1.0,1.0,1.0,38.73
2019-05-13 16:38:07.801,0.9235191,1.3626298,-0.25661948,1.0661055,0.4592546,0.8483121,-0.21934329,0.42308256,1.2796636,0.51497954,0.05818127,1.2260002,0.20308301,1.2859191,-0.3937283,0.20724443,-0.40367076,1.4027838,-0.67099,-0.28275156,841.7216,901.3553,848.1685,840.10986,845.7509,0.63995361328125,0.12835693359375,0.75787353515625,-1.79443359375,5.87677001953125,3.78326416015625,1,1.0,1.0,1.0,1.0,38.73
2019-05-13 16:38:08.819,1.1665282,1.3626298,0.01947554,1.244375,0.36467394,0.8483121,-0.15666212,0.52887625,1.3336166,0.51497954,0.16667022,1.4063307,0.2684279,1.2859191,-0.3189661,0.15758857,-0.3585887,1.4027838,-0.7879201,-0.21023189,809.89014,902.1612,848.5714,809.89014,846.9597,0.552490234375,0.14825439453125,0.82305908203125,-2.25799560546875,13.779754638671875,-0.299072265625,1,1.0,1.0,1.0,1.0,38.73
2019-05-13 16:38:09.838,1.3953913,1.3626298,0.23270841,1.4199381,0.96056086,0.8483121,-0.28175575,0.8796734,1.333775,0.51497954,-0.037718855,1.430867,0.31243172,1.2859191,-0.24936394,0.3217324,-0.2192508,1.4027838,-0.735167,-0.12071038,891.685,881.6117,848.97437,860.2564,857.8388,0.4344482421875,0.13348388671875,0.887939453125,1.24114990234375,2.930908203125,4.007568359375,1,1.0,1.0,1.0,1.0,38.73
2019-05-13 16:38:10.873,1.5079911,1.3626298,0.565881,1.2977222,0.9889298,0.8483121,-0.364705,0.6349732,0.8231824,0.51497954,-0.12347114,1.2175971,0.34308538,1.2859191,-0.47235236,0.13064079,-0.2211717,1.4027838,-0.9112301,-0.44782943,847.76556,853.00366,843.3333,855.42126,824.7985,0.35491943359375,0.126708984375,0.90447998046875,-1.921539306640625,1.218719482421875,5.51788330078125,1,1.0,1.0,1.0,1.0,38.73
2019-05-13 16:38:11.889,1.2333301,1.1526874,0.06435051,0.97957534,0.70945543,0.22788225,-0.5328649,0.36999285,0.97506577,0.4819505,-0.015413868,1.1803489,0.23080188,1.1611632,-0.6093415,0.13214855,-0.52536356,1.033093,-0.92625135,-0.55765563,860.65936,888.86444,852.1978,859.0476,844.5421,0.39788818359375,0.128173828125,0.89984130859375,-1.24114990234375,9.67498779296875,1.9140625,1,1.0,1.0,1.0,1.0,38.73
2019-05-13 16:38:12.911,0.9590097,0.82995737,0.09269686,0.6302431,0.5230422,0.26152357,-0.48787716,0.23576498,1.0551054,0.5073155,-0.13553552,0.9251219,0.14691539,1.1235218,-0.6839897,0.13773018,-0.47542164,1.0122414,-0.92364496,-0.41307557,836.8865,852.1978,854.61536,835.6777,873.1502,0.4093017578125,0.12762451171875,0.90191650390625,-0.5084228515625,0.478515625,5.061798095703125,1,1.0,1.0,1.0,1.0,38.73
2019-05-13 16:38:13.925,0.89775205,0.7715488,0.26654762,0.60412246,0.21817324,0.11754507,-0.13291484,0.2286949,1.0823996,0.42084113,-0.19536859,0.9650313,0.09804301,1.1004673,-0.67476696,0.31488264,-0.3545989,0.869447,-0.9404108,-0.3197953,838.0952,858.6447,850.18317,839.304,855.42126,0.39544677734375,0.13067626953125,0.89935302734375,-0.695343017578125,2.16827392578125,4.35150146484375,1,1.0,1.0,1.0,1.0,38.70
2019-05-13 16:38:14.931,0.7099479,0.18710709,0.057036743,0.30295295,0.09178004,-0.067391135,-0.30778947,0.016652016,1.232555,0.47709692,0.0091454005,1.2421721,0.19694132,1.0519525,-0.6349523,0.35355636,-0.35880986,0.76888096,-1.0002638,-0.25414684,849.3773,889.67035,846.55676,856.63007,856.63007,0.398193359375,0.12847900390625,0.89971923828125,-1.2860107421875,4.987030029296875,4.478607177734375,1,1.0,1.0,1.0,1.0,38.70
2019-05-13 16:38:15.945,0.47004712,0.7039876,-0.077177085,0.43298241,0.43798667,-0.24960043,-0.35519904,0.49834868,1.1601379,0.44642264,0.07520762,1.3982028,0.15611641,1.0185233,-0.49182114,0.21314855,-0.46116477,0.8390354,-0.9552913,-0.27088398,856.2271,867.9121,849.7802,863.0769,871.13556,0.33721923828125,0.14752197265625,0.92230224609375,2.938385009765625,4.05242919921875,0.52337646484375,1,1.0,1.0,1.0,1.0,38.70
2019-05-13 16:38:16.949,0.6978929,1.1770405,0.1676983,0.7497663,0.52393585,0.11873458,-0.3291886,0.61876297,1.1260062,0.33051813,0.19917941,1.3446788,0.05107263,0.97691077,-0.49339855,0.2015864,-0.35120803,0.76194793,-0.59173024,-0.24011971,853.4066,842.9304,852.6007,848.97437,804.65204,0.32879638671875,0.14984130859375,0.8963623046875,-4.448699951171875,0.4486083984375,7.10296630859375,1,1.0,1.0,1.0,1.0,38.70
2019-05-13 16:38:17.953,0.54758143,1.0145646,-0.17454523,1.0108706,0.4732453,0.14878534,-0.29427046,0.57330585,1.0105861,0.5459973,0.069279544,1.0007204,-0.022464437,0.93173766,-0.4341048,0.18497306,-0.44945186,0.7577958,-0.94151664,-0.3102574,803.8461,882.01465,847.3626,859.85345,832.4542,0.42529296875,0.11773681640625,0.89263916015625,-0.814971923828125,3.8580322265625,7.050628662109375,1,1.0,1.0,1.0,1.0,38.70
2019-05-13 16:38:18.958,0.63690543,1.2373456,0.75929904,1.1617292,0.4135797,0.3182098,0.2630189,0.63881606,1.0001631,0.5131716,-0.083280735,0.9650075,-0.20712572,0.81004673,-0.59761053,0.110427886,-0.58497506,0.7369261,-0.86206454,-0.3514915,848.5714,856.63007,850.989,846.55676,848.1685,0.4443359375,0.1422119140625,0.87786865234375,-0.478515625,4.78515625,4.493560791015625,1,1.0,1.0,1.0,1.0,38.70
